chunk_id,chunk_text,preprocess_agenda,tokens
0,"em virtude de sexo ou de raça no acesso às instâncias de representação política e no princípio, com a devida autonomia e os limites de cada poder, busca conter a exercício de funções públicas.",virtude sexo raça acesso instância representação político princípio devir autonomia limite cada poder buscar conter exercício função público,"[""virtude"", ""sexo"", ""raça"", ""acesso"", ""instância"", ""representação"", ""político"", ""princípio"", ""devir"", ""autonomia"", ""limite"", ""cada"", ""poder"", ""buscar"", ""conter"", ""exercício"", ""função"", ""público""]"
1,"concentração de poderes e estabelecer um controle mútuo, norteados pela moderação Art.",concentração poder estabelecer controle mútuo nortear moderação art,"[""concentração"", ""poder"", ""estabelecer"", ""controle"", ""mútuo"", ""nortear"", ""moderação"", ""art""]"
2,57.,57,"[""57""]"
3,"Este Estatuto entrará em vigor, em todo o território nacional, a partir e pelo compromisso. de sua aprovação em Convenção Nacional.",estatuto entrar vigor todo território nacional partir compromisso aprovação convenção nacional,"[""estatuto"", ""entrar"", ""vigor"", ""todo"", ""território"", ""nacional"", ""partir"", ""compromisso"", ""aprovação"", ""convenção"", ""nacional""]"
4,"Baseado em freios e contrapesos, este sistema estabelece a autonomia das funções distintas, harmônicas e independentes, bem como determina que um poder VALDEMAR COSTA NETO está apto a frear os demais, em caso de abuso ou desequilíbrio.",basear freios contrapeso sistema estabelecer autonomia função distinto harmônico independente bem determinar poder valdemar costa neto apto frear demais caso abuso desequilíbrio,"[""basear"", ""freios"", ""contrapeso"", ""sistema"", ""estabelecer"", ""autonomia"", ""função"", ""distinto"", ""harmônico"", ""independente"", ""bem"", ""determinar"", ""poder"", ""valdemar"", ""costa"", ""neto"", ""apto"", ""frear"", ""demais"", ""caso"", ""abuso"", ""desequilíbrio""]"
5,"Presidente Nacional - Partido Liberal Desenvolvimento Econômico e Social - O Partido Liberal (PL) defende uma economia liberal que investe em políticas de combate à pobreza, com a priorização aos ANA DANIELA LEITE E AGUIAR mais vulneráveis e a redução da desigualdade por meio de projetos sociais e, OAB/DF 11.653 principalmente, a geração de emprego e renda. (Estatuto aprovado na Convenção Nacional de 19 dezembro de 2022) Acredita em um modelo de gestão alicerçada na geração de oportunidades que produzem riquezas, estimulam o empreendedorismo, facilitam a abertura de novas A LIBERDADE É O ALICERCE DA DEMOCRACIA, NÃO EXISTE DEMOCRACIA SEM LIBERDADE empresas, reduzem a burocracia, incentivam a capacitação profissional, a autonomia e a independência financeira. A essência do Partido Liberal está no fortalecimento do Estado Democrático Essas iniciativas permitem que a qualidade de vida das pessoas melhore, de Direito, assegurando a cada cidadão brasileiro a liberdade de pensamento e a expandindo a produção e o consumo. Esse ciclo da prosperidade impulsiona o liberdade de expressão. aquecimento da economia, o aumento da arrecadação e, consequentemente, permitirá Para o partido Liberal, os direitos de ir e vir, de ser, pensar, agir e falar são que o Estado invista mais recursos em ações de saúde, educação, segurança, invioláveis. infraestrutura e projetos sociais. Fundado no ano de 1985 pelo Professor, Deputado e Embaixador Álvaro Intervenção do Estado na Economia - O Partido Liberal entende que é Vale, o Partido Liberal tem o liberalismo social como instrumento permanente de luta essencial retirar o peso do Estado dos ombros da população. Permitir que o cidadão pelo bem comum. Não se pode olvidar que, apesar do imutável transcurso cronológico, possa desenvolver sua capacidade empreendedora, sua criatividade e liberdade com a sistêmica evolução da sociedade, o mundo foi atingido por constantes gerencial para a produção e comercialização de todos e quaisquer bens e serviços modificações.",nacional partido liberal desenvolvimento econômico social partido liberal pl defender economia liberal investir político combate pobreza priorização ana daniela leite aguiar vulnerável redução desigualdade meio projeto social oab df 11 653 principalmente geração emprego renda estatuto aprovar convenção nacional 19 dezembro 2022 acreditar modelo gestão alicerçar geração oportunidade produzir riqueza estimular empreendedorismo facilitar abertura novo liberdade alicerce democracia existir democracia liberdade empresa reduzer burocracia incentivar capacitação profissional autonomia independêncio financeiro essência partido liberal fortalecimento estado democrático iniciativa permitir qualidade vida pessoa melhorar direito assegurar cada cidadão brasileiro liberdade pensamento expandir produção consumo ciclo prosperidade impulsionar liberdade expressão aquecimento economia aumento arrecadação consequentemente permitir partido liberal direito ir vir pensar agir falar estado invista recurso ação saúde educação segurança inviolável infraestrutura projeto social fundar ano 1985 professor embaixador álvaro intervenção economia partido liberal entender valer partido liberal liberalismo social instrumento permanente luta essencial retirar peso estado ombro população permitir cidadão bem comum poder olvidar apesar imutável transcurso cronológico poder desenvolver capacidade empreendedor criatividade liberdade sistêmico evolução sociedade mundo atingir constante gerencial produção comercialização todo qualquer bem serviço modificação,"[""nacional"", ""partido"", ""liberal"", ""desenvolvimento"", ""econômico"", ""social"", ""partido"", ""liberal"", ""pl"", ""defender"", ""economia"", ""liberal"", ""investir"", ""político"", ""combate"", ""pobreza"", ""priorização"", ""ana"", ""daniela"", ""leite"", ""aguiar"", ""vulnerável"", ""redução"", ""desigualdade"", ""meio"", ""projeto"", ""social"", ""oab"", ""df"", ""11"", ""653"", ""principalmente"", ""geração"", ""emprego"", ""renda"", ""estatuto"", ""aprovar"", ""convenção"", ""nacional"", ""19"", ""dezembro"", ""2022"", ""acreditar"", ""modelo"", ""gestão"", ""alicerçar"", ""geração"", ""oportunidade"", ""produzir"", ""riqueza"", ""estimular"", ""empreendedorismo"", ""facilitar"", ""abertura"", ""novo"", ""liberdade"", ""alicerce"", ""democracia"", ""existir"", ""democracia"", ""liberdade"", ""empresa"", ""reduzer"", ""burocracia"", ""incentivar"", ""capacitação"", ""profissional"", ""autonomia"", ""independêncio"", ""financeiro"", ""essência"", ""partido"", ""liberal"", ""fortalecimento"", ""estado"", ""democrático"", ""iniciativa"", ""permitir"", ""qualidade"", ""vida"", ""pessoa"", ""melhorar"", ""direito"", ""assegurar"", ""cada"", ""cidadão"", ""brasileiro"", ""liberdade"", ""pensamento"", ""expandir"", ""produção"", ""consumo"", ""ciclo"", ""prosperidade"", ""impulsionar"", ""liberdade"", ""expressão"", ""aquecimento"", ""economia"", ""aumento"", ""arrecadação"", ""consequentemente"", ""permitir"", ""partido"", ""liberal"", ""direito"", ""ir"", ""vir"", ""pensar"", ""agir"", ""falar"", ""estado"", ""invista"", ""recurso"", ""ação"", ""saúde"", ""educação"", ""segurança"", ""inviolável"", ""infraestrutura"", ""projeto"", ""social"", ""fundar"", ""ano"", ""1985"", ""professor"", ""embaixador"", ""álvaro"", ""intervenção"", ""economia"", ""partido"", ""liberal"", ""entender"", ""valer"", ""partido"", ""liberal"", ""liberalismo"", ""social"", ""instrumento"", ""permanente"", ""luta"", ""essencial"", ""retirar"", ""peso"", ""estado"", ""ombro"", ""população"", ""permitir"", ""cidadão"", ""bem"", ""comum"", ""poder"", ""olvidar"", ""apesar"", ""imutável"", ""transcurso"", ""cronológico"", ""poder"", ""desenvolver"", ""capacidade"", ""empreendedor"", ""criatividade"", ""liberdade"", ""sistêmico"", ""evolução"", ""sociedade"", ""mundo"", ""atingir"", ""constante"", ""gerencial"", ""produção"", ""comercialização"", ""todo"", ""qualquer"", ""bem"", ""serviço"", ""modificação""]"
6,"O Brasil não passa imune a essas transformações, as visões, os costumes previstos pela legislação brasileira.",brasil passar imune transformação visão costume prever legislação brasileiro,"[""brasil"", ""passar"", ""imune"", ""transformação"", ""visão"", ""costume"", ""prever"", ""legislação"", ""brasileiro""]"
7,e modelos sociais são impactados diariamente por essas mudanças.,modelo social impactar diariamente mudança,"[""modelo"", ""social"", ""impactar"", ""diariamente"", ""mudança""]"
8,"Dignidade para os menos favorecidos - Dignidade é, junto da liberdade e de Desafios surgem diuturnamente em todas as expressões dos campos do outros conceitos importantes em uma democracia, fator que demonstra, por exemplo, poder, exigindo que novos conceitos, estratégias e lideranças sejam incorporados ao a efetividade de uma política pública. O cidadão pleno não deve ser dependente do ideário do Partido para que se possa fazer frente aos problemas cada vez mais Estado, mas contar com o apoio do governo para ter autonomia e dignidade para complexos.",dignidade menos favorecir dignidade junto liberdade desafio surgir diuturnamente todo expressão campos outro conceito importante democracia fator demonstrar exemplo poder exigir novo conceito estratégia liderança incorporar efetividade político público cidadão pleno dever dependente ideário partido poder fazer frente problema cada vez estado contar apoio governo ter autonomia dignidade complexo,"[""dignidade"", ""menos"", ""favorecir"", ""dignidade"", ""junto"", ""liberdade"", ""desafio"", ""surgir"", ""diuturnamente"", ""todo"", ""expressão"", ""campos"", ""outro"", ""conceito"", ""importante"", ""democracia"", ""fator"", ""demonstrar"", ""exemplo"", ""poder"", ""exigir"", ""novo"", ""conceito"", ""estratégia"", ""liderança"", ""incorporar"", ""efetividade"", ""político"", ""público"", ""cidadão"", ""pleno"", ""dever"", ""dependente"", ""ideário"", ""partido"", ""poder"", ""fazer"", ""frente"", ""problema"", ""cada"", ""vez"", ""estado"", ""contar"", ""apoio"", ""governo"", ""ter"", ""autonomia"", ""dignidade"", ""complexo""]"
9,buscar melhores condições de vida.,buscar bom condição vido,"[""buscar"", ""bom"", ""condição"", ""vido""]"
