chunk_id,chunk_text,preprocess_agenda,tokens
0,"CAMINHOS PARA O BRASIL NOSSO PAÍS, NOSSA CAUSA. NOSSO PAÍS, NOSSA CAUSA. CAMINHOS PARA O BRASIL 5 4 FUNDAÇÃO ULYSSES GUIMARÃES + MDB Documento político-programático 2025 Dados Internacionais de Catalogação na Publicação (CIP) (Câmara Brasileira do Livro, SP, Brasil) Caminhos para o Brasil – Nosso País, Nossa Causa / autores e coordenação Gustavo Grisa, Renata de Carvalho Rodrigues, José Aldo Rebelo Figueiredo, José Fogaça, Raul Henry, José Luíz Fuscaldo. Brasília, DF : Fundação Ulysses Guimarães, 2025.",caminhos para o brasil nosso pais nossa causa nosso pais nossa causa caminhos para o brasil 5 4 fundacao ulysses guimaraes mdb documento politico programatico 2025 dados internacionais de catalogacao na publicacao cip camara brasileira do livro sp brasil caminhos para o brasil nosso pais nossa causa autores e coordenacao gustavo grisa renata de carvalho rodrigues jose aldo rebelo figueiredo jose fogaca raul henry jose luiz fuscaldo brasilia df fundacao ulysses guimaraes 2025,"[""caminhos"", ""para"", ""o"", ""brasil"", ""nosso"", ""pais"", ""nossa"", ""causa"", ""nosso"", ""pais"", ""nossa"", ""causa"", ""caminhos"", ""para"", ""o"", ""brasil"", ""5"", ""4"", ""fundacao"", ""ulysses"", ""guimaraes"", ""mdb"", ""documento"", ""politico"", ""programatico"", ""2025"", ""dados"", ""internacionais"", ""de"", ""catalogacao"", ""na"", ""publicacao"", ""cip"", ""camara"", ""brasileira"", ""do"", ""livro"", ""sp"", ""brasil"", ""caminhos"", ""para"", ""o"", ""brasil"", ""nosso"", ""pais"", ""nossa"", ""causa"", ""autores"", ""e"", ""coordenacao"", ""gustavo"", ""grisa"", ""renata"", ""de"", ""carvalho"", ""rodrigues"", ""jose"", ""aldo"", ""rebelo"", ""figueiredo"", ""jose"", ""fogaca"", ""raul"", ""henry"", ""jose"", ""luiz"", ""fuscaldo"", ""brasilia"", ""df"", ""fundacao"", ""ulysses"", ""guimaraes"", ""2025""]"
1,Vários colaboradores. Bibliograﬁa.,varios colaboradores bibliografia,"[""varios"", ""colaboradores"", ""bibliografia""]"
2,"ISBN 978-65-996421-3-5 NOSSO PAÍS, NOSSA CAUSA.",isbn 978 65 996421 3 5 nosso pais nossa causa,"[""isbn"", ""978"", ""65"", ""996421"", ""3"", ""5"", ""nosso"", ""pais"", ""nossa"", ""causa""]"
3,"CAMINHOS PARA O BRASIL 7 6 FUNDAÇÃO ULYSSES GUIMARÃES + MDB Sumário I - APRESENTAÇÃO - O BRASIL É AGORA, MUDANÇA COM CONVERGÊNCIA 8 Mensagem Baleia Rossi, presidente do MDB 12 Mensagem Alceu Moreira, presidente da FUG 14 Mensagem Michel Temer, Presidente da República (2016-2018) 16 Mensagem Eduardo Braga, líder do MDB no Senado 18 Mensagem Isnaldo Bulhões, líder do MDB na Câmara 20 Mensagem Aldo Rebelo, coordenador-geral “O Brasil Precisa Pensar o Brasil” 22 Trajetória “O Brasil Precisa Pensar o Brasil” - uma construção coletiva de futuro 24 II - CONTEÚDO PROGRAMÁTICO - CAMINHOS PARA O BRASIL 28 A nossa causa - o Brasil é de todos 28 Eixos estruturantes do conteúdo programático 32 As causas mobilizadoras 38 Consolidação da democracia 41 Retomada do desenvolvimento 53 Redução das desigualdades 89 Mensagem de convergência - As escolhas de futuro diante da urgência do presente 123 NOSSO PAÍS, NOSSA CAUSA. CAMINHOS PARA O BRASIL I . AP RES ENTAÇÃO O Brasil é agora 9 8 FUNDAÇÃO ULYSSES GUIMARÃES + MDB Para atravessar o momento conturbado e polarizado e das opções reducionistas, será necessário organizar uma coerência de visões em torno dos grandes assuntos que dominam e dominarão a agenda pública na atualidade, e que se projetarão pela década seguinte. Parte desta perspectiva e transição para um novo momento nacional passa por um posicionamento responsável para o Brasil, baseado em atualização de agenda, consensos e soluções convergentes. Este documento apresenta caminhos para o Brasil a partir de uma construção coletiva, fundamentada em um amplo processo de consulta e pesquisa realizado entre janeiro e setembro de 2025, e que seguirá em curso ao longo de 2026. Nesta síntese, estão expressas linhas de posicionamento que representam o sentimento de lideranças políticas e gestores públicos de todos os Estados brasileiros, de especialistas em temáticas de impacto público, da militância e da base do MDB. Uma síntese que traduz a combinação entre a urgência da ação e a serenidade para articular, ao entender que, para a construção política democrática, os fundamentos são o diálogo, a busca pelo entendimento e o profundo respeito à institucionalidade do Brasil democrático. NOSSO PAÍS, NOSSA CAUSA. CAMINHOS PARA O BRASIL O que nos une é a necessidade de mudança com convergência UM CENTRO DEMOCRÁTICO AGREGADOR, PROATIVO E PRODUTIVO extrema esquerda, desviando o foco da resolução de problemas reais de melhoria da qualidade de vida da população brasileira.",caminhos para o brasil 7 6 fundacao ulysses guimaraes mdb sumario i apresentacao o brasil e agora mudanca com convergencia 8 mensagem baleia rossi presidente do mdb 12 mensagem alceu moreira presidente da fug 14 mensagem michel temer presidente da republica 2016 2018 16 mensagem eduardo braga lider do mdb no senado 18 mensagem isnaldo bulhoes lider do mdb na camara 20 mensagem aldo rebelo coordenador geral o brasil precisa pensar o brasil 22 trajetoria o brasil precisa pensar o brasil uma construcao coletiva de futuro 24 ii conteudo programatico caminhos para o brasil 28 a nossa causa o brasil e de todos 28 eixos estruturantes do conteudo programatico 32 as causas mobilizadoras 38 consolidacao da democracia 41 retomada do desenvolvimento 53 reducao das desigualdades 89 mensagem de convergencia as escolhas de futuro diante da urgencia do presente 123 nosso pais nossa causa caminhos para o brasil i ap res entacao o brasil e agora 9 8 fundacao ulysses guimaraes mdb para atravessar o momento conturbado e polarizado e das opcoes reducionistas sera necessario organizar uma coerencia de visoes em torno dos grandes assuntos que dominam e dominarao a agenda publica na atualidade e que se projetarao pela decada seguinte parte desta perspectiva e transicao para um novo momento nacional passa por um posicionamento responsavel para o brasil baseado em atualizacao de agenda consensos e solucoes convergentes este documento apresenta caminhos para o brasil a partir de uma construcao coletiva fundamentada em um amplo processo de consulta e pesquisa realizado entre janeiro e setembro de 2025 e que seguira em curso ao longo de 2026 nesta sintese estao expressas linhas de posicionamento que representam o sentimento de liderancas politicas e gestores publicos de todos os estados brasileiros de especialistas em tematicas de impacto publico da militancia e da base do mdb uma sintese que traduz a combinacao entre a urgencia da acao e a serenidade para articular ao entender que para a construcao politica democratica os fundamentos sao o dialogo a busca pelo entendimento e o profundo respeito a institucionalidade do brasil democratico nosso pais nossa causa caminhos para o brasil o que nos une e a necessidade de mudanca com convergencia um centro democratico agregador proativo e produtivo extrema esquerda desviando o foco da resolucao de problemas reais de melhoria da qualidade de vida da populacao brasileira,"[""caminhos"", ""para"", ""o"", ""brasil"", ""7"", ""6"", ""fundacao"", ""ulysses"", ""guimaraes"", ""mdb"", ""sumario"", ""i"", ""apresentacao"", ""o"", ""brasil"", ""e"", ""agora"", ""mudanca"", ""com"", ""convergencia"", ""8"", ""mensagem"", ""baleia"", ""rossi"", ""presidente"", ""do"", ""mdb"", ""12"", ""mensagem"", ""alceu"", ""moreira"", ""presidente"", ""da"", ""fug"", ""14"", ""mensagem"", ""michel"", ""temer"", ""presidente"", ""da"", ""republica"", ""2016"", ""2018"", ""16"", ""mensagem"", ""eduardo"", ""braga"", ""lider"", ""do"", ""mdb"", ""no"", ""senado"", ""18"", ""mensagem"", ""isnaldo"", ""bulhoes"", ""lider"", ""do"", ""mdb"", ""na"", ""camara"", ""20"", ""mensagem"", ""aldo"", ""rebelo"", ""coordenador"", ""geral"", ""o"", ""brasil"", ""precisa"", ""pensar"", ""o"", ""brasil"", ""22"", ""trajetoria"", ""o"", ""brasil"", ""precisa"", ""pensar"", ""o"", ""brasil"", ""uma"", ""construcao"", ""coletiva"", ""de"", ""futuro"", ""24"", ""ii"", ""conteudo"", ""programatico"", ""caminhos"", ""para"", ""o"", ""brasil"", ""28"", ""a"", ""nossa"", ""causa"", ""o"", ""brasil"", ""e"", ""de"", ""todos"", ""28"", ""eixos"", ""estruturantes"", ""do"", ""conteudo"", ""programatico"", ""32"", ""as"", ""causas"", ""mobilizadoras"", ""38"", ""consolidacao"", ""da"", ""democracia"", ""41"", ""retomada"", ""do"", ""desenvolvimento"", ""53"", ""reducao"", ""das"", ""desigualdades"", ""89"", ""mensagem"", ""de"", ""convergencia"", ""as"", ""escolhas"", ""de"", ""futuro"", ""diante"", ""da"", ""urgencia"", ""do"", ""presente"", ""123"", ""nosso"", ""pais"", ""nossa"", ""causa"", ""caminhos"", ""para"", ""o"", ""brasil"", ""i"", ""ap"", ""res"", ""entacao"", ""o"", ""brasil"", ""e"", ""agora"", ""9"", ""8"", ""fundacao"", ""ulysses"", ""guimaraes"", ""mdb"", ""para"", ""atravessar"", ""o"", ""momento"", ""conturbado"", ""e"", ""polarizado"", ""e"", ""das"", ""opcoes"", ""reducionistas"", ""sera"", ""necessario"", ""organizar"", ""uma"", ""coerencia"", ""de"", ""visoes"", ""em"", ""torno"", ""dos"", ""grandes"", ""assuntos"", ""que"", ""dominam"", ""e"", ""dominarao"", ""a"", ""agenda"", ""publica"", ""na"", ""atualidade"", ""e"", ""que"", ""se"", ""projetarao"", ""pela"", ""decada"", ""seguinte"", ""parte"", ""desta"", ""perspectiva"", ""e"", ""transicao"", ""para"", ""um"", ""novo"", ""momento"", ""nacional"", ""passa"", ""por"", ""um"", ""posicionamento"", ""responsavel"", ""para"", ""o"", ""brasil"", ""baseado"", ""em"", ""atualizacao"", ""de"", ""agenda"", ""consensos"", ""e"", ""solucoes"", ""convergentes"", ""este"", ""documento"", ""apresenta"", ""caminhos"", ""para"", ""o"", ""brasil"", ""a"", ""partir"", ""de"", ""uma"", ""construcao"", ""coletiva"", ""fundamentada"", ""em"", ""um"", ""amplo"", ""processo"", ""de"", ""consulta"", ""e"", ""pesquisa"", ""realizado"", ""entre"", ""janeiro"", ""e"", ""setembro"", ""de"", ""2025"", ""e"", ""que"", ""seguira"", ""em"", ""curso"", ""ao"", ""longo"", ""de"", ""2026"", ""nesta"", ""sintese"", ""estao"", ""expressas"", ""linhas"", ""de"", ""posicionamento"", ""que"", ""representam"", ""o"", ""sentimento"", ""de"", ""liderancas"", ""politicas"", ""e"", ""gestores"", ""publicos"", ""de"", ""todos"", ""os"", ""estados"", ""brasileiros"", ""de"", ""especialistas"", ""em"", ""tematicas"", ""de"", ""impacto"", ""publico"", ""da"", ""militancia"", ""e"", ""da"", ""base"", ""do"", ""mdb"", ""uma"", ""sintese"", ""que"", ""traduz"", ""a"", ""combinacao"", ""entre"", ""a"", ""urgencia"", ""da"", ""acao"", ""e"", ""a"", ""serenidade"", ""para"", ""articular"", ""ao"", ""entender"", ""que"", ""para"", ""a"", ""construcao"", ""politica"", ""democratica"", ""os"", ""fundamentos"", ""sao"", ""o"", ""dialogo"", ""a"", ""busca"", ""pelo"", ""entendimento"", ""e"", ""o"", ""profundo"", ""respeito"", ""a"", ""institucionalidade"", ""do"", ""brasil"", ""democratico"", ""nosso"", ""pais"", ""nossa"", ""causa"", ""caminhos"", ""para"", ""o"", ""brasil"", ""o"", ""que"", ""nos"", ""une"", ""e"", ""a"", ""necessidade"", ""de"", ""mudanca"", ""com"", ""convergencia"", ""um"", ""centro"", ""democratico"", ""agregador"", ""proativo"", ""e"", ""produtivo"", ""extrema"", ""esquerda"", ""desviando"", ""o"", ""foco"", ""da"", ""resolucao"", ""de"", ""problemas"", ""reais"", ""de"", ""melhoria"", ""da"", ""qualidade"", ""de"", ""vida"", ""da"", ""populacao"", ""brasileira""]"
4,"A escolha de se colocar no centro democrático carrega uma responsabilidade intrínseca: escutar, dialogar e enxergar, de fato, o que acontece ao seu redor. E essa posição de enxergar mais do que as partes em separado contribui para tomar decisões com maior legitimidade e abrangência.",a escolha de se colocar no centro democratico carrega uma responsabilidade intrinseca escutar dialogar e enxergar de fato o que acontece ao seu redor e essa posicao de enxergar mais do que as partes em separado contribui para tomar decisoes com maior legitimidade e abrangencia,"[""a"", ""escolha"", ""de"", ""se"", ""colocar"", ""no"", ""centro"", ""democratico"", ""carrega"", ""uma"", ""responsabilidade"", ""intrinseca"", ""escutar"", ""dialogar"", ""e"", ""enxergar"", ""de"", ""fato"", ""o"", ""que"", ""acontece"", ""ao"", ""seu"", ""redor"", ""e"", ""essa"", ""posicao"", ""de"", ""enxergar"", ""mais"", ""do"", ""que"", ""as"", ""partes"", ""em"", ""separado"", ""contribui"", ""para"", ""tomar"", ""decisoes"", ""com"", ""maior"", ""legitimidade"", ""e"", ""abrangencia""]"
5,"Para enfrentar os desafios e as oportunidades emergentes, promovendo um ambiente favorável ao crescimento econômico e à inclusão social, o MDB prioriza uma governança estável e consistente ao defender políticas que priorizam a continuidade a longo prazo, com novas abordagens que aumentem a sua escalabilidade, contemplando o tamanho e a diversidade regional do Brasil. O compromisso com a moderação, o pragmatismo, a busca pelo consenso e o equilíbrio atua como um contrapeso ao desgaste gerado pela intensificação de posicionamentos políticos radicais, que emanam tanto da extrema direita quanto da 11 10 FUNDAÇÃO ULYSSES GUIMARÃES + MDB brasileiros que se encontram desencantados com uma disputa política polarizada e alheia aos grandes problemas que impactam diariamente na vida das pessoas. Esses pontos são convergentes com documentos anteriores formulados pelo partido, destacadamente, “Esperança e Mudança” (1982), “Democracia com Desenvolvimento” (1996), “Uma Ponte para o Futuro” (2015) e “Todos por Um Só Brasil” (2021). Ao trazer o Brasil como nossa principal causa, acima de ideologia ou costumes, reafirmamos nossa conexão com a vontade de mudança efetiva e de um propósito compartilhado, uma distensão do ambiente político a partir de uma agenda que permita debater, construir e entregar soluções reais para um Brasil real, melhorando de forma concreta a vida de todos os brasileiros. Os documentos programáticos atenderam a momentos da história que inspiravam ora a defesa e reintrodução da sociedade brasileira aos valores e princípios democráticos, ora a defesa de medidas como responsabilidade fiscal, regulamentação prudente e investimentos estratégicos, reconhecendo a importância do esforço pela manutenção permanente da estabilidade do ambiente político e econômico. São 60 anos do MDB e 40 anos da transição democrática, uma conquista árdua e de resistência da sociedade brasileira. O que estamos trazendo neste documento é mais um ato de responsabilidade do MDB para com o Brasil, em que se busca uma reconexão não apenas com a sociedade brasileira representada, mas também - e, principalmente - com as dezenas de milhões de 11 NOSSO PAÍS, NOSSA CAUSA. CAMINHOS PARA O BRASIL Nossa alma e nossos caminhos BALEIA ROSSI PRESIDENTE NACIONAL DO MDB Há exatos 60 anos, vivenciávamos o recrudescimento da ditadura militar com a extinção dos partidos políticos após as eleições estaduais de outubro de 1965.",para enfrentar os desafios e as oportunidades emergentes promovendo um ambiente favoravel ao crescimento economico e a inclusao social o mdb prioriza uma governanca estavel e consistente ao defender politicas que priorizam a continuidade a longo prazo com novas abordagens que aumentem a sua escalabilidade contemplando o tamanho e a diversidade regional do brasil o compromisso com a moderacao o pragmatismo a busca pelo consenso e o equilibrio atua como um contrapeso ao desgaste gerado pela intensificacao de posicionamentos politicos radicais que emanam tanto da extrema direita quanto da 11 10 fundacao ulysses guimaraes mdb brasileiros que se encontram desencantados com uma disputa politica polarizada e alheia aos grandes problemas que impactam diariamente na vida das pessoas esses pontos sao convergentes com documentos anteriores formulados pelo partido destacadamente esperanca e mudanca 1982 democracia com desenvolvimento 1996 uma ponte para o futuro 2015 e todos por um so brasil 2021 ao trazer o brasil como nossa principal causa acima de ideologia ou costumes reafirmamos nossa conexao com a vontade de mudanca efetiva e de um proposito compartilhado uma distensao do ambiente politico a partir de uma agenda que permita debater construir e entregar solucoes reais para um brasil real melhorando de forma concreta a vida de todos os brasileiros os documentos programaticos atenderam a momentos da historia que inspiravam ora a defesa e reintroducao da sociedade brasileira aos valores e principios democraticos ora a defesa de medidas como responsabilidade fiscal regulamentacao prudente e investimentos estrategicos reconhecendo a importancia do esforco pela manutencao permanente da estabilidade do ambiente politico e economico sao 60 anos do mdb e 40 anos da transicao democratica uma conquista ardua e de resistencia da sociedade brasileira o que estamos trazendo neste documento e mais um ato de responsabilidade do mdb para com o brasil em que se busca uma reconexao nao apenas com a sociedade brasileira representada mas tambem e principalmente com as dezenas de milhoes de 11 nosso pais nossa causa caminhos para o brasil nossa alma e nossos caminhos baleia rossi presidente nacional do mdb ha exatos 60 anos vivenciavamos o recrudescimento da ditadura militar com a extincao dos partidos politicos apos as eleicoes estaduais de outubro de 1965,"[""para"", ""enfrentar"", ""os"", ""desafios"", ""e"", ""as"", ""oportunidades"", ""emergentes"", ""promovendo"", ""um"", ""ambiente"", ""favoravel"", ""ao"", ""crescimento"", ""economico"", ""e"", ""a"", ""inclusao"", ""social"", ""o"", ""mdb"", ""prioriza"", ""uma"", ""governanca"", ""estavel"", ""e"", ""consistente"", ""ao"", ""defender"", ""politicas"", ""que"", ""priorizam"", ""a"", ""continuidade"", ""a"", ""longo"", ""prazo"", ""com"", ""novas"", ""abordagens"", ""que"", ""aumentem"", ""a"", ""sua"", ""escalabilidade"", ""contemplando"", ""o"", ""tamanho"", ""e"", ""a"", ""diversidade"", ""regional"", ""do"", ""brasil"", ""o"", ""compromisso"", ""com"", ""a"", ""moderacao"", ""o"", ""pragmatismo"", ""a"", ""busca"", ""pelo"", ""consenso"", ""e"", ""o"", ""equilibrio"", ""atua"", ""como"", ""um"", ""contrapeso"", ""ao"", ""desgaste"", ""gerado"", ""pela"", ""intensificacao"", ""de"", ""posicionamentos"", ""politicos"", ""radicais"", ""que"", ""emanam"", ""tanto"", ""da"", ""extrema"", ""direita"", ""quanto"", ""da"", ""11"", ""10"", ""fundacao"", ""ulysses"", ""guimaraes"", ""mdb"", ""brasileiros"", ""que"", ""se"", ""encontram"", ""desencantados"", ""com"", ""uma"", ""disputa"", ""politica"", ""polarizada"", ""e"", ""alheia"", ""aos"", ""grandes"", ""problemas"", ""que"", ""impactam"", ""diariamente"", ""na"", ""vida"", ""das"", ""pessoas"", ""esses"", ""pontos"", ""sao"", ""convergentes"", ""com"", ""documentos"", ""anteriores"", ""formulados"", ""pelo"", ""partido"", ""destacadamente"", ""esperanca"", ""e"", ""mudanca"", ""1982"", ""democracia"", ""com"", ""desenvolvimento"", ""1996"", ""uma"", ""ponte"", ""para"", ""o"", ""futuro"", ""2015"", ""e"", ""todos"", ""por"", ""um"", ""so"", ""brasil"", ""2021"", ""ao"", ""trazer"", ""o"", ""brasil"", ""como"", ""nossa"", ""principal"", ""causa"", ""acima"", ""de"", ""ideologia"", ""ou"", ""costumes"", ""reafirmamos"", ""nossa"", ""conexao"", ""com"", ""a"", ""vontade"", ""de"", ""mudanca"", ""efetiva"", ""e"", ""de"", ""um"", ""proposito"", ""compartilhado"", ""uma"", ""distensao"", ""do"", ""ambiente"", ""politico"", ""a"", ""partir"", ""de"", ""uma"", ""agenda"", ""que"", ""permita"", ""debater"", ""construir"", ""e"", ""entregar"", ""solucoes"", ""reais"", ""para"", ""um"", ""brasil"", ""real"", ""melhorando"", ""de"", ""forma"", ""concreta"", ""a"", ""vida"", ""de"", ""todos"", ""os"", ""brasileiros"", ""os"", ""documentos"", ""programaticos"", ""atenderam"", ""a"", ""momentos"", ""da"", ""historia"", ""que"", ""inspiravam"", ""ora"", ""a"", ""defesa"", ""e"", ""reintroducao"", ""da"", ""sociedade"", ""brasileira"", ""aos"", ""valores"", ""e"", ""principios"", ""democraticos"", ""ora"", ""a"", ""defesa"", ""de"", ""medidas"", ""como"", ""responsabilidade"", ""fiscal"", ""regulamentacao"", ""prudente"", ""e"", ""investimentos"", ""estrategicos"", ""reconhecendo"", ""a"", ""importancia"", ""do"", ""esforco"", ""pela"", ""manutencao"", ""permanente"", ""da"", ""estabilidade"", ""do"", ""ambiente"", ""politico"", ""e"", ""economico"", ""sao"", ""60"", ""anos"", ""do"", ""mdb"", ""e"", ""40"", ""anos"", ""da"", ""transicao"", ""democratica"", ""uma"", ""conquista"", ""ardua"", ""e"", ""de"", ""resistencia"", ""da"", ""sociedade"", ""brasileira"", ""o"", ""que"", ""estamos"", ""trazendo"", ""neste"", ""documento"", ""e"", ""mais"", ""um"", ""ato"", ""de"", ""responsabilidade"", ""do"", ""mdb"", ""para"", ""com"", ""o"", ""brasil"", ""em"", ""que"", ""se"", ""busca"", ""uma"", ""reconexao"", ""nao"", ""apenas"", ""com"", ""a"", ""sociedade"", ""brasileira"", ""representada"", ""mas"", ""tambem"", ""e"", ""principalmente"", ""com"", ""as"", ""dezenas"", ""de"", ""milhoes"", ""de"", ""11"", ""nosso"", ""pais"", ""nossa"", ""causa"", ""caminhos"", ""para"", ""o"", ""brasil"", ""nossa"", ""alma"", ""e"", ""nossos"", ""caminhos"", ""baleia"", ""rossi"", ""presidente"", ""nacional"", ""do"", ""mdb"", ""ha"", ""exatos"", ""60"", ""anos"", ""vivenciavamos"", ""o"", ""recrudescimento"", ""da"", ""ditadura"", ""militar"", ""com"", ""a"", ""extincao"", ""dos"", ""partidos"", ""politicos"", ""apos"", ""as"", ""eleicoes"", ""estaduais"", ""de"", ""outubro"", ""de"", ""1965""]"
6,"Quase que de imediato, nasceu a ideia de se criar um novo partido de oposição. Quem era contra o regime de exceção se juntou para formar o Movimento Democrático Brasileiro.",quase que de imediato nasceu a ideia de se criar um novo partido de oposicao quem era contra o regime de excecao se juntou para formar o movimento democratico brasileiro,"[""quase"", ""que"", ""de"", ""imediato"", ""nasceu"", ""a"", ""ideia"", ""de"", ""se"", ""criar"", ""um"", ""novo"", ""partido"", ""de"", ""oposicao"", ""quem"", ""era"", ""contra"", ""o"", ""regime"", ""de"", ""excecao"", ""se"", ""juntou"", ""para"", ""formar"", ""o"", ""movimento"", ""democratico"", ""brasileiro""]"
7,O projeto da sigla era um só: a retomada das liberdades.,o projeto da sigla era um so a retomada das liberdades,"[""o"", ""projeto"", ""da"", ""sigla"", ""era"", ""um"", ""so"", ""a"", ""retomada"", ""das"", ""liberdades""]"
8,Não foi fácil.,nao foi facil,"[""nao"", ""foi"", ""facil""]"
9,"Em 1970, descrente de suas forças, o partido quase se autodissolveu.",em 1970 descrente de suas forcas o partido quase se autodissolveu,"[""em"", ""1970"", ""descrente"", ""de"", ""suas"", ""forcas"", ""o"", ""partido"", ""quase"", ""se"", ""autodissolveu""]"
10,A retomada da confiança se deu a partir da chegada de Ulysses Guimarães à Presidência Nacional do MDB.,a retomada da confianca se deu a partir da chegada de ulysses guimaraes a presidencia nacional do mdb,"[""a"", ""retomada"", ""da"", ""confianca"", ""se"", ""deu"", ""a"", ""partir"", ""da"", ""chegada"", ""de"", ""ulysses"", ""guimaraes"", ""a"", ""presidencia"", ""nacional"", ""do"", ""mdb""]"
11,"Foram 14 anos de luta até a vitória do presidente Tancredo Neves no Colégio Eleitoral em 1985, que ganhou a eleição 13 12 FUNDAÇÃO ULYSSES GUIMARÃES + MDB orientado pelo programa “Esperança e Mudança”, de 1982, quando da refundação da sigla como PMDB, e pelo ideário definido pelo texto “Compromisso com a Nação”, produzido a partir da construção da Aliança Democrática, fundamental para a composição da chapa com José Sarney e a Frente Liberal. Com a morte de Tancredo antes da posse, coube a Sarney conduzir a transição democrática de forma exemplar, tendo como principal resultado a Constituição de 1988.",foram 14 anos de luta ate a vitoria do presidente tancredo neves no colegio eleitoral em 1985 que ganhou a eleicao 13 12 fundacao ulysses guimaraes mdb orientado pelo programa esperanca e mudanca de 1982 quando da refundacao da sigla como pmdb e pelo ideario definido pelo texto compromisso com a nacao produzido a partir da construcao da alianca democratica fundamental para a composicao da chapa com jose sarney e a frente liberal com a morte de tancredo antes da posse coube a sarney conduzir a transicao democratica de forma exemplar tendo como principal resultado a constituicao de 1988,"[""foram"", ""14"", ""anos"", ""de"", ""luta"", ""ate"", ""a"", ""vitoria"", ""do"", ""presidente"", ""tancredo"", ""neves"", ""no"", ""colegio"", ""eleitoral"", ""em"", ""1985"", ""que"", ""ganhou"", ""a"", ""eleicao"", ""13"", ""12"", ""fundacao"", ""ulysses"", ""guimaraes"", ""mdb"", ""orientado"", ""pelo"", ""programa"", ""esperanca"", ""e"", ""mudanca"", ""de"", ""1982"", ""quando"", ""da"", ""refundacao"", ""da"", ""sigla"", ""como"", ""pmdb"", ""e"", ""pelo"", ""ideario"", ""definido"", ""pelo"", ""texto"", ""compromisso"", ""com"", ""a"", ""nacao"", ""produzido"", ""a"", ""partir"", ""da"", ""construcao"", ""da"", ""alianca"", ""democratica"", ""fundamental"", ""para"", ""a"", ""composicao"", ""da"", ""chapa"", ""com"", ""jose"", ""sarney"", ""e"", ""a"", ""frente"", ""liberal"", ""com"", ""a"", ""morte"", ""de"", ""tancredo"", ""antes"", ""da"", ""posse"", ""coube"", ""a"", ""sarney"", ""conduzir"", ""a"", ""transicao"", ""democratica"", ""de"", ""forma"", ""exemplar"", ""tendo"", ""como"", ""principal"", ""resultado"", ""a"", ""constituicao"", ""de"", ""1988""]"
12,"Desde então, o Brasil vive seu período mais longevo sob o regime democrático.",desde entao o brasil vive seu periodo mais longevo sob o regime democratico,"[""desde"", ""entao"", ""o"", ""brasil"", ""vive"", ""seu"", ""periodo"", ""mais"", ""longevo"", ""sob"", ""o"", ""regime"", ""democratico""]"
13,"É algo que precisamos celebrar sempre, mas sem jamais perder de vista que há muito a ser feito.",e algo que precisamos celebrar sempre mas sem jamais perder de vista que ha muito a ser feito,"[""e"", ""algo"", ""que"", ""precisamos"", ""celebrar"", ""sempre"", ""mas"", ""sem"", ""jamais"", ""perder"", ""de"", ""vista"", ""que"", ""ha"", ""muito"", ""a"", ""ser"", ""feito""]"
14,"Problemas antigos, como a falta de um desenvolvimento econômico mais substantivo que diminua a vergonhosa desigualdade, ainda estão longe de solução.",problemas antigos como a falta de um desenvolvimento economico mais substantivo que diminua a vergonhosa desigualdade ainda estao longe de solucao,"[""problemas"", ""antigos"", ""como"", ""a"", ""falta"", ""de"", ""um"", ""desenvolvimento"", ""economico"", ""mais"", ""substantivo"", ""que"", ""diminua"", ""a"", ""vergonhosa"", ""desigualdade"", ""ainda"", ""estao"", ""longe"", ""de"", ""solucao""]"
15,"Por isso, não podemos deixar de reconhecer a existência de um certo desgaste das instituições perante a população.",por isso nao podemos deixar de reconhecer a existencia de um certo desgaste das instituicoes perante a populacao,"[""por"", ""isso"", ""nao"", ""podemos"", ""deixar"", ""de"", ""reconhecer"", ""a"", ""existencia"", ""de"", ""um"", ""certo"", ""desgaste"", ""das"", ""instituicoes"", ""perante"", ""a"", ""populacao""]"
16,"Essa crise de confiança ficou evidente em 2013, e uma década depois ainda não foi superada.",essa crise de confianca ficou evidente em 2013 e uma decada depois ainda nao foi superada,"[""essa"", ""crise"", ""de"", ""confianca"", ""ficou"", ""evidente"", ""em"", ""2013"", ""e"", ""uma"", ""decada"", ""depois"", ""ainda"", ""nao"", ""foi"", ""superada""]"
17,"Fundação Ulysses Guimarães, apresentou o “Ponte para o Futuro”, um programa de retomada da credibilidade da economia brasileira.",fundacao ulysses guimaraes apresentou o ponte para o futuro um programa de retomada da credibilidade da economia brasileira,"[""fundacao"", ""ulysses"", ""guimaraes"", ""apresentou"", ""o"", ""ponte"", ""para"", ""o"", ""futuro"", ""um"", ""programa"", ""de"", ""retomada"", ""da"", ""credibilidade"", ""da"", ""economia"", ""brasileira""]"
