doc_id,topic,probability,preprocess_disc
112,0,0.9986909627914429,união   revisão orador sr_presidente bom dia semana importante tema relevante debatir discutir votar câmara_dos_deputado começar pec_da_enfermagem cujo comissão_especial parte realizar possivelmente hoje votação relatório final relatório votar tardar amanhã plenário assim profissional enfermagem lutar trabalhar tanto durante tanto ano ver projeto_de_lei 2564 aprovar quase unanimidade câmara_dos_deputar efetivamente tornar realidade então fato importante semana câmara_do   pauta pec tratar benefício questionamento ano eleitoral ampliar auxílio emergencial 600 real criar valer caminhoneiro apesar filho caminhoneiro caminhoneiro vale valer caminhoneiro estrada decente seguro digna transitar quer frete preço justo principalmente pagar preço justo combustível assaltar caminhoneiro brasileiro atualmente aliás todo brasileiro assaltar preço praticar petrobra matéria tratar ampliação valegás valer relator propor atender motorista aplicativo taxista fim medida provisório importante dever colocar votação semana medida_provisório 1113 menos trabalhar inclusive liderança_do_nosso_partido união_brasil medida provisório dar segurança jurídico garantia principalmente pescador trabalhador rural pretender brasil praticamente acabar atividade sindicato rural principalmente relação cadastramento direcionamento documento junto inss concessão aposentadorio colônia pescador lugar pescador colônia prefeitura lugar trabalhador rural resolver problema sindicato algum problema algum fraude longo ano utilizar mecanismo legal exemplo capaz competente polícia_federal apurar punir errar punir todo pescador brasil trabalhador rural função erro algum portanto ficar apoio irrestrito abraço tanto pescador vier vários estados_do_brasil semana mobilização brasílio peçar divulgar programa   voz_do_brasil
51,0,0.9986586570739746,união sp revisão orador sr_presidente usar estudo próprio esquerda apontar erro fundamental discussão plenário 2016 fundação partido_dos_trabalhador fundação_perseu   abramo pesquisa deputado_alexis_fonteyne descobrir haddad perder voto periferia de_são_paulo haddad perder voto bairro pobre resultado pesquisa pobre entender barco empregador parecer esquerda entender ainda forçar conflito trabalhador empregador derrota histórico primeiro turno primeiro vez prefeito perder primeiro turno cidade_de_são_paulo claro mau prefeito históriar paulo pesquisa próprio pt mostrar razão perder eleição apostar discurso divisão apostar discurso jogar trabalhador contra empregador trabalhador saber empregador bem bem empregador mal mal falase empresário todo empresário bilionário todo empresário dono grande empresa 90 empresário brasileiro médio pequeno microempresário defesa empresário empreendedorismo tratar regra quê empregar setor serviço empregar setor serviço salões beleza empregar setor serviço pedreiro empregar setor serviço professor médico magnata bilionário gente comum trabalhar todo dia acordar cedo dormir tarde obrigar financiar grande privilégio parlamento elite funcionalismo público engraçar discurso defesa direito trabalhador nunca casa trabalhador direito pagar privilégio elite funcionalismo público inclusive parlamentar aí ninguém discutir fizéssemos plebiscito perguntar exemplo trabalhador pagar carro casa motorista comer gasolina apostar deus céu dar cambalhota cueca mesa   diretora_da_câmara_dos_deputados resultado plebiscito trabalhador acabar privilégio deixar pagar agora debate nunca levantar dito defensor trabalhador defender direito trabalhador usar dinheiro campanha
115,0,0.9986315369606018,união mg revisão orador sr_presidente monte   claro realizar semana 48 exposição_agropecuária momento passar 2 ano pandemia sociedade regional particularmente norte_de mina encontrar rever amigo confraternizar participar bom festa acima tudo promover agronegócio brasileiro saber sr_presidente agro responsável pib país saber organização_das_nações_unidas alerta possível crise alimentar apto fato prejudicar sociedade mundial partir ano 2023 sentido agro brasileiro saír possamos enfrentar tal situação caso específico 48 exposição   agropecuária_de_montes_claros gostar registrar ressaltar trabalho presidente_da_sociedade_rural amigo josé_moacyr sindicato rural amigo josé_avelino ambos trabalho excepcional defesa homem campo linha defesa homem campo registrar casa_do   povo conste anais_desta_casa dois ponto específico primeiro nação fomentar produção agrícola nacional sentido presidente_da   república jair_messias_bolsonaro último semana fato implementar plano_safra 20222023 aporte recorde recurso ordem 340 bilhão real fomentar repito produção agrícola nacional medida extremamente necessário importante possamos gerar produção colocar alimento mesa brasileiro mesa todo população mundial outro aspecto competir ressaltar defesa propriedade especialmente propriedade rural saber momento iminência eleição algum pessoa insuflar invasão terra sentido tomar cuidado chamar atenção órgão controle evitar invasão terra propriedade rural preservar saber constituição garantir clareza direito propriedade código_civil garantir possuidor turbar esbulhar reagir àquela invasão desde logo defer clareza casa_do_povo direito homem trabalhar campo direito agro brasileiro conclamo colega assim
60,0,0.9984949231147766,sr_presidente reportar hoje figura humano singular brasileiro nascer áustria legítimo servo deus amplo sentido palavrar d_alfredo_schaffler bispo_emérito_de_parnaíba hoje vigário cajueiro_da_praia estado_do_piauí d_alfredo homem bom natureza santidade razão gesto ação pastoral vida simples professor terra áustria ver televisão escolo manifestação d_edilberto bispo_de_oeiras vir alemanha prestar relevante serviço região sofrir oeira apelo então pessoa vocação religioso ajudar obra social apoio povo governo_da_alemanha d_alfredo tão jovem professor sensibilizouse apelo viajar país conhecer mapa saber região viajar navio lloyd_brasileiro certeza d_edilberto_dinkelborg bispo_de_oeiras dever conseguir passagem gratuito lloyd pertencer governo_brasileiro outro vocacionar serviço igreja_católica embarcar durante 90 dia atravessar atlântico_norte entrar atlântico_sul desembarcar belém onde aportar lloyd_brasileiro vazio pois buscar castanhasdopar vender alemanha grande historiador intelectual parnaíba eneas_barro trabalho excepcional sobre vida d_alfredo sentido parabenizar eneas_barro maneira inteligente maneira sábio elaboração belo trabalho mostrar d_alfredo todo dimensão humano homem tão modesto recusar próprio quer afastar função bispo efetivo parnaíba eneas_barros conversar d_alfredo tão modesto trago exemplo bispo substituílo d_rufino aposentar questão continuar viver palácio_do_bispo parnaíba recurso próprio família sempre ajudar construir casa quintal palácio_do_bispo peço vexo registrar anais_desta_casa trabalho fiz sobre figura humano d_alfredo_schaffler sr_presidente
110,0,0.9958446025848389,união  rj revisão orador r_presidente apresentar câmara_federal amigo felipe_brito précandidato deputado_estadual rio_de_janeiro partido união_brasil hoje luta importantíssimo aposentado pensionista servidor público beneficiar programa auxílio governo projeto_de_lei 809 2022 autoria criar pagamento dobro pagamento dobro opção dar janeiro mês difícil conta pagas dia onde vir dinheiro pagamento dobro fevereiro dezembro desconto salário provento aposentadoria beneficiar bom forma empréstimo banco pedir apoio pl 80922 aprovação projeto lei
103,1,0.9986185431480408,união ma revisão orador r_presidente caro colega apenas brasil mundo vivenciar mês escalado inflacionário enorme bastante influenciar pandemia passar guerra_da rússia ucrânia ainda curso todo governo vir buscar solução minimizar impacto danoso economia principalmente sociedade brasileiro brasil congresso_nacional liderar iniciativa compatibilização custo preço destacar protagonismo câmara_dos_deputar sobretudo medida legislativo ajuste imposto incidente sobre produto serviço considerar essencial vida pessoa combustível energia elétrico transporte coletivo governo_do_maranhão anunciar recentemente redução preço gasolina adotar redução base cálculo icms redução verdadeiro alíquota icms conforme aprovar plp_18 redução anunciar chegar apenas pouco 30 centavo bomba consumidor final todo mídia noticiar hoje alíquota icms_do   combustível_no maranhão manter quase 30 diferentemente impor diploma legal aprovar parlamento_brasileiro alíquota ficar máximo 18 justo correto registrar governos_estadual adotar redução alíquota icms imediato vir acontecer são_paulo goiás pará dezena estado adotar medida aprovar reduzir alíquota icms 17 18 preço combustível bomba chegar redução 1 real portanto hoje registrar anúncio fictício governo_do_maranhão sobre baixa preço combustível solicitar governador_carlos_brandão demais estado cumpra lei federal aprovar casa reduza verdade alíquota icms 17 18 assim acontecer redução preço acontecer outro estado povo maranhão merecer dúvida solicito revisto consiga aplicação lei cheguar pessoa fato  peçar vexa pronunciamento divulgar programa   voz_do_brasil vez espaço
20,1,0.9983291029930115,presidente_marcel_van_hattem vexa enquadrar bem fotografia ficar bonito aí primeiro agradecer vez parlamento compreensão ajudar brasil retomar economia nenhum país mundo alcançar sucesso político energético compatível momento viver assim vapor inglaterra assim petróleo estados_unir assim hoje relação china rússia relação gás esperavase postura chino guerra diferente tomar apoio pouco cumplicidade rússio assim brasil futuro planejar implantação célere daquilo grande potencial barato mundo energia limpo energia limpo brasil compatível competitivo qualquer energia mundo diferencial aí diferencial oportunidade brasil grande celeiro mundo energia renovável energia sol energia vento energia hidrelétrico energia água ficar postergar sempre debate fiquei feliz hoje compromisso deputado_arthur_liro votar pl 41421 agora outubro fiquei feliz debate aflorar exatamente sobre tema trouxer respeito medida_provisório 1118 esperar brasil consiga identificar oportunidade enquanto tergiversarr enquanto der espaço energia sujo atraso relação geração energético tergiversarmos exatamente debate oportunidade casa protagonista ação político papel papel agência regulador definir política público definir política público programa governo poder_executivo poder_legislativo tão importante diálogo permanente inclusive poder_executivo brasil avançar câmara parabéns
116,1,0.996536910533905,união sp ordem revisão orador somente vez caracterizar difícil salientar todo veto importante ponto ver dever destacar todo veto todo votar individualmente celular ficha ficar seis sete hora buscar acordo vez senador bloco concordar item então importante gente tecnologio diga dever analisar individualmente cada veto estimular possa tecnologia permitir cada marcar derrubar manter cada veto tempo dois três hora analisaríamos todo veto governo_federal cada parlamentar acordo consciência manter derrubar veto dar pensamento cada ficar gravar cada eleitor ver
76,1,0.9963988065719604,união   ce ordem revisão orador sr_presidente programa estado emergência criar exatamente dar segurança jurídico prazo objeto valor programa distribuir renda valor extrair valor propor emenda constitucional pagar pagar significar pagar auxílio aumento 400 real 600 real recuperação valegás auxílio caminhoneiro valetáxi agricultura familiar equiparação álcool gasolina temeridade inclusive destaque diante disso dever manter texto garantir povo brasileiro pequeno gratidão reconhecimento governo existir sobra caixa dinheiro caixa governo assegurar distribuição rendo união votar sim texto destaque
64,1,0.9910484552383423,união sp ordem revisão orador gostar agradecer coisa venho solicitar tempo votar celular todo veto hoje prazer clicar cada veto mantêlo derrubálo limpar todo pauta veto conforme prever regimento parabéns
