topic,terms
0,"0.008*""trabalhador"" + 0.008*""todo"" + 0.007*""brasileiro"" + 0.005*""sr_presidente"" + 0.005*""rural"" + 0.005*""saber"" + 0.005*""hoje"" + 0.005*""país"" + 0.004*""semana"" + 0.004*""serviço"""
1,"0.011*""dinheiro"" + 0.009*""energia"" + 0.009*""veto"" + 0.008*""todo"" + 0.008*""governo"" + 0.008*""vez"" + 0.008*""redução"" + 0.008*""real"" + 0.007*""brasil"" + 0.007*""alíquota"""
2,"0.013*""videogame"" + 0.010*""game"" + 0.009*""emprego"" + 0.009*""indústria"" + 0.008*""brasil"" + 0.008*""jogo"" + 0.008*""desenvolver"" + 0.008*""renda"" + 0.007*""gente"" + 0.007*""dar"""
3,"0.015*""médico"" + 0.011*""grande"" + 0.009*""país"" + 0.008*""brasil"" + 0.008*""ano"" + 0.008*""saúde"" + 0.007*""bom"" + 0.007*""todo"" + 0.007*""real"" + 0.007*""brasileiro"""
4,"0.014*""real"" + 0.013*""governo"" + 0.013*""dinheiro"" + 0.012*""salário"" + 0.010*""pobre"" + 0.010*""todo"" + 0.009*""inflação"" + 0.008*""parlamentar"" + 0.008*""população"" + 0.007*""aumento"""
5,"0.019*""grande"" + 0.017*""amigo"" + 0.015*""vereador"" + 0.013*""votação"" + 0.012*""todo"" + 0.009*""agradecimento"" + 0.009*""prefeito"" + 0.009*""mandato"" + 0.008*""povo"" + 0.008*""agradecer"""
6,"0.012*""contra"" + 0.007*""parlamentar"" + 0.006*""vez"" + 0.006*""dinheiro"" + 0.006*""perder"" + 0.006*""país"" + 0.006*""vida"" + 0.006*""procuradorgeral_da_república"" + 0.006*""investigar"" + 0.005*""todo"""
7,"0.010*""emenda"" + 0.010*""prazo"" + 0.010*""pec"" + 0.008*""ordem"" + 0.007*""art"" + 0.007*""união"" + 0.007*""todo"" + 0.006*""médico"" + 0.006*""questão"" + 0.006*""saúde"""
8,"0.010*""político"" + 0.008*""todo"" + 0.006*""brasil"" + 0.006*""constituição"" + 0.005*""vida"" + 0.005*""escolar"" + 0.005*""país"" + 0.005*""grande"" + 0.005*""brasileiro"" + 0.005*""texto"""
9,"0.009*""brasil"" + 0.008*""garantir"" + 0.008*""sr_presidente"" + 0.008*""grande"" + 0.007*""projeto"" + 0.007*""brasileiro"" + 0.007*""ano"" + 0.006*""sebrae"" + 0.006*""parabéns"" + 0.006*""mulher"""
10,"0.009*""d_alfredo"" + 0.007*""povo"" + 0.007*""vez"" + 0.006*""coisa"" + 0.006*""real"" + 0.006*""deus"" + 0.006*""hoje"" + 0.005*""mil"" + 0.005*""imposto"" + 0.005*""brasileiro"""
11,"0.011*""grande"" + 0.010*""todo"" + 0.009*""projeto"" + 0.007*""real"" + 0.007*""hoje"" + 0.006*""país"" + 0.005*""vez"" + 0.005*""ano"" + 0.005*""bilhão"" + 0.005*""mil"""
12,"0.015*""todo"" + 0.009*""união"" + 0.007*""sr_presidente"" + 0.006*""revisão"" + 0.006*""orador"" + 0.006*""projeto"" + 0.005*""crime"" + 0.005*""pessoa"" + 0.005*""votar"" + 0.005*""população"""
13,"0.014*""aplicativo"" + 0.014*""motorista"" + 0.009*""turno"" + 0.009*""todo"" + 0.008*""hoje"" + 0.007*""empresa"" + 0.007*""valor"" + 0.007*""questão"" + 0.006*""dois"" + 0.006*""constituição"""
14,"0.017*""união"" + 0.013*""sp"" + 0.012*""art"" + 0.011*""ordem"" + 0.009*""questão"" + 0.008*""empresa"" + 0.007*""sr_presidente"" + 0.007*""plenário"" + 0.007*""revisão"" + 0.007*""orador"""
