chunk_id,chunk_text,preprocess_agenda,tokens
0,"Carta de Princípios do Partido dos Trabalhadores Anterior ao Manifesto de Fundação do Partido dos Trabalhadores, a Carta de Princípios foi lançada publicamente no dia 1º de maio de 1979 A idéia da formação de um partido só dos trabalhadores é tão antiga quanto a própria classe trabalhadora.",carta princípio partido trabalhador anterior manifesto fundação partido trabalhador carta princípio lançar publicamente dia 1 maio 1979 idéia formação partido trabalhador tão antigo quanto próprio classe trabalhador,"[""carta"", ""princípio"", ""partido"", ""trabalhador"", ""anterior"", ""manifesto"", ""fundação"", ""partido"", ""trabalhador"", ""carta"", ""princípio"", ""lançar"", ""publicamente"", ""dia"", ""1"", ""maio"", ""1979"", ""idéia"", ""formação"", ""partido"", ""trabalhador"", ""tão"", ""antigo"", ""quanto"", ""próprio"", ""classe"", ""trabalhador""]"
1,"Numa sociedade como a nossa, baseada na exploração e na desigualdade entre as classes, os explorados e oprimidos têm permanente necessidade de se manter organizados à parte, para que lhes seja possível oferecer resistência séria à desenfreada sede de opressão e de privilégios das classes dominantes. Mas sempre que as lideranças dos trabalhadores e oprimidos se lançam à tarefa de construir essa organização independente de sua classe, toda sorte de obstáculos se contrapõe a seus esforços.",sociedade basear exploração desigualdade classe explorar oprimido ter permanente necessidade manter organizar parte possível oferecer resistência sério desenfrear sede opressão privilégio classe dominante sempre liderança trabalhador oprimir lançar tarefa construir organização independente classe todo sorte obstáculo contrapõe esforço,"[""sociedade"", ""basear"", ""exploração"", ""desigualdade"", ""classe"", ""explorar"", ""oprimido"", ""ter"", ""permanente"", ""necessidade"", ""manter"", ""organizar"", ""parte"", ""possível"", ""oferecer"", ""resistência"", ""sério"", ""desenfrear"", ""sede"", ""opressão"", ""privilégio"", ""classe"", ""dominante"", ""sempre"", ""liderança"", ""trabalhador"", ""oprimir"", ""lançar"", ""tarefa"", ""construir"", ""organização"", ""independente"", ""classe"", ""todo"", ""sorte"", ""obstáculo"", ""contrapõe"", ""esforço""]"
2,Essa situação vivida milhares de vezes em todos os países do mundo vem acontecendo agora no Brasil.,situação viver milhar vez todo país mundo vir acontecer agora brasil,"[""situação"", ""viver"", ""milhar"", ""vez"", ""todo"", ""país"", ""mundo"", ""vir"", ""acontecer"", ""agora"", ""brasil""]"
3,"Começando a sacudir o pesado jugo a que sempre estiveram submetidos, os trabalhadores de nosso país deram início, em 12 de maio do ano passado (greve da Scania), a sua luta emancipadora.",começar sacudir pesar jugo sempre submetir trabalhador país dar início 12 maio ano passado greve scania luta emancipador,"[""começar"", ""sacudir"", ""pesar"", ""jugo"", ""sempre"", ""submetir"", ""trabalhador"", ""país"", ""dar"", ""início"", ""12"", ""maio"", ""ano"", ""passado"", ""greve"", ""scania"", ""luta"", ""emancipador""]"
4,"Desde então, o operariado e os setores proletarizados de nossa população vêm desenvolvendo uma verdadeira avalanche pela melhoria de suas condições de vida e de trabalho. A experiência dessas lutas tem como resultado um visível amadurecimento político da população trabalhadora e o crescimento, em quantidade e qualidade, de suas lideranças. Esse rápido amadurecimento político pode ser visto claramente no aprimoramento das formas de luta de que os trabalhadores têm lançado mão.",desde então operariar setor proletarizar população vir desenvolver verdadeiro avalanche melhoria condição vida trabalho experiência de esse luta resultado visível amadurecimento político população trabalhador crescimento quantidade qualidade liderança rápido amadurecimento político poder ver claramente aprimoramento forma lutar trabalhador ter lançar mão,"[""desde"", ""então"", ""operariar"", ""setor"", ""proletarizar"", ""população"", ""vir"", ""desenvolver"", ""verdadeiro"", ""avalanche"", ""melhoria"", ""condição"", ""vida"", ""trabalho"", ""experiência"", ""de esse"", ""luta"", ""resultado"", ""visível"", ""amadurecimento"", ""político"", ""população"", ""trabalhador"", ""crescimento"", ""quantidade"", ""qualidade"", ""liderança"", ""rápido"", ""amadurecimento"", ""político"", ""poder"", ""ver"", ""claramente"", ""aprimoramento"", ""forma"", ""lutar"", ""trabalhador"", ""ter"", ""lançar"", ""mão""]"
5,"O início das lutas é marcado por um período de greves brancas nas fábricas. Já os embates mais recentes, dos quais a greve geral metalúrgica do ABCD é o melhor exemplo, mostram a retomada, em toda a linha, das formas clássicas de luta: grandiosidade das assembléias gerais, a ação decisiva dos piquetes e dos fundos de greve. Os trabalhadores entenderam ao longo desse ano de lutas que suas reivindicações mais sentidas esbarravam em obstáculos cada vez maiores, e é por isso, dialeticamente, que vão sendo obrigados a construir organizações cada vez mais bem articuladas e eficazes. Diante da força da greve do ABCD, os patrões e o governo precisaram dar-se as mãos para impedir o fim da política do arrocho salarial e o fim das estruturas semifascistas que tangem nossos sindicatos. Os patrões usam de todos os meios a seu alcance para quebrar a unidade dos trabalhadores, ao mesmo tempo em que se recusam a reconhecer os acordos obtidos no período das greves fabris. O governo desencadeia sua repressão: os sindicatos são invadidos e suas direções destituídas oficialmente, enquanto nas ruas a polícia persegue os piquetes e tenta impedir, pela violência, que os trabalhadores consigam local para se reunir. Por seu lado, o apoio que os metalúrgicos conseguem dos demais trabalhadores, embora seja suficiente para impedir que a repressão se aprofunde e faça produzir um recuo parcial, carece de maior conseqüência, devido, é claro, não à inexistência de um espírito de solidariedade, mas sim devido às limitações do movimento sindical e à inexistência de sua organização política. Tanto isso é verdade que as lideranças da greve são obrigadas a se escorar no apoio, muitas vezes duvidoso, de aliados ocasionais, saídos do campo das classes médias e da própria burguesia. Não puderam os trabalhadores expressar de modo mais conseqüente todo o seu apoio aos grevistas do ABCD, e essa impotência tenderá a continuar enquanto eles mesmos não se organizarem politicamente em seu próprio partido. É por isso que a idéia de um partido dos trabalhadores, ressurgindo no bojo das greves do ano passado e anunciado na reunião intersindical de Porto Alegre, em 19 de janeiro de 1979, tende a ganhar, hoje, uma irresistível popularidade. Porque se trata, hoje, mais do que nunca, de uma necessidade objetiva para os trabalhadores.",início luta marcar período greve branco fábrica embate recente greve geral metalúrgico abcd bom exemplo mostrar retomar todo linha forma clássico luta grandiosidade assembléia geral ação decisivo piquete fundo greve trabalhador entender longo de esse ano luta reivindicação sentir esbarrar obstáculo cada vez grande dialeticamente ir obrigar construir organização cada vez bem articular eficaz diante força greve abcd patrão governo precisar dar mão impedir fim política arrocho salarial fim estrutura semifascisto tangem sindicato patrão usar todo meio alcance quebrar unidade trabalhador tempo recusar reconhecer acordo obter período greve fabris governo desencadeiar repressão sindicato invadir direção destituír oficialmente enquanto rua polícia perseguir piquete tentar impedir violência trabalhador consigam local reunir lado apoio metalúrgico conseguir demais trabalhador embora suficiente impedir repressão aprofunder faça produzir recuo parcial carecer grande conseqüência dever claro inexistência espírito solidariedade sim dever limitação movimento sindical inexistência organização político tanto verdade liderança greve obrigar escorar apoio muitas vez duvidoso aliado ocasional saír campo classe médio próprio burguesia puder trabalhador expressar modo conseqüente todo apoio grevista abcd impotência tender continuar enquanto organizar politicamente próprio partido idéia partido trabalhador ressurgir bojo greve ano passado anunciar reunião intersindical porto alegre 19 janeiro 1979 tender ganhar hoje irresistível popularidade porque tratar hoje nunca necessidade objetivo trabalhador,"[""início"", ""luta"", ""marcar"", ""período"", ""greve"", ""branco"", ""fábrica"", ""embate"", ""recente"", ""greve"", ""geral"", ""metalúrgico"", ""abcd"", ""bom"", ""exemplo"", ""mostrar"", ""retomar"", ""todo"", ""linha"", ""forma"", ""clássico"", ""luta"", ""grandiosidade"", ""assembléia"", ""geral"", ""ação"", ""decisivo"", ""piquete"", ""fundo"", ""greve"", ""trabalhador"", ""entender"", ""longo"", ""de esse"", ""ano"", ""luta"", ""reivindicação"", ""sentir"", ""esbarrar"", ""obstáculo"", ""cada"", ""vez"", ""grande"", ""dialeticamente"", ""ir"", ""obrigar"", ""construir"", ""organização"", ""cada"", ""vez"", ""bem"", ""articular"", ""eficaz"", ""diante"", ""força"", ""greve"", ""abcd"", ""patrão"", ""governo"", ""precisar"", ""dar"", ""mão"", ""impedir"", ""fim"", ""política"", ""arrocho"", ""salarial"", ""fim"", ""estrutura"", ""semifascisto"", ""tangem"", ""sindicato"", ""patrão"", ""usar"", ""todo"", ""meio"", ""alcance"", ""quebrar"", ""unidade"", ""trabalhador"", ""tempo"", ""recusar"", ""reconhecer"", ""acordo"", ""obter"", ""período"", ""greve"", ""fabris"", ""governo"", ""desencadeiar"", ""repressão"", ""sindicato"", ""invadir"", ""direção"", ""destituír"", ""oficialmente"", ""enquanto"", ""rua"", ""polícia"", ""perseguir"", ""piquete"", ""tentar"", ""impedir"", ""violência"", ""trabalhador"", ""consigam"", ""local"", ""reunir"", ""lado"", ""apoio"", ""metalúrgico"", ""conseguir"", ""demais"", ""trabalhador"", ""embora"", ""suficiente"", ""impedir"", ""repressão"", ""aprofunder"", ""faça"", ""produzir"", ""recuo"", ""parcial"", ""carecer"", ""grande"", ""conseqüência"", ""dever"", ""claro"", ""inexistência"", ""espírito"", ""solidariedade"", ""sim"", ""dever"", ""limitação"", ""movimento"", ""sindical"", ""inexistência"", ""organização"", ""político"", ""tanto"", ""verdade"", ""liderança"", ""greve"", ""obrigar"", ""escorar"", ""apoio"", ""muitas"", ""vez"", ""duvidoso"", ""aliado"", ""ocasional"", ""saír"", ""campo"", ""classe"", ""médio"", ""próprio"", ""burguesia"", ""puder"", ""trabalhador"", ""expressar"", ""modo"", ""conseqüente"", ""todo"", ""apoio"", ""grevista"", ""abcd"", ""impotência"", ""tender"", ""continuar"", ""enquanto"", ""organizar"", ""politicamente"", ""próprio"", ""partido"", ""idéia"", ""partido"", ""trabalhador"", ""ressurgir"", ""bojo"", ""greve"", ""ano"", ""passado"", ""anunciar"", ""reunião"", ""intersindical"", ""porto"", ""alegre"", ""19"", ""janeiro"", ""1979"", ""tender"", ""ganhar"", ""hoje"", ""irresistível"", ""popularidade"", ""porque"", ""tratar"", ""hoje"", ""nunca"", ""necessidade"", ""objetivo"", ""trabalhador""]"
6,Cientes disso também é que setores das classes dominantes se apressam a sair a campo com suas propostas de PTB.,ciente de isso setor classe dominante apressar sair campo propor ptb,"[""ciente"", ""de isso"", ""setor"", ""classe"", ""dominante"", ""apressar"", ""sair"", ""campo"", ""propor"", ""ptb""]"
7,"Mas essas propostas demagógicas já não conseguem iludir os trabalhadores, que, nem de longe, se sensibilizaram com elas. Esse fato comprova que os trabalhadores brasileiros estão cansados das velhas fórmulas políticas elaboradas para eles. Agora, chegou a vez de o trabalhador formular e construir ele próprio seu país e seu futuro. Nós, dirigentes sindicais, não pretendemos ser donos do PT, mesmo porque acreditamos sinceramente existir, entre os trabalhadores, militantes de base mais capacitados e devotados, a quem caberá a tarefa de construir e liderar nosso partido. Estamos apenas procurando usar nossa autoridade moral e política para tentar abrir um caminho próprio para o conjunto dos trabalhadores. Temos a consciência de que, nesse papel, neste momento, somos insubstituíveis, e somente em vista disso é que nós reivindicamos o papel de lançadores do PT.",proposta demagógico conseguir iludir trabalhador longe sensibilizar fato comprovar trabalhador brasileiro cansar velho fórmula político elaborar agora chegar vez trabalhador formular construir próprio país futuro dirigente sindical pretender dono pt porque acreditar sinceramente existir trabalhador militante base capacitar devotar caber tarefa construir liderar partido apenas procurar usar autoridade moral político tentar abrir caminho próprio conjunto trabalhador consciênciar em esse papel em este momento insubstituível somente ver de isso reivindicar papel lançador pt,"[""proposta"", ""demagógico"", ""conseguir"", ""iludir"", ""trabalhador"", ""longe"", ""sensibilizar"", ""fato"", ""comprovar"", ""trabalhador"", ""brasileiro"", ""cansar"", ""velho"", ""fórmula"", ""político"", ""elaborar"", ""agora"", ""chegar"", ""vez"", ""trabalhador"", ""formular"", ""construir"", ""próprio"", ""país"", ""futuro"", ""dirigente"", ""sindical"", ""pretender"", ""dono"", ""pt"", ""porque"", ""acreditar"", ""sinceramente"", ""existir"", ""trabalhador"", ""militante"", ""base"", ""capacitar"", ""devotar"", ""caber"", ""tarefa"", ""construir"", ""liderar"", ""partido"", ""apenas"", ""procurar"", ""usar"", ""autoridade"", ""moral"", ""político"", ""tentar"", ""abrir"", ""caminho"", ""próprio"", ""conjunto"", ""trabalhador"", ""consciênciar"", ""em esse"", ""papel"", ""em este"", ""momento"", ""insubstituível"", ""somente"", ""ver"", ""de isso"", ""reivindicar"", ""papel"", ""lançador"", ""pt""]"
8,"O povo brasileiro está pobre, doente e nunca chegou a ter acesso às decisões sobre os rumos do país.",povo brasileiro pobre doente nunca chegar ter acesso decisão sobre rumo país,"[""povo"", ""brasileiro"", ""pobre"", ""doente"", ""nunca"", ""chegar"", ""ter"", ""acesso"", ""decisão"", ""sobre"", ""rumo"", ""país""]"
9,"E não acreditamos que esse povo venha a conhecer justiça e democracia sem o concurso decisivo e organizado dos trabalhadores, que são as verdadeiras classes produtoras do país. É por isso que não acreditamos que partidos e governos criados e dirigidos pelos patrões e pelas elites políticas, ainda que ostentem fachadas democráticas, possam propiciar o acesso às conquistas da civilização e à plena participação política a nosso povo. Os males profundos que se abatem sobre a sociedade brasileira não poderão ser superados senão por uma participação decisiva dos trabalhadores na vida da Nação. O instrumento capaz de propiciar essa participação é o Partido dos Trabalhadores. Iniciemos, pois, desde já, a cumprir esta tarefa histórica, organizando por toda parte os núcleos elementares desse partido.",acreditar povo vir conhecer justiça democracia concurso decisivo organizar trabalhador verdadeiro classe produtor país acreditar partido governo criar dirigir patrão elite político ainda ostentem fachada democrático poder propiciar acesso conquisto civilização pleno participação político povo mal profundo abater sobre sociedade brasileiro poder superar senão participação decisivo trabalhador vida nação instrumento capaz propiciar participação partido trabalhador inicier pois desde cumprir tarefa histórico organizar todo parte núcleo elementar de esse partido,"[""acreditar"", ""povo"", ""vir"", ""conhecer"", ""justiça"", ""democracia"", ""concurso"", ""decisivo"", ""organizar"", ""trabalhador"", ""verdadeiro"", ""classe"", ""produtor"", ""país"", ""acreditar"", ""partido"", ""governo"", ""criar"", ""dirigir"", ""patrão"", ""elite"", ""político"", ""ainda"", ""ostentem"", ""fachada"", ""democrático"", ""poder"", ""propiciar"", ""acesso"", ""conquisto"", ""civilização"", ""pleno"", ""participação"", ""político"", ""povo"", ""mal"", ""profundo"", ""abater"", ""sobre"", ""sociedade"", ""brasileiro"", ""poder"", ""superar"", ""senão"", ""participação"", ""decisivo"", ""trabalhador"", ""vida"", ""nação"", ""instrumento"", ""capaz"", ""propiciar"", ""participação"", ""partido"", ""trabalhador"", ""inicier"", ""pois"", ""desde"", ""cumprir"", ""tarefa"", ""histórico"", ""organizar"", ""todo"", ""parte"", ""núcleo"", ""elementar"", ""de esse"", ""partido""]"
