doc_id,topic,probability,preprocess_disc
185,0,0.9994751214981079,sr_presidente caro colega parlamentar acompanhar remotamente sessão segundafeiro assim outro sessão realizar sessão fake sessão apenas contar prazo regimental matéria outro interesse tramitar casa portanto plenário vazio segundafeiro presença remoto acompanhar demais parlamentar além ad hoc alexandre_frota presidir momento sessão acompanhar casa sr_presidente exato momento praticamente 14 hora diplomar presidente_da_república tribunal_superior_eleitoral expresidiário luiz_inácio_lula_da_silva condenar crime corrupção lavagem dinheiro expresidiário apesar crime cometir quadrilha acabar acordo decisão primeiro instância segundo instância instância recursal primeiro liberar prisão processo anular absolver condenação proferir confirmar outro instância juiz processo declarar suspeito ministro indicar réu condenar declarar suspeito declarar juiz insuspeito suspeito chegar ápice processo eleitoral diplomação portanto expresidiário condenar corrupção lavagem dinheiro absolver recorro exministro_marco_aurélio_mello todo letra processo anular marco_aurélio_mello exministro_do_supremo_tribunal_federal sofrer censura tribunal_superior_eleitoral contar verdade veicular programa eleitoral jair_bolsonaro oponente lula censurar ordem tribunal_superior_eleitoral ver momento triste viver sr_presidente processo eleitoral eivar problema sobre parlamentar hoje autorizar dar livremente opinião receio medo semana passado sair decisão ministro_alexandre_de_moraes sujeito multa 20 mil real dia descontar diretamente salário parlamentar reincidente fala atentatório justiça_eleitoral estado_democrático_de_direito incluir decisão apesar jamais condenar vez qualquer tipo fala atentatório justiça_eleitoral estado_democrático_de_direito fato ameaçar receber multa reincidência nunca incidente sr_presidente caro colega parlamentar absurdo presenciar momento acaso ontem protocolei embargo declaração ministro_alexandre_de_moraes retirar processo afinal conta pequeno sentido aliás rede social determinação ministro_alexandre_de_moraes desbloquear jamais suspenso bloquear ver coisa absurdo repito sr_presidente parte imunidade parlamentar aliás todo parlamentar nenhum receio multa torturo vir eventualmente infliger qualquer pessoa tortura físico jamais calar jamais desrespeitarei eleitor esperar diga pensar lamentavelmente ver hoje coroamento processo eleitoral coroamento inverso diplomação série ilegalidade inconstitucionalidade promovir dever primeiro respeitar lei constituição supremo_tribunal_federal tribunal_superior_eleitoral ver momento brasil independentemente lula bolsonaro sempre repito alguém direitar alguém esquerdo atingir arbítrio defender igualmente constituição estado_democrático_de_direito direita esquerdo vítima arbítrio defesa institucional assim deputado_josé_medeiros institucional defesa todo parlamentar expressar antes erroneamente repito incluir processo nunca defendi causa próprio apesar saber hora atingir saber ainda vir sêlo hora vir atingir qualquer parlamentares_desta_casa arbítrio ideologio portanto importante momento democracia sob risco ruptura institucional acontecer lá atrás inquérito fake abertos desrespeito constituição cometir câmara recuperar papel defesa legalidade defeso constituição defês democracia representativo agigante recuperar equilíbrio institucional defendir harmonio independência recuperar harmonio independência contrário viver apenas sob ditadura judiciário ditadura generalizado país sofrer casa representante legítimo povo claro representar povo brasileiro sr_presidente
288,0,0.9994075894355774,novo mg liderança revisão orador comentar dois ponto pauto sessão hoje câmara_dos_deputar duplo furo teto algum semana pec transição pec estouro gastançar pec camicase 2 chamem quiser saber bem criar somente atender promessa campanha bolsa_família auxílio   brasil pec prever estouro quase r 200 bilhão cumprir promessa campanha presidente_lula além prever orçamento número pequeno cerca 30 bilhão então pec construir atender demanda orçamento secreto parlamento colocar cheque branco mão presidente_lula quiser ano vir inúmero outro área nada relacionar bolsa_família auxílio_brasil outro lado algo pouco outro pec furateto colocar votação tarde congresso pec piso enfermagem entender errar saber casa aprovar pec piso enfermagem outro pec piso enfermagem prever furo teto r 12 bilhão supostamente atender requisito origem recurso pagar piso enfermagem pec aprovar ontem comissão_especial câmara onde único voto contrário representar partido_novo pauta tarde câmara_do   outro pec furateto votar pl enfermagem vir ano passado senado vir câmara ano promessa profissional enfermagem passar salário grande aprovação pl aprovouse pl ficar engavetar pec aprovar pec jato congresso_nacional pec promulgar consequência desemprego profissional enfermagem colocar rua casa repouso fechar lugar enfermeiro enganar maiore salário demitir stf acabar suspender efeito piso enfermagem motivo óbvio dinheiro atender necessidade agora suspender piso enfermagem correto suspensão aí vier novo pec ah agora gente pec matadora agora confiar gente piso resolver pec outro ultraje todo ferramenta fiscal brasil furar teto gasto utilizar receita extraordinário supostamente financiar despesa recorrente contra todo lógico financeiro qualquer bom administrador público novamente profissional enfermagem respeito ver iludir pec aprovar resolver problema problema econômico problema financeiro saber piso insustentável apenas partido_novo reiteradamente desde começar todo discussão brinquei comissão pouco chamar assembleia constituinte resolver problema enfermagem pl dois pecs resolver piso resolver então pouco eleição assembleia constituinte ver conseguir piso enfermagem caber novo constituição adianto caber lógico piso todo qualquer piso salarial piso salarial gerar desemprego aumento custo serviço público informalidade mercado trabalho reiteradamente posicionar contra piso salarial acontecer categoria enfermagem grande ilusão lamento lamento enganar durante tramitação primeiro pec tramitação pl piso considerar adequado infelizmente realidade alto sempre opinião partido_novo
39,0,0.9992449879646301,sr_presidente caro colega realmente diante situação difícil discutir jogo narrativo nada além jogo narrativa grande questão colocar coisa tanto fome problema brasil fome fome pressa ajudar diagnóstico problema problema brasil fome fome consequência nefasto problema brasil problema brasil crise econômico política social moral problema brasil problema brasil colocar fome problema fome consequência consequência problema congresso dar conta resolver resolver problema fome tomar decisão correto base evidência usar exemplo funcionar fugir populismo barato caminho fácil jogo fácil pensar exato momento facilidade próximo eleição pensar futuro país pensar futuro próximo geração pensar futuro país_daqui frente país sofrer descrédito faltar credibilidade absurdo insegurança jurídico absurdo ficar discutir solução fácil problema complexo educação péssimo qualidade pessoa oportunidade emprego resolver furar teto lei mudar constituição  lei mudar caminho fácil resolver problema postergar problema hoje vejo tristeza tornar população todo mundo ajudar cada vez vulnerável cada vez dependente cada vez cativeiro pobreza aliás onde população continuar discutir bom educação caminho autonomia caminho resolver quiser pessoa sonhar inventar problema fome fome existir consequência problema colocar desculpa fome tomar caminho fácil saída fácil saída discurso populista saída perpetuação condenar ficar cativeiro triste ver população vulnerável direito sair pobreza dar rampa acesso antigo política pão circo século xiv xv dar fome pão danese pobre deixeo continuar pobre deixeme continuar perpetuar vexa congresso peçar vexa discutir seriamente problema brasil criar condição população livre autonomia condição sair pobreza pec pec bolsa_família sim pec irresponsabilidade pessoa continuar pobreza resolvar problema 6 mês consiga manter compromisso responsável hoje peçar todo continuemos debate hoje peçar ainda colocar mão consciência pensem futuro filho futuro neto obrigar sr_presidente
233,0,0.9992058277130127,obrigar hoje ler twitter querido amigo deputado_alexis_fonteyne achar profundo interessante caro colega subor tribuna pensar narrativa política político narrativa existir narrativa lá narrativa cá existir dever real dentro narrativa político professora acadêmico diagnóstico problema tudo tese tudo dissertação diagnóstico problema maneira correto ficar andar círculo vida inteiro nunca achar solução problema ler twitter querido deputado_alexis pensar seguinte ouvir coisa principal problema brasil fome principal problema brasil fome querar ponderação fome consequência nefasto perverso problema nunca tratar geração emprego geração rendo consequência plano econômico economia economia previsibilidade economia estabilidade economia mover populismo mover tomar lá dar cá mover qualquer coisa atender cidadão população brasileiro ficor pensar ficar andar círculo tratar problema colocar narrativa correto brasileiro hoje emprego brasileiro hoje renda estimular brasileiro acabar fome dinheiro comprar comer enquanto política assistencialista populista enquanto política boazinho tanto parlamentar político bem tão generoso cuidar problema cuidar melhorar ambiente econômico cuidar facilitar iniciativa privado sustentar tudo todo máquina então ficor pensar dar foco realmente importante população autonomio população dependir realmente livre agora pedir todo representante povo zele economia zelemos economia realmente possamos resolver problema fome consequência economia tanto deixar lá nome algum coisa outro apelo mandar todo parlamentar convite assinar pec 33317 peçar apoio todo vir ordem_do_dia mandar todo parlamentar assinála ainda dar tempo enviar presidência então convidar todo assinála tanto pecs engavetar ano pec fim foro privilegiar outro produzir votadas semana apoiar pec antes enviar presidência ainda dar tempo fazêlo pec engavetar 4 quatro ano votar ainda legislatura dar salto civilizatório obrigar sr_presidente
292,0,0.9991092681884766,novo rs discutir revisão orador sr_presidente_do   congresso_nacional senador_rodrigo_pacheco senar caro colega senador sessão conjunto retomar microfone aparte cedo discussão veto momento congresso   nacional opinião deveríamos discutir nada país retorno democracia estado_de_direito conforme conhecíamos pouco deputado_rogério_marinho março 2019 começar inquérito fake vir todo abuso agora assistir vinr supremo_tribunal_federal independente sempre reforçar ponto liberdade expressão limite lei constituição dever valer todo direita esquerdo centro liberal socialista conservador momento ver perseguição político brasil vinda supremo   corte corte_eleitoral findar prazo eleição rodrigo_pacheco quase cem mandado buscar apreensão hoje absurdo senar casa algum coisa cobrar arthur_lira aliás 181 assinatura instalação comissão parlamentar inquérito contra abuso autoridade supremo_tribunal_federal tse advogado acesso auto conta bloquear prerrogativa foro senador   pacheco tudo lugar admitir brasil tanto golpe ruptura institucional país supremo_tribunal_federal continuar fazêla inclusive declarar guerra brasil ministro_alexandre_de_moraes soar campainha novo rs lamentável ver hoje país pacificar relação novo papel congresso_nacional representar povo brasileiro verdade afinal todo eleitos democraticamente papel senado_federal recolocar coisa devido lugar rodrigo_pacheco apelo juíz caber julgar executivo propor aprovar política público legislativo legislar fiscalizar soar campainha novo rs supremo_tribunal_federal passado cima atribuição outro  cessar aliás senador   pacheco ministro lei permitir lei_orgânica_da_magistratura permitir aliás veda manifestação auto veda manifestação político passo colocar imunidade parlamentar soar campainha novo rs senador situação humilhação todo joelho pensar censurado ameaçado absurdo judiciário dever lei permitir imunidade calar situação terminar peçar v_exa providência
234,1,0.9990273118019104,sr_presidente câmara viver câmara_dos_deputado demonstrar sociedade brasileiro respirar meio aparelho respirar vivo cento noventa três parlamentar momento declarar apoio cpi abuso_de_autoridade_do_tse stf 181 parlamentar dar assinatura 10 necessário protocolo outro 12 declarar apoio seguir abrir manifestação parlamentar chegar  bastar recolocar instituição devido lugar devir lugar contra judiciário contrário favor poder_judiciário favor reequilíbrio favor papel congresso_nacional onde dever debater democracia leis constituição próprio constituição obrigar defendêla defender direito parlamentar legislar fiscalizar investigar protocolar cpi tratar decisão judicial algum fake news sair aí sim sobre estaría impedido tratar sobre abuso autoridade sobre inquérito sequer existir menos protelar prorrogar indefinidamente sobre censura parlamentar inclusive deter imunidade qualquer opinião palavra voto imprensa órgão comunicação cidadão dar tolerar câmara respirar apenas povo brasileiro exigir parlamentar assinar cpi fizessem tornar hoje realidade protocolar mesa_diretora presidente_arthur_lira respeitar opinião popular soberania legislativo meio direito concedir minorio instalação cpis cpi instalação breve fizemos cálculo todo cpi relatório aprovar número reunião caber número reunião realizar cpi relatório aprovar dia restar final mandato desculpa justificativa contrário total razão cpi momento cessem abuso autoridade investiguese fundo tudo acontecer último mês ano país reponhamos todo devir lugar estado_de_direito restabelecer brasil cpi favor brasil favor congresso_nacional favor judiciário executivo três independência harmonia si todo parlamentar dar assinatura realização cpi àquele ainda assinar apoio abrir apoiamento povo brasileiro certeza vencer momento arbitrariedader autoritarismo vivo brasil sr_presidente
96,1,0.998956561088562,estabelecer apensação proposição matéria análogo conexo momento despacho distribuição comissão termos art 142 ricd apensação possível bastar proposição espécie regular matéria idêntico correlata entrar ordem_do_dia_do_plenário sobre questão identidade espécie proposição óbvio caber questionamento passase então alegação ausência conexão matéria dois proposição pec 3222 conforme ementa alterar ato_das_disposições_constitucionais_transitória excluir despesa limite prever art 107 definir regra transição presidência_da_república aplicável lei_orçamentária_de_2023 dar outro providência pretender assim excluir despesa chamar teto gasto fixar emenda_constitucional 95 2016 enquanto pec 2419 acordo ementar acrescentar inciso vao 6 art 107 ato_das_disposições_constitucionais_transitória excluir despesa instituição federal ensino termo especificar base cálculo limite individualizar despesa primário verificase assim dois proposição alterar dispositivo ato_das_disposições_constitucionais_transitórias excluir teto gasto despesa específico portanto conexão proposição claramente configurar ademal fato pec 3222 conter outro assunto impedir tramitação conjunto ver necessário conexão matéria presente todo texto proposição apensação tempestivo nenhum proposição figurar ordem_do_dia_do_plenário fim restar impugnação decorrente proposição encontrar estágio distinto tramitação conforme registrar decisão questões_de_ordem ns 90 2007 218 2022 óbice apensação pecs fase diferentes tramitação proposição tratar matéria correlatas ainda quanto questão registremse algum precedente casa apensação pecs encontrar estágio distinto tramitação pec 18399 pec 50710 pec 32717 pec 7703 pec 102 pec 1522 ante exposto conhecer questão ordem mérito indeferir pedir formular publiquese 20 dezembro 2022 arthur_lira_presidente
264,1,0.9988628625869751,sr_presidente entender intuito relator modificação vir último relatório receio líder simples autorização atendimento prazo parte público levar pessoa indevidamente solicitar poda árvore necessariamente colocar risco população contrariedade solução encontrar achar lado simplista assim inserir necessidade profissional habilitar laudo outro lado pouco simplista demais tender criar burocracia excessivo profissional habilitar hoje existir felizmente ainda regulamentação brasil profissional habilitar gerar laudo poda árvore pouco criar empresa habilitar começar criar possibilidade conluios algum empresa núcleo empresa cartel empresa prefeitura brasil então acreditar modificação dever projeto dar segurança indever pedir poda árvore prestes cair evitar risco população dever outro solução exigir vez registro fotográfico filme coisa assim analisar público jeito bastante receio criar burocracia mercado apropriar serviço junto prefeitura ver vários outro caso mercado restrito pouquíssima empresa habilitar prefeitura normalmente alguém vincular primo prefeito tia prefeitar algo assim aí empresa cidade grande cartelizar serviço prefeitura bom regulamentação próprio projeto risco colocar mercado abrir qualquer profissional qualquer empresa habilitar aí talvez seguro forma grande receio alteração texto vir solucionar pertinente dúvida líder criar verdade efeito inverso excessivo burocracia criação conluio profissional amigo rei local autorização laudo novo solicitar exclusão trecho inserir último versão relatório
282,1,0.9987858533859253,bom noite todo definer verdade verdade algo constróir algo verificar ciência olho humano hoje brasil existir alguém definir mentira verdade definir verdade mentira papel outorgou próprio censurar achar mentira indivíduo nome concedir povo concedir então antes vicepresidente eleger nome indivíduo alexandre_de_moraes discordar brasil jamais calar população tampouco parlamentar eleitos população representála pensar sim chegar perto ditadura alguém medar algum tipo ditadura brasil caminhar ditadura imposta hoje poderoso país contar papel legítimo sim institucional inclusive papel questionor rede social plenário casa rever papel tse eleição normal instituição responsável operação eleição fiscalização eleição julgamento acontecer eleição conflito interesse separação rito eleição rever urgente independentemente acontecer 2022 eleição anterior concentrar achar erro eleição acontecer parte candidato partido absurdo honesto realidade afirmar algum tipo erro fraude eleição operar eleição realizar fiscalização julgamento forma legítimo então apelo trazer debate projeto rever papel órgão eleitoral eleição independentemente acontecer aceitar continue forma separação função processo eleitoral tse opera fiscalizar julgar processo eleitoral errar todo sentido questão ideologio defesa acreditar conta acontecer acontecer eleição qualquer instituição concentração provocar dano ver acontecer momento alguém demais brasil
240,1,0.9986486434936523,destaque republicano linha fizemos buscar alterar lei atualmente tratar concessão empréstimo consignar quanto exigência instituição financeiro cálculo valor líquido salário servidor receber após empréstimo instituição financeiro limitação disponibilidader acesso todo dado contrato servidor saber portanto algum desconto extra pagar imposto_de_renda isenção algum motivo então instituição financeiro saber dar possibilidade dedução salário líquido servidor receber acabar letra morto hoje lei impraticável instituição financeiro conseguir intenção emenda então revogar dispositivo exigir instituição financeiro repassar valor líquido salário empréstimo consignar relator inserir instrumento relatório servidor repassar instituição financeiro contracheque constar todo informação lá partir instituição financeiro conseguir cálculo ver burocrático improdutivo vir informação achar simples revogação artigo lei instituição financeiro criar calculadora servidor colocar contracheque forma automático determinação legal então intenção emenda retirar lei atual obrigatoriedade instituição financeiro repasse valor final líquido dar inviável saber hoje dedução existente contracheque servidor tornar impossível cálculo 100 correto valor líquido final salário servidor após empréstimo consignar então destaque novo pedir apoio todo votar sim emenda
