doc_id,topic,probability,preprocess_disc
199,0,0.9997056722640991,sr_presidente deputado_dr_zacharia goiá vexa referência medicina cientista goiás todo conhecer conhecer remanescente goiás estado_do_tocantins filho estado_de_goiás sintome honrado vêlo presidir sessão agradecer deputado_airton_faleiro lembrança amizade respeito polaco deus levar militância lá céu deus deus recebir companheiro lutar tanto terra merecer descanso parabenizar vexo deputado_airton_faleiro contingenciamento corte recurso universidade lá par gravíssimo sr_presidente universidade_federal_do_tocantim corte 7 milhão 600 mil real recurso pagar despesa corrente água limpeza segurança campi todo estado limpar cofr notícia inclusive limpeza sala aula usar demitir funcionário limpeza novo universidade brasileiro universidade_federal_do_norte_do_tocantins sede araguaína viver drama deputado_dr_zacharias_calil nobre sessão área medicino curso medicina universidade_federal_do_norte_do_tocantins correr risco paralisar falta professor técnico garantir funcionamento curso novo turma infelizmente condição nenhum funcionar lamentavelmente governo sempre perseguir universidade meio ministro_da_economia corte atingir universidade instituto federal tocantins sr_presidente uft 2084 estudante bolsista abandonar universidade bolsista deputado_airton_faleiro remanescente quilombo condição continuar curso ocorrer comunidade indígena tocantinense indígena bolsista deixar aldeia universidade bolsa garantir permanência sobrevivência estudante corte universidade atingir frontalmente universidade_federal_do_tocantins universidade_federal_do_norte_do_tocantins sede araguaíno proposição justiço inclusive ministro_do_supremo_tribunal_federal josé_antonio_dias_toffoli dar 5 dia governo_federal manifestar posição sobre corte violento atingir todo universidade brasileiro instituto federal certeza suprema_corte sensível obrigar ministro_da_justiça atual tirar dinheiro universidade resolver problema caixa governo lamentável único coisa salvar país educação qualidade parar 1 ano todo mundo saber pesquisa parar portanto acreditar sr_presidente suprema_corte meio decisão firme ministro_dias_toffoli decisão monocrático sexa determinar presidente_bolsonaro ainda resto mês presidente_da_república saia lá palácio ministro_da_economia universidade terminar ano pagar conta todo relacionar pagamento boca caixo pagas hora pagálas dinheiro desaparecer sr_presidente antes concluir gostar tocantim novo pessoa brasil inteiro gaúcho goiano capixaba nordeste lá tocantins quase todo cidade talvez população grande oriundo nordeste estado_do_tocantins banhar rio_araguaia lado rio_tocantim outro estado_do_tocantins jalapão sombra dúvida parque turístico cobiçado país certeza absoluto agora novo governo fortalecer ainda turismo país esperar estado_de_tocantim lugar escolher população brasileiro visitar cantão visitar novamente jalapão conhecer rio_azuis pequeno mundo localizar lá município aurora conhecer serras_geral local maravilhoso conhecer cultura tocantinense cavalhar festa folclórico portanto acreditar turismo presidente_lula conhecer bem estado_de_tocantim possamos política público chegar rapidamente amazônia principalmente estado_do_tocantins certeza presidente_lula eleger recentemente votar primeiro segundo turno tocantins dia sequer comício reunião graças força militância partido_dos_trabalhador graças força organização trabalhador trabalhadora tocantins presença lula campanha duro econômico influenciar demais compra voto perseguição liderança político tocantins violência achar dono comandar terra público acabar cerrado acabar democracia firme exemplo fiz campanha cima carro som sr_presidente tocantins televisão pegar horário eleitoral alcançar cidade margem rodovia_belémbrasília cima carro som deputado_airton_faleiro visitar todo cidade condição fazermos reunião rápido menos andar rua rua eleição presidente_lula sr_presidente cidade chegávamos cujo população achar eleição apenas disputar presidencial lula bolsonaro conhecer demais candidato dar assistir horário eleitoral achar eleição tocantins apenas reeleição governador levar cidade campanha presidente_lula campanha companheiro partido_dos_trabalhador sr_presidente dobro voto crescer eleição dobrar votação eleição 2018 2022 infelizmente criação federação apenas oito alcançar quociente eleitoral vitória político conseguir vitória eleitoral continuar firme resistente luta lado trabalhador trabalhadora tocantins sonhar agora volta presidente_lula tricampeão ganhar três eleição presidente_do_brasil único históriar agora chegar fim copa acreditar brasil hexa dar alegria povo brasileiro viver futebol viver alegria copo vitória seleção_brasileira esperar possamos tirar pouco tristeza tomar conta pessoa aí abandonar saúde educação perspectivo melhora acreditar brasil acreditar tocantins brasil hexa povo brasileiro feliz tanto vitória brasil copa quanto novo mandato querido presidente_luiz_inácio_lula_da_silva sr_presidente expectativa grande principalmente onde disputar acirrado população carente votar lula povo humilde povo pobre povo periferia estado_do_tocantins votar lula campanha ver perseguição empresário assédio eleitoral ameaçar demissão servidor proprietário terra reunião ameaçar mandar embora peão trabalhar fazenda frigorífico forma reunir sala auditório todo funcionário ameaçavamno demissão votar atual presidente_da_república contudo povo querido estado_do_tocantins povo brasileiro resistir agora transição parte ver atrás estatal totalmente detonar atrás ministério forma dinheiro brasil todo campanha eleitoral tentar comprar consciência povo brasileiro contudo lula saber unir povo brasileiro saber formar time saber formar federação vitorioso vários estado infelizmente tocantins dar certo brasil dar possamos presidente_lula alegrar nação esperanço dia bom povo brasileiro povo alegre povo feliz triste momentaneamente sorriso voltar rosto população brasileiro sr_presidente gostar divulgar órgão comunicação casa especial programa a_voz_do_brasil espaço
195,0,0.9995627403259277,discurso na_íntegra encaminhar deputado_joão_daniel sr_presidente gostaría registrar oportunidade solicitar dar ler pronunciamento bem divulgar programa a_voz_do_brasil demais plataforma comunicação casa realização 37_festival_de_artes_de_são_cristóvão sergipe realizar 1 4 mês quarto cidade antigo país reconhecer unesco patrimônio_cultural_da_humanidade importante registrar exato 50 an 1972 pleno ditadura militar acontecer primeiro fasc acordo historiador ideiar governo exatamente aproximar população sob justificativa comemorar 150 ano proclamação_da_república assim sob responsabilidade ufs arregimentar grupo seleto professor início trajetória dese t importante evento cultural estado_de_sergipe grande norte nordeste ocorrer longo ano contra riar estratégia inicial governo_ditatorial festival consolidar trincheiro luta resistência verdadeiro palco céu abrir grande artista sergipano outro região brasil garantir expressar criação artístico diversos modalidade música dança poesia teatro cinema literatura pintura esculturo enfim todo expressão arte apesar desse meio século decorrer realidade época diferente atual especialmente di_zrespeito ataque democracia principalmente importância resistência cultural luta liberdade longo 5 década evento deixar acontecer 11 ano após edição 2005 saudoso prefeito_zezinho_da_everest retomar 2017 primeiro gestão prefeito_marcos_santana frente prefeitura_de_são_cristóvão 2020 2021 evento realizar razão pandemia efeito minimizar grande respeito parte autoridade ciêncio vida inclusive possibilidade salvo vida quase 700 mil brasileiro falecer exemplo querido prof josé_paulino ufs falecer recentemente homenagear fasc edição 50 ano ti ver honra prestigiar apresentar palco rua praça são_cristóvão nada menos 134 atração diverso vertente artístico dentre 115 sergipana 25 próprio município_de_são_cristóvão além atração internacional parlamentar gostaría parabenizar prefeito_marcos_santana todo equipe grande realização parabenizar patrocinador apoiador ajudar viabilizar fasc 2022 parabenizar instituição personalidade homenagear comenda_do_mérito_cultural parabenizar grupo_de_teatro_de_rua_imbuaça mú sico manuel_messias andrade neca poeta manoel_ferreira arquiteto rui_costa_de_almeida vida longo fasc luta resistência continuar forte viva coração mente povo sergipe brasil sr_presidente parlamentar cupo sta tribuna registrar satisfação diplomação querido presidente_lula ocorrer tarde ontem dia 12 tse homenagem povo brasileiro dedicar diplomação considerála reconquisto democracia referir população grande qualquer pessoa tentar impor arbitrari edade campanha vitorioso luiz_inácio_lula_da_silva vice geraldo_alckmin representar mudança radical política interno externo demandar trabalho gigantesco reconstrução transformação político público presidente_lula exemp lo força resiliêncio pois pessoa passar tudo passar assim concorrer eleição difícil qualidade candidato opositor rede mentiro utilização máquina público violência transformar pleito eleitoral sair vitorioso sinal brasil voltar grande país cuidar povo principalmente pobre decisão tomar partir preceito democrático justiça social série acontecimento bizarro levar país momento grande instabilidade institucional amear ça democracia desde golpe preside_nta_dilma prisão ilegal presidente_lula u mmomento desvirtuour cur_so_da_história_do_brasil fe_zcom vitória eleição sopro esperança futuro pessoa alimentar trabalhar estu dar voltar vida alegrio vitória democrac resultado atuação presidente_lula liderar frente 14 partido contra retorno ditadura processo transição outro partido engrossar fileira diverso representação sociedade hoje brasil terra arrasar dinheiro fechar conta ainda ano governo destruição político público ataque público institucional deixar legado perverso atingir diretamente povo pobre sr_presidente parlamentar tempo comemorar vitória democracia saibar trabalho povo viver dignidade nes_sa_luta
271,0,0.9995325803756714,olhar realmente bolsonarista viver universo paralelo bom definição situação mundo planeta redondo vacina transformar pessoa jacaré economia brasil maravilha desemprego inflação destruiçãor várias vez repetir dimensão tamanho destruição continuar ainda dar desplante reconhecer perder mané perder continuar destruir pisar acelerador destruição petrobras presidente_calil bastar entregar refinaria_de_mataripe bastar entregar gasoduto_nordeste bastar entregar br_distribuidora ainda próximo semana entregar outro refinaria entregar gasoduto_brasilbolíver comparsa comparsa familícia eduardo__bananinha lá catar colega curtir vida adoidar lá esportista catar mandar turma gado tentar invadir gramado congresso_nacional fechar ontem frente congresso fechar ordem eduardo__bananinha lá catar turma gado bolsominion delirante saír porta quartel viessem ocupar frente congresso_nacional lá catar usar dinheiro congresso usar benesse governo enquanto acabar xepa final feira continuar destruir presidente_calil vexa médico colega impressionante desastre ministério_da_saúde acompanho ministério_da_saúde consultor ministério mear ano 90 ministro_jatene secretário_municipal_de_saúde fiz acompanhamento conasems honra secretário_de_atenção_à_saúde primeiro governo_do_presidente_lula secretário_de_estar bahia fiz acompanhamento conass acompanhar área parlamentar ministério_da_saúde crime além genocídio pandemia acabar coordenação_de_saúde_mental acabar coordenação_de_hipertensão diabetes__a_coordenação_de_imunização ficar acéfala mês programar ainda vacina ano vir fiocruz butantan aguardar programação produção vacina próximo ano destruír orçamento todo área essencial rede público farmácia_popular recurso substituir ambulância samu construir reformar posto saúde nada raspar tacho caso todo item orçamentário essencial discricionário garantir coisa governo preocupar emenda orçamento secreto fim impedir impeachment bolsonaro vier pauta impedir base desgoverno votar contra medida absurr destruição direito destruição político destruição patrimônio continuar pisar acelerador desmonte desmantelo mau governo históriar país governo corrupto país históriar corrupção tão grande quanto orçamento secreto usar comprar voto dentro congresso_nacional todo grande votação fernando_henrique hoje lembrar quanto compra voto reeleição desgoverno todo grande votação passar negociação acompanhar tv_câmara lembrar quantas vez votação ficar dia seguinte fim concluir negociação líderes_dos_partidos_da_base_do governo definir quanto milhão liberar cada parlamentar cada partido recurso usar comprar apoio prefeito reeleição senador recurso usar movimentar máquina corrupção várias área superfaturamento trator ônibus escolar obra público tudo governo roubalheira governo corrupção governo destruiçãor governo desmonte felizmente ano acabar hoje dia 1 dezembro faltar apenas 30 dia presidente_lula assumer novamente cadeira presidente_da_repúblico novo alguém comando país chamar presidente_da_repúblico credibilidade confiança investidor pessoa mundo inteiro antes diplomar mundo bater palma presidente_lula conferência_do_clima antes diplomar buscar todo dirigente grande nação programar agenda entendimento bilateral brasil brasil virar pária internacional brasil dever hoje brasil devedor todo organismo internacional pagar fao pagar onu pagar oms calote internacional desgoverno desde 2019 brasil pagar contribuição organismo internacional mundo plano mundo chato destruição dever continuar permitir reconstruir país sim adiantar perder mané reconstruir brasil lula_presidente bom país novamente país trabalhar maioria população sr_presidente peçar divulgar programa a_voz_do_brasil participação sessão
401,0,0.9994052052497864,discurso na_íntegra encaminhar deputado_joão_daniel manhã terçafeira dia 22 justiça_federal realizar primeiro audiência referente processo criminal contra três policial rodoviário federal acusar participar abordagem resultar morte genivaldo_de_jesus_santos 38 ano 25 maio ano município umbaúba estado_de_sergipe genivaldo morrer torturar após trancar portamalas viatura polícia_rodoviária_federal prf submeter inalação gás lacrimogêneo corrênciar mostrar brasil mundo ver i nternet segundo justiça_federal próximo quintafeira dia 24 dever ouver 40 testemunha acusação defesa além réu processo criminal audiência iniciar manhã 7 vara_federal_de_sergipe estância testemunha ouvir esposo genivaldo fabiana_dos_santos vez prestar solidariedade apesar demorar pois próximo dia 25 6 mês ação criminoso agente contra genivaldo abordagem apesar reagir tentar identificar cruelmente torturar matar inquérito finalmente concluir determinação prisão três policial encontrar preso começar jugar esperar julgamento justiça pois sociedade brasileiro esperar esperanço punição exemplar crime espécie volt ocorrer policial valer r fardo corporação prestar serviço estado_brasileiro ag torturador assassina homem reagir abordagem genivaldo mão arma algum trabalhador conduta exemplar bom esposo pai família todo assistir ocorrer meio comunicação imprensa brasileiro internacional divulgar cena mostrar ação brutal covarde criminosa policial ocorrer presença várias pessoa simagem deprimente corr mundo ver i nternet outro meio comunicação acompa nhar caso desde início participar diligência ocorrer umbaúba dia 13 14 junho 2022 promover comissão_de_direitos_humano cdh juntamente senador rogério_carvalho humberto_co ta ouvir vereador cidade prefeito municipal entidade sociedade civil imprensa casa família onde ouvir mos viúva genivaldo fabiana depoimento firme sofrer representante ministério_público polícia_federal polícia_rodoviária_federal pedir resolução investigação punição envolvir coautor junto líder bancada deputado_reginaldo_lopes projeto_de_lei 1 390 2022 favor família genivaldo prever indenização r 1 milhão projeto pedir pensão especial mensal vitalício valor atual equivalente limite salário benefício previdência_social pl tramitar forma conclusivo comissão encontrandoser agora comissão_de_seguridade_social_e_família proveito solicitar casa deputado_art_hur_lira verifi andamento referir projeto perspectiva dar grande celeridade tramitação lutar cobrar compromi sso autoridade brasileiro sociedade umbaúba sergipe brasil segmento direito humano inclusive internacional acompanhar caso torturar nunca prisão arbitrário assassinato nunca certeza brasil surgir 2023 posse lula fato volt ar acontecer intuição público gir forma constitucional pautandose direito cada cidadão cidadã
255,0,0.9993501901626587,brasil acompanhar tentativa adequar orçamento vontade povo brasil votar praticamente 100 candidato defender continuidade 600 real bolsa_família bolsa_família projeto transferênciar renda algum achar pobre ficar conviver fome misério natural grande mérito governo luiz_inácio_lula_da_silva possibilidader emocionar sofrimento dor povo brasileiro psicopata fascista inclusive ocupar presidência_da_república momento conseguir sentir dor povo brasileiro dor povo brasileiro lula emocionar tempo colocar todo esforço necessário povo brasileiro redução bolsa_família alguém nefasto país alguém combater fome extravagância atentado contra próprio país saúde financeiro saber recurso bolsa_família acionar economia girar rodar economia população receber bolsa_família gastar próprio município próprio território esforço sim contar unanimidade casa esforço população país sofra fome betinho voltar exílio fome pressa pessoa conseguir ver sentir solidarizar sofrimento povo brasileiro normal natural fome desigualdade normal natural país matar fome aproximadamente 800 milhão pessoa mundo inteiro conviver fome esforço contar intersetorialidade contar várias política público avaliar questão distribuição democratização terra crédito necessário desenvolvimento científico tecnológico desafio pôr país todo condição superálo superálo superar todo forma violência hoje meio 21 dia ativismo fim violência contra mulher brasil mundo inteiro 16 dias_de_ativismo_pelo_fim_da_violência contra mulher várias forma violência grande parte violência naturalizar naturalizar fome naturalizar violência violação direito perenizar naturalização invar relação social hoje dia 2 dezembro desde dia 20 novembro ativismo brasil enfrentar violência atingir mulher mundo inteiro 100 país estáse ativismo 16 dia começar dia_internacional_para_a_eliminação_da_violência_contra_as_mulher dia lembrar irmã chamar mariposa lutar contra ditadura república_dominicano assassinar país inteiro batia asa mariposo todo todo lembrar luta coragem mulher enfrentar ditadura país período passar dia 1 dezembro dia enfrentamento aids sessão solene acerca ainda dia hoje passar dia 6 dia_do_laço_branco envolvimento homem luta contra violência atingir mulher encerrar dia 10 dia_da_declaração_universal_dos_direitos_humano deputado_van_hattem conjunto parlamentares_desta_casa enfrentar violência patriarcal sexista construir democracia democracia país enquanto índice violência atingir mulher violência político violência institucional violência obstétrico violência doméstico tanto violência momento dia ativismo enfrentar
476,1,0.9990378022193909,discurso na_íntegra encaminhar deputado_leo_de_brito sr_presidente último semana mês outubro procuradora_de_justiça_patrícia_de_amorim_rêgo ministério_público_do_estado_do_acre mpac vencer prêmio_de_inovação_judiciário_exponencial indicar finalista categoria liderança_exponencial segmento ministério_público órgão_de_controle premiação ocorrer durante abertura 6 dição congresso_de_inovação__tecnologia_e_direito_para_o_ecossistema_de_justiça grande evento sobre revolução tecnológico instituição sistema justiçar foco reconhecer personalidade liderar contribuição justiça brasileiro demonstrar trajetória consistente liderança gestão projeto prêmio reconhecer trajetória procuradora patrícia_rêgo motivo orgulho povo acreano instituição ministério_público tribuna casa casa_do_povo deixar registrar legado dess competente profissional meio jurídico discurso ato agradecimento referir prêmio patrícia_rêgo demostrar palavra merecer vencedor desafio promover mudança positivo mundo profundamente desigual altamente conectar interdependente atual contexto incerteza crise sobreposto desinformação exigir mum aposta tecnologio inovação distinguir premiação evento grande porte voltar inovação honra emocionar motivo especialmente tratar distinção pessoal apenas reconhecimento esforço trabalh coletivo instituição_ministé_rio_público_do_acre inspirar outro pessoa instituição trilhar caminho diferente usualmente costumar prêmio_de_inovação_judiciário_exponencial destacar case sucesso profissional perfil empreendedor instituição sete categoria inovação_tecnológica__inovação_na_gestão laboratórios_de_inovação__inovação_social liderança_exponencial executivo_de_tec_nologia executivo_de_inovação mpac participar 6 edição_do_congresso_de_inovação__tecnologia_e_direito ecossistema_de_justiça três iniciativa focar enfrentamento violência contra mulher conduzir centro_de_atendimento_à_vítima cav cav tar on aplicativo criar pandemia mulher vítima violência denúncia celular sair casa outro prática observatório_de_violência_de_gênero sala estudo metodologia próprio luz manual atuação promotor promotor ju stiça caso feminicídio terceiro iniciativa feminicidômetro ferramentar acompanhamento transparência processo penal todo fase seguir linha tempo desde data ocorrência fato instauração conclusão inquérito passar oferecimento denúncia mp datar julgamento informação respectivo sentença pena acusar sr_presidente peçar es discurso divulgar meio comunicação casa programa a_voz_do_brasil
352,1,0.9989418387413025,último dia acentuar forma grave atitude bandido modus operandi bandido governo bolsonaro último dia limpo passar rodo levar roubar máximo puder fim feira agir bandido sair correr alarme disparar antes polícia prendar principal alvo refinaria gasoduto imóvel petrobras todo brasil privatização andar bem lento conseguir acelerar eleição pisar acelerador caso tgb gasoduto_bolíviabrasil entregar antes final governo tgb refinaria_abreu_e_lima pernambuco gabriel_passo minas_geral getúlio_varga paraná alberto_pasqualini rio_grande_do_sul todo alvo rapinagem bandido caso sede petrobras rio_grande_do_norte pasmar vexa clube empregar petrobras colocar venda todo ativo processo privatização avançar contramão vontade grande acionista petrobras povo brasileiro decidir urna democraticamente parar desmonte parar entregar patrimônio público escazrr programa governo_do_presidente_lula petrobras parar privatização parar privataria retomar política investimento produção refino distribuição vontade popular presidente_charles respeitar petrobra fundo rapinar investimento bilionário acionista privar empresa economia misturar responsabilidade social paralisar imediatamente entregar patrimônio refinaria_landulpho_alves br_distribuidora cujo campo petróleo vendir assim terminal gasoduto usina refinaria entregar fundo árabe segundo grande refinaria brasil assalto contentar somente parar privataria governo_do_presidente_lula reverter entregar destruição patrimônio retomar petrobra população brasileiro transformar novamente petrobra fronteiro inovação sustentabilidade ambiental biocombustível através matriz combustível fóssel voltar empresa energia forte investimento ciêncio tecnologia impulsionar matriz energético energia solar eólico hidrogênio verde outro progresso presidente_lula então par privatização par privataria par roubar patrimônio público povo brasileiro urna contra
443,1,0.9988489151000977,folgo usar tribuna sob presidência vexo tratar retirada art seguinte art_24a_identificar ocorrência fato justifique inclusão terceiro sujeito passivo obrigação tributário após constituição definitivo crédito tributário fazenda_pública dever solicitar ver bem forma fundamentar mediante apresentação documento comprovatórios instauração incidente olhar instauração incidente desconsideração personalidade jurídico execução fiscal caso portanto fisco ficar ver navio conseguir exercer função tributário vez instauração incidente constituir definitivamente crédito tributário sentido solicitar retirada art entender personalidade jurídico execução incidente desconsideração após constituição definitivo crédito tributário fundamentação portanto retirar art destaque partido_dos_trabalhador apresentar vir bojo discussão vir relativo visão especial partido_novo sobre questão fisco sentido novo nunca fiscalização achar fiscalizar algo desnecessário si algo dever existir verdade fiscalização existir exatamente cumprir lei justiça tributário impedir exercir função tarefa fiscalizar deixar mau contribuinte favorecer exatamente inexistência dificuldade fiscalização assim partido_novo sempre procurar dificultar fisco favorecer mau pagador respeitar lei contra inclusive grande maioria respeitar preceito legal pagar tributo forma dever ficar prejudicado agir conformidade lei enquanto agir através má fiscalização dever legislação frouxo fiscalização beneficiar caso específico art beneficiar infrator destaque partido_dos_trabalhador retirada artigo inscazrr tempo líder aguardar votação destaque colega terminar votação projeto leir então deixar registrar vexa solicitar tempo líder
281,1,0.9986779689788818,negar avanço proposição avanço vigoroso partir discussão intervenção bancada partido_das_trabalhadoras_e_dos_trabalhadores receber medida provisório estabelecer apenas possibilidade parceria públicoprivado político nuclear brasileiro político energético nuclear portanto realmente avanço hoje assegurar monopólio comercialização assegurar controle partir união manutenção monopólio união possibilidade flexibilizar estabelecer parceria respeito mineração produção inegável avanço insuficiente possa entender discussão momento primeiro preciso discutir política energético brasileiro fonte limpo energia brasil potencial imenso respeito energia eólico energia solar tanto outro tipo energia inclusive brasil governo forma absolutamente irresponsável casa entregar iniciativa privado refiror energia elétrico privatização eletrobras lutar devolvêla povo brasileiro pensar modelo saber brasil importar praticamente todo urânio destinar política nuclear energético saber conforme deputado_zarattini brasil potencial talvez sexto país mundo inteiro produção utilização urânio potencialidade todo mundo inclusive brasil repensar forma produção energia considerar mudança climático insegurança saber lidar fonte energia provocar impacto saúde saúde trabalhador trabalhadora impactar produção energia portanto defesa possamos política energético dialoguar necessidade enfrentar mudança climático considerar discussão acontecer brasil inteiro após eleição lula mundo votar favoravelmente medida provisório votar contra
228,1,0.9986458420753479,sr_presidente viver momento complicado país relação questão energio fonte energia todo tipo hidráulico eólico solar gás carvão nuclear petróleo brasil país todo condição energia barato entanto energia cada vez cara povo brasileiro cara exatamente organização matriz energético garantir energia firme barato dois condição sempre comum muitas vez energia barato cada vez energia solar energia firme garantir desenvolvimento indústria desenvolvimento econômico energia firme então necessário combinação matriz energético combinação várias fonte portanto necessário rediscussão projeto energético nacional importantíssimo termo energia solar considerar principalmente campo onde pequeno agricultor condição acesso energia solar problema resolver favorecer entanto deixar levar conta trabalhador periferio grande cidade pagar distribuição cada vez cara então necessário amplo discussão projeto aumentar agudizar distorção lei geração distribuir aprovar fruto acordo acordo difícil alcançar chegar acordo agora romper portanto necessário pararmos refletir rejeitar projeto possamos efetivamente abrir parlamento_brasileiro discussão sobre modelo energético país aí caber todo matriz absolutamente todo investimento desenvolver país energia solar energia eólico energia gás energia nuclear todo rejeitar projeto debater assunto
