chunk_id,chunk_text,preprocess_agenda,tokens
0,"PROGRAMA COMPROMISSO COM O FUTURO Programa do Partido Socialismo e Liberdade Apresentação O surgimento do PSOL representou um marco na história da esquerda brasileira, trazendo à cena um novo instrumento político de luta, comprometido com a defesa e a construção de uma estratégia socialista pautada na democracia e na liberdade.",programa compromisso futuro programa partido socialismo liberdade apresentação surgimento psol representar marco históriar esquerdo brasileiro trazer cena novo instrumento político luta comprometer defesa construção estratégia socialista pautar democracia liberdade,"[""programa"", ""compromisso"", ""futuro"", ""programa"", ""partido"", ""socialismo"", ""liberdade"", ""apresentação"", ""surgimento"", ""psol"", ""representar"", ""marco"", ""históriar"", ""esquerdo"", ""brasileiro"", ""trazer"", ""cena"", ""novo"", ""instrumento"", ""político"", ""luta"", ""comprometer"", ""defesa"", ""construção"", ""estratégia"", ""socialista"", ""pautar"", ""democracia"", ""liberdade""]"
1,"Em um contexto mundial em que esse projeto foi tido por superado, nosso partido surgiu para reafirmar que outro mundo não apenas continua sendo possível, como também absolutamente necessário.",contexto mundial projeto ter superar partido surgir reafirmar outro mundo apenas continuar possível absolutamente necessário,"[""contexto"", ""mundial"", ""projeto"", ""ter"", ""superar"", ""partido"", ""surgir"", ""reafirmar"", ""outro"", ""mundo"", ""apenas"", ""continuar"", ""possível"", ""absolutamente"", ""necessário""]"
2,"Duas décadas após seu registro legal, o PSOL cresceu, se fortaleceu e incorporou elementos políticos, programáticos e sociais que o consolidaram como um partido fundamental para a renovação da esquerda no Brasil.",dois década após registro legal psol crescer fortalecer incorporar elemento político programático social consolidar partido fundamental renovação esquerdo brasil,"[""dois"", ""década"", ""após"", ""registro"", ""legal"", ""psol"", ""crescer"", ""fortalecer"", ""incorporar"", ""elemento"", ""político"", ""programático"", ""social"", ""consolidar"", ""partido"", ""fundamental"", ""renovação"", ""esquerdo"", ""brasil""]"
3,"Nosso partido surgiu na luta contra a reforma da Previdência, em 2003, posicionando-se como uma oposição de esquerda em um período histórico em que ainda não existia uma extrema-direita de massas no cenário nacional. Desde então, temos sido uma voz firme contra as políticas neoliberais e em defesa dos direitos da classe trabalhadora. Mantivemo-nos firmes na defesa da democracia durante o golpe parlamentar de 2016. Tivemos papel de destaque na oposição ao bolsonarismo, com forte atuação tanto nas ruas quanto no parlamento.",partido surgir luta contra reforma previdência 2003 posicionar oposição esquerdo período histórico ainda existir extremo direita massa cenário nacional desde então voz firme contra política neoliberal defesa direito classe trabalhador mantivemo firme defesa democracia durante golpe parlamentar 2016 papel destaque oposição bolsonarismo forte atuação tanto rua quanto parlamento,"[""partido"", ""surgir"", ""luta"", ""contra"", ""reforma"", ""previdência"", ""2003"", ""posicionar"", ""oposição"", ""esquerdo"", ""período"", ""histórico"", ""ainda"", ""existir"", ""extremo"", ""direita"", ""massa"", ""cenário"", ""nacional"", ""desde"", ""então"", ""voz"", ""firme"", ""contra"", ""política"", ""neoliberal"", ""defesa"", ""direito"", ""classe"", ""trabalhador"", ""mantivemo"", ""firme"", ""defesa"", ""democracia"", ""durante"", ""golpe"", ""parlamentar"", ""2016"", ""papel"", ""destaque"", ""oposição"", ""bolsonarismo"", ""forte"", ""atuação"", ""tanto"", ""rua"", ""quanto"", ""parlamento""]"
4,"Durante a pandemia, fomos responsáveis por uma ação no STF que resultou na suspensão de despejos e remoções, garantindo proteção a milhares de famílias em situação de vulnerabilidade.",durante pandemia responsável ação stf resultar suspensão despejo remoção garantir proteção milhares família situação vulnerabilidade,"[""durante"", ""pandemia"", ""responsável"", ""ação"", ""stf"", ""resultar"", ""suspensão"", ""despejo"", ""remoção"", ""garantir"", ""proteção"", ""milhares"", ""família"", ""situação"", ""vulnerabilidade""]"
5,"Conectado com as lutas do nosso tempo, o PSOL se identifica com os movimentos sociais contemporâneos em defesa do feminismo, da luta antirracista e anticapacitista, da comunidade LGBTQIA+, dos povos indígenas, de ambientalistas e dos direitos humanos.",conectar luta tempo psol identificar movimento social contemporâneo defesa feminismo luta antirracisto anticapacitista comunidade lgbtqia povo indígena ambientalista direito humano,"[""conectar"", ""luta"", ""tempo"", ""psol"", ""identificar"", ""movimento"", ""social"", ""contemporâneo"", ""defesa"", ""feminismo"", ""luta"", ""antirracisto"", ""anticapacitista"", ""comunidade"", ""lgbtqia"", ""povo"", ""indígena"", ""ambientalista"", ""direito"", ""humano""]"
6,"Buscamos constantemente nos atualizar por meio do diálogo com novas e antigas formas de luta popular e social, de maneira interseccional.",buscar constantemente atualizar meio diálogo novo antigo forma luta popular social maneira interseccional,"[""buscar"", ""constantemente"", ""atualizar"", ""meio"", ""diálogo"", ""novo"", ""antigo"", ""forma"", ""luta"", ""popular"", ""social"", ""maneira"", ""interseccional""]"
7,"Ao longo desses vinte anos, amadurecemos sem abrir mão do nosso compromisso com a radicalidade socialista.",longo de esse vinte ano amadurecer abrir mão compromisso radicalidade socialista,"[""longo"", ""de esse"", ""vinte"", ""ano"", ""amadurecer"", ""abrir"", ""mão"", ""compromisso"", ""radicalidade"", ""socialista""]"
8,Construímos redes de alianças dentro e fora do Brasil e crescemos eleitoralmente como nenhum outro partido da esquerda brasileira.,construír rede aliança dentro brasil crescer eleitoralmente nenhum outro partido esquerdo brasileiro,"[""construír"", ""rede"", ""aliança"", ""dentro"", ""brasil"", ""crescer"", ""eleitoralmente"", ""nenhum"", ""outro"", ""partido"", ""esquerdo"", ""brasileiro""]"
9,"Ainda assim, temos um longo caminho pela frente.",ainda assim longo caminho frente,"[""ainda"", ""assim"", ""longo"", ""caminho"", ""frente""]"
10,"Essa trajetória potente foi construída em um período de intensas contradições, com a agudização da crise do neoliberalismo a partir de 2008 e a ascensão da extrema-direita como desdobramento dessa crise. Neste novo cenário, nos deparamos com uma etapa histórica em que a esquerda necessita formular novas respostas.",trajetória potente construir período intenso contradição agudização crise neoliberalismo partir 2008 ascensão extremo direita desdobramento de esse crise em este novo cenário deparar etapa histórico esquerda necessitar formular novo resposta,"[""trajetória"", ""potente"", ""construir"", ""período"", ""intenso"", ""contradição"", ""agudização"", ""crise"", ""neoliberalismo"", ""partir"", ""2008"", ""ascensão"", ""extremo"", ""direita"", ""desdobramento"", ""de esse"", ""crise"", ""em este"", ""novo"", ""cenário"", ""deparar"", ""etapa"", ""histórico"", ""esquerda"", ""necessitar"", ""formular"", ""novo"", ""resposta""]"
