chunk_id,chunk_text,preprocess_agenda,tokens
0,"CAMINHOS PARA O BRASIL Documento político-programático 2025 Dados Internacionais de Catalogação na Publicação (CIP) (Câmara Brasileira do Livro, SP, Brasil) Caminhos para o Brasil – Nosso País, Nossa Causa / autores e coordenação Gustavo Grisa, Renata de Carvalho Rodrigues, José Aldo Rebelo Figueiredo, José Fogaça, Raul Henry, José Luíz Fuscaldo. Brasília, DF : Fundação Ulysses Guimarães, Sumário I - APRESENTAÇÃO - O BRASIL É AGORA, MUDANÇA COM CONVERGÊNCIA Mensagem Baleia Rossi, presidente do MDB Mensagem Alceu Moreira, presidente da FUG Mensagem Michel Temer, Presidente da República (2016-2018) Mensagem Eduardo Braga, líder do MDB no Senado Mensagem Isnaldo Bulhões, líder do MDB na Câmara Mensagem Aldo Rebelo, coordenador-geral “O Brasil Precisa Pensar o Brasil” Trajetória “O Brasil Precisa Pensar o Brasil” - uma construção coletiva de futuro II - CONTEÚDO PROGRAMÁTICO - CAMINHOS PARA O BRASIL A nossa causa - o Brasil é de todos Eixos estruturantes do conteúdo programático As causas mobilizadoras Consolidação da democracia Retomada do desenvolvimento Redução das desigualdades Mensagem de convergência - As escolhas de futuro diante da urgência do presente 8 12 14 16 18 20 22 24 28 28 32 38 41 53 89 123 I . AP RES ENTAÇÃO O Brasil é agora Este documento apresenta Para atravessar o momento caminhos para o Brasil a conturbado e polarizado e partir de uma construção das opções reducionistas, coletiva, fundamentada em um será necessário organizar amplo processo de consulta uma coerência de visões em e pesquisa realizado entre torno dos grandes assuntos janeiro e setembro de 2025, e que dominam e dominarão a que seguirá em curso ao longo agenda pública na atualidade, de 2026.",caminho para o brasil documento politico programatico 2025 dado internacional de catalogacao em o publicacao cip camara brasileira de o livro sp brasil caminho para o brasil nosso pai nosso causa autor e coordenacao gustavo grisa renata de carvalho rodrigues jose aldo rebelo figueiredo jose fogaca raul henry jose luiz fuscaldo brasilia df fundacao ulysses guimaraes sumario i apresentacaor o brasil e agora mudanca com convergencio mensagem baleio rossi presidente de o mdb mensagem alceu moreira presidente de o fug mensagem michel temer presidente de o republica 2016 2018 mensagem eduardo braga lider de o mdb em o senado mensagem isnaldo bulhoes lider de o mdb em o camara mensagem aldo rebelo coordenador geral o brasil precisar pensar o brasil trajetoria o brasil precisar pensar o brasil um construcao coletivo de futuro ii conteudo programatico caminho para o brasil o nosso causa o brasil e de todo eixo estruturante de o conteudo programatico o causa mobilizadoro consolidacao de o democracia retomar de o desenvolvimento reducao de o desigualdade mensagem de convergencia o escolha de futuro diante de o urgencia de o presente 8 12 14 16 18 20 22 24 28 28 32 38 41 53 89 123 i ap res entacao o brasil e agora este documento apresentar para atravessar o momento caminho para o brasil a conturbar e polarizar e partir de um construcao de o opcoe reducionista coletivo fundamentar em um sera necessario organizar amplo processo de consulta um coerencia de visoes em e pesquisa realizar entre torno de o grande assunto janeiro e setembro de 2025 e que dominar e dominarao a que seguira em curso a o longo agenda publicar em o atualidade de 2026,"[""caminho"", ""para"", ""o"", ""brasil"", ""documento"", ""politico"", ""programatico"", ""2025"", ""dado"", ""internacional"", ""de"", ""catalogacao"", ""em o"", ""publicacao"", ""cip"", ""camara"", ""brasileira"", ""de o"", ""livro"", ""sp"", ""brasil"", ""caminho"", ""para"", ""o"", ""brasil"", ""nosso"", ""pai"", ""nosso"", ""causa"", ""autor"", ""e"", ""coordenacao"", ""gustavo"", ""grisa"", ""renata"", ""de"", ""carvalho"", ""rodrigues"", ""jose"", ""aldo"", ""rebelo"", ""figueiredo"", ""jose"", ""fogaca"", ""raul"", ""henry"", ""jose"", ""luiz"", ""fuscaldo"", ""brasilia"", ""df"", ""fundacao"", ""ulysses"", ""guimaraes"", ""sumario"", ""i"", ""apresentacaor"", ""o"", ""brasil"", ""e"", ""agora"", ""mudanca"", ""com"", ""convergencio"", ""mensagem"", ""baleio"", ""rossi"", ""presidente"", ""de o"", ""mdb"", ""mensagem"", ""alceu"", ""moreira"", ""presidente"", ""de o"", ""fug"", ""mensagem"", ""michel"", ""temer"", ""presidente"", ""de o"", ""republica"", ""2016"", ""2018"", ""mensagem"", ""eduardo"", ""braga"", ""lider"", ""de o"", ""mdb"", ""em o"", ""senado"", ""mensagem"", ""isnaldo"", ""bulhoes"", ""lider"", ""de o"", ""mdb"", ""em o"", ""camara"", ""mensagem"", ""aldo"", ""rebelo"", ""coordenador"", ""geral"", ""o"", ""brasil"", ""precisar"", ""pensar"", ""o"", ""brasil"", ""trajetoria"", ""o"", ""brasil"", ""precisar"", ""pensar"", ""o"", ""brasil"", ""um"", ""construcao"", ""coletivo"", ""de"", ""futuro"", ""ii"", ""conteudo"", ""programatico"", ""caminho"", ""para"", ""o"", ""brasil"", ""o"", ""nosso"", ""causa"", ""o"", ""brasil"", ""e"", ""de"", ""todo"", ""eixo"", ""estruturante"", ""de o"", ""conteudo"", ""programatico"", ""o"", ""causa"", ""mobilizadoro"", ""consolidacao"", ""de o"", ""democracia"", ""retomar"", ""de o"", ""desenvolvimento"", ""reducao"", ""de o"", ""desigualdade"", ""mensagem"", ""de"", ""convergencia"", ""o"", ""escolha"", ""de"", ""futuro"", ""diante"", ""de o"", ""urgencia"", ""de o"", ""presente"", ""8"", ""12"", ""14"", ""16"", ""18"", ""20"", ""22"", ""24"", ""28"", ""28"", ""32"", ""38"", ""41"", ""53"", ""89"", ""123"", ""i"", ""ap"", ""res"", ""entacao"", ""o"", ""brasil"", ""e"", ""agora"", ""este"", ""documento"", ""apresentar"", ""para"", ""atravessar"", ""o"", ""momento"", ""caminho"", ""para"", ""o"", ""brasil"", ""a"", ""conturbar"", ""e"", ""polarizar"", ""e"", ""partir"", ""de"", ""um"", ""construcao"", ""de o"", ""opcoe"", ""reducionista"", ""coletivo"", ""fundamentar"", ""em"", ""um"", ""sera"", ""necessario"", ""organizar"", ""amplo"", ""processo"", ""de"", ""consulta"", ""um"", ""coerencia"", ""de"", ""visoes"", ""em"", ""e"", ""pesquisa"", ""realizar"", ""entre"", ""torno"", ""de o"", ""grande"", ""assunto"", ""janeiro"", ""e"", ""setembro"", ""de"", ""2025"", ""e"", ""que"", ""dominar"", ""e"", ""dominarao"", ""a"", ""que"", ""seguira"", ""em"", ""curso"", ""a o"", ""longo"", ""agenda"", ""publicar"", ""em o"", ""atualidade"", ""de"", ""2026""]"
1,e que se projetarão pela década seguinte.,e que se projetarao por o decada seguinte,"[""e"", ""que"", ""se"", ""projetarao"", ""por o"", ""decada"", ""seguinte""]"
2,"Parte desta Nesta síntese, estão expressas perspectiva e transição para linhas de posicionamento que um novo momento nacional representam o sentimento de passa por um posicionamento lideranças políticas e gestores responsável para o Brasil, públicos de todos os Estados baseado em atualização de brasileiros, de especialistas agenda, consensos e soluções em temáticas de impacto convergentes.",parte de este em este sintese estao expressas perspectiva e transicao para linha de posicionamento que um novo momento nacional representar o sentimento de passar por um posicionamento lideranco politico e gestor responsavel para o brasil publico de todo o estado basear em atualizacao de brasileiro de especialista agenda consenso e solucoes em tematica de impacto convergente,"[""parte"", ""de este"", ""em este"", ""sintese"", ""estao"", ""expressas"", ""perspectiva"", ""e"", ""transicao"", ""para"", ""linha"", ""de"", ""posicionamento"", ""que"", ""um"", ""novo"", ""momento"", ""nacional"", ""representar"", ""o"", ""sentimento"", ""de"", ""passar"", ""por"", ""um"", ""posicionamento"", ""lideranco"", ""politico"", ""e"", ""gestor"", ""responsavel"", ""para"", ""o"", ""brasil"", ""publico"", ""de"", ""todo"", ""o"", ""estado"", ""basear"", ""em"", ""atualizacao"", ""de"", ""brasileiro"", ""de"", ""especialista"", ""agenda"", ""consenso"", ""e"", ""solucoes"", ""em"", ""tematica"", ""de"", ""impacto"", ""convergente""]"
3,"público, da militância e da base do MDB.",publico de o militancia e de o base de o mdb,"[""publico"", ""de o"", ""militancia"", ""e"", ""de o"", ""base"", ""de o"", ""mdb""]"
4,"Uma síntese que traduz a combinação entre a urgência da ação e a serenidade para articular, ao entender que, para a construção política democrática, os fundamentos são o diálogo, a busca pelo entendimento e o profundo respeito à institucionalidade do Brasil democrático. O que nos une é a necessidade de mudança com convergência UM CENTRO DEMOCRÁTICO AGREGADOR, PROATIVO E PRODUTIVO A escolha de se colocar no extrema esquerda, desviando centro democrático carrega o foco da resolução de uma responsabilidade problemas reais de melhoria intrínseca: escutar, dialogar da qualidade de vida da e enxergar, de fato, o que população brasileira.",um sintese que traduzir o combinacao entre o urgencia de o acao e o serenidade para articular a o entender que para o construcao politico democratico o fundamento sao o dialogo o busca por o entendimento e o profundo respeito o institucionalidade de o brasil democratico o que nós unir e o necessidade de mudanca com convergencia um centro democratico agregador proativo e produtivo o escolha de se colocar em o extremo esquerda desviar centro democratico carregar o foco de o resolucao de um responsabilidade problema real de melhoria intrinsecar escutar dialogar de o qualidade de vida de o e enxergar de fato o que populacao brasileiro,"[""um"", ""sintese"", ""que"", ""traduzir"", ""o"", ""combinacao"", ""entre"", ""o"", ""urgencia"", ""de o"", ""acao"", ""e"", ""o"", ""serenidade"", ""para"", ""articular"", ""a o"", ""entender"", ""que"", ""para"", ""o"", ""construcao"", ""politico"", ""democratico"", ""o"", ""fundamento"", ""sao"", ""o"", ""dialogo"", ""o"", ""busca"", ""por o"", ""entendimento"", ""e"", ""o"", ""profundo"", ""respeito"", ""o"", ""institucionalidade"", ""de o"", ""brasil"", ""democratico"", ""o"", ""que"", ""nós"", ""unir"", ""e"", ""o"", ""necessidade"", ""de"", ""mudanca"", ""com"", ""convergencia"", ""um"", ""centro"", ""democratico"", ""agregador"", ""proativo"", ""e"", ""produtivo"", ""o"", ""escolha"", ""de"", ""se"", ""colocar"", ""em o"", ""extremo"", ""esquerda"", ""desviar"", ""centro"", ""democratico"", ""carregar"", ""o"", ""foco"", ""de o"", ""resolucao"", ""de"", ""um"", ""responsabilidade"", ""problema"", ""real"", ""de"", ""melhoria"", ""intrinsecar"", ""escutar"", ""dialogar"", ""de o"", ""qualidade"", ""de"", ""vida"", ""de o"", ""e"", ""enxergar"", ""de"", ""fato"", ""o"", ""que"", ""populacao"", ""brasileiro""]"
5,acontece ao seu redor.,acontecer a o seu redor,"[""acontecer"", ""a o"", ""seu"", ""redor""]"
6,"E essa posição de enxergar mais do Para enfrentar os desafios e que as partes em separado as oportunidades emergentes, contribui para tomar decisões promovendo um ambiente com maior legitimidade e favorável ao crescimento abrangência. econômico e à inclusão social, o MDB prioriza O compromisso com a uma governança estável e moderação, o pragmatismo, consistente ao defender a busca pelo consenso e políticas que priorizam a o equilíbrio atua como um continuidade a longo prazo, contrapeso ao desgaste com novas abordagens gerado pela intensificação de que aumentem a sua posicionamentos políticos escalabilidade, contemplando radicais, que emanam tanto o tamanho e a diversidade da extrema direita quanto da regional do Brasil. Esses pontos são convergentes brasileiros que se encontram com documentos anteriores desencantados com uma formulados pelo partido, disputa política polarizada e destacadamente, “Esperança e alheia aos grandes problemas Mudança” (1982), “Democracia que impactam diariamente na com Desenvolvimento” (1996), vida das pessoas. “Uma Ponte para o Futuro” (2015) e “Todos por Um Só Ao trazer o Brasil como Brasil” (2021). nossa principal causa, acima de ideologia ou costumes, Os documentos programáticos reafirmamos nossa conexão atenderam a momentos com a vontade de mudança da história que inspiravam efetiva e de um propósito ora a defesa e reintrodução compartilhado, uma distensão da sociedade brasileira do ambiente político a partir aos valores e princípios de uma agenda que permita democráticos, ora a debater, construir e entregar defesa de medidas como soluções reais para um Brasil responsabilidade fiscal, real, melhorando de forma regulamentação prudente e concreta a vida de todos os investimentos estratégicos, brasileiros. reconhecendo a importância do esforço pela manutenção permanente da estabilidade do ambiente político e econômico. São 60 anos do MDB e 40 anos da transição democrática, uma conquista árdua e de resistência da sociedade brasileira. O que estamos trazendo neste documento é mais um ato de responsabilidade do MDB para com o Brasil, em que se busca uma reconexão não apenas com a sociedade brasileira representada, mas também - e, principalmente - com as dezenas de milhões de Nossa alma e nossos caminhos BALEIA ROSSI PRESIDENTE NACIONAL DO MDB Há exatos 60 anos, vivenciávamos o recrudescimento da ditadura militar com a extinção dos partidos políticos após as eleições estaduais de outubro de 1965.",e esse posicao de enxergar mais de o para enfrentar o desafio e que o parte em separar o oportunidade emergente contribuir para tomar decisoe promover um ambiente com grande legitimidade e favoravel a o crescimento abrangenciar economico e o inclusao social o mdb priorizar o compromisso com a um governanca estavel e moderacao o pragmatismo consistente a o defender o busca por o consenso e politico que priorizar a o equilibrio atuar como um continuidade a longo prazo contrapeso a o desgaste com novo abordagem gerar por o intensificacao de que aumentar o seu posicionamento politico escalabilidade contemplar radical que emanar tanto o tamanho e o diversidade de o extremo direita quanto de o regional de o brasil esse ponto sao convergente brasileiro que se encontrar com documento anterior desencantar com um formulado por o partido disputar politico polarizar e destacadamente esperanca e alheio a o grande problema mudanca 1982 democracia que impactar diariamente em o com desenvolvimento 1996 vida de o pessoa um ponte para o futuro 2015 e todo por um so a o trazer o brasil como brasil 2021 nosso principal causa acima de ideologia ou costume o documento programatico reafirmar nosso conexao atender a momento com o vontade de mudanca de o historia que inspirar efetivo e de um proposito ora o defesa e reintroducao compartilhar um distensao de o sociedade brasileiro de o ambiente politico a partir a o valor e principio de um agenda que permitir democratico ora a debater construir e entregar defesa de medida como solucoes real para um brasil responsabilidade fiscal real melhorar de forma regulamentacao prudente e concreto o vida de todo o investimento estrategico brasileiro reconhecer o importancia de o esforco por o manutencao permanente de o estabilidade de o ambiente politico e economico sao 60 ano de o mdb e 40 ano de o transicao democratico um conquista arduo e de resistencia de o sociedade brasileiro o que estar trazer em este documento e mais um ato de responsabilidade de o mdb para com o brasil em que se buscar um reconexao nao apenas com o sociedade brasileiro representar mas tambem e principalmente com o dezena de milhoes de nosso alma e nosso caminho baleio rossi presidente nacional de o mdb ha exato 60 ano vivenciavamos o recrudescimento de o ditadura militar com o extincao de o partido politico apos o eleicoe estadual de outubro de 1965,"[""e"", ""esse"", ""posicao"", ""de"", ""enxergar"", ""mais"", ""de o"", ""para"", ""enfrentar"", ""o"", ""desafio"", ""e"", ""que"", ""o"", ""parte"", ""em"", ""separar"", ""o"", ""oportunidade"", ""emergente"", ""contribuir"", ""para"", ""tomar"", ""decisoe"", ""promover"", ""um"", ""ambiente"", ""com"", ""grande"", ""legitimidade"", ""e"", ""favoravel"", ""a o"", ""crescimento"", ""abrangenciar"", ""economico"", ""e"", ""o"", ""inclusao"", ""social"", ""o"", ""mdb"", ""priorizar"", ""o"", ""compromisso"", ""com"", ""a"", ""um"", ""governanca"", ""estavel"", ""e"", ""moderacao"", ""o"", ""pragmatismo"", ""consistente"", ""a o"", ""defender"", ""o"", ""busca"", ""por o"", ""consenso"", ""e"", ""politico"", ""que"", ""priorizar"", ""a"", ""o"", ""equilibrio"", ""atuar"", ""como"", ""um"", ""continuidade"", ""a"", ""longo"", ""prazo"", ""contrapeso"", ""a o"", ""desgaste"", ""com"", ""novo"", ""abordagem"", ""gerar"", ""por o"", ""intensificacao"", ""de"", ""que"", ""aumentar"", ""o"", ""seu"", ""posicionamento"", ""politico"", ""escalabilidade"", ""contemplar"", ""radical"", ""que"", ""emanar"", ""tanto"", ""o"", ""tamanho"", ""e"", ""o"", ""diversidade"", ""de o"", ""extremo"", ""direita"", ""quanto"", ""de o"", ""regional"", ""de o"", ""brasil"", ""esse"", ""ponto"", ""sao"", ""convergente"", ""brasileiro"", ""que"", ""se"", ""encontrar"", ""com"", ""documento"", ""anterior"", ""desencantar"", ""com"", ""um"", ""formulado"", ""por o"", ""partido"", ""disputar"", ""politico"", ""polarizar"", ""e"", ""destacadamente"", ""esperanca"", ""e"", ""alheio"", ""a o"", ""grande"", ""problema"", ""mudanca"", ""1982"", ""democracia"", ""que"", ""impactar"", ""diariamente"", ""em o"", ""com"", ""desenvolvimento"", ""1996"", ""vida"", ""de o"", ""pessoa"", ""um"", ""ponte"", ""para"", ""o"", ""futuro"", ""2015"", ""e"", ""todo"", ""por"", ""um"", ""so"", ""a o"", ""trazer"", ""o"", ""brasil"", ""como"", ""brasil"", ""2021"", ""nosso"", ""principal"", ""causa"", ""acima"", ""de"", ""ideologia"", ""ou"", ""costume"", ""o"", ""documento"", ""programatico"", ""reafirmar"", ""nosso"", ""conexao"", ""atender"", ""a"", ""momento"", ""com"", ""o"", ""vontade"", ""de"", ""mudanca"", ""de o"", ""historia"", ""que"", ""inspirar"", ""efetivo"", ""e"", ""de"", ""um"", ""proposito"", ""ora"", ""o"", ""defesa"", ""e"", ""reintroducao"", ""compartilhar"", ""um"", ""distensao"", ""de o"", ""sociedade"", ""brasileiro"", ""de o"", ""ambiente"", ""politico"", ""a"", ""partir"", ""a o"", ""valor"", ""e"", ""principio"", ""de"", ""um"", ""agenda"", ""que"", ""permitir"", ""democratico"", ""ora"", ""a"", ""debater"", ""construir"", ""e"", ""entregar"", ""defesa"", ""de"", ""medida"", ""como"", ""solucoes"", ""real"", ""para"", ""um"", ""brasil"", ""responsabilidade"", ""fiscal"", ""real"", ""melhorar"", ""de"", ""forma"", ""regulamentacao"", ""prudente"", ""e"", ""concreto"", ""o"", ""vida"", ""de"", ""todo"", ""o"", ""investimento"", ""estrategico"", ""brasileiro"", ""reconhecer"", ""o"", ""importancia"", ""de o"", ""esforco"", ""por o"", ""manutencao"", ""permanente"", ""de o"", ""estabilidade"", ""de o"", ""ambiente"", ""politico"", ""e"", ""economico"", ""sao"", ""60"", ""ano"", ""de o"", ""mdb"", ""e"", ""40"", ""ano"", ""de o"", ""transicao"", ""democratico"", ""um"", ""conquista"", ""arduo"", ""e"", ""de"", ""resistencia"", ""de o"", ""sociedade"", ""brasileiro"", ""o"", ""que"", ""estar"", ""trazer"", ""em este"", ""documento"", ""e"", ""mais"", ""um"", ""ato"", ""de"", ""responsabilidade"", ""de o"", ""mdb"", ""para"", ""com"", ""o"", ""brasil"", ""em"", ""que"", ""se"", ""buscar"", ""um"", ""reconexao"", ""nao"", ""apenas"", ""com"", ""o"", ""sociedade"", ""brasileiro"", ""representar"", ""mas"", ""tambem"", ""e"", ""principalmente"", ""com"", ""o"", ""dezena"", ""de"", ""milhoes"", ""de"", ""nosso"", ""alma"", ""e"", ""nosso"", ""caminho"", ""baleio"", ""rossi"", ""presidente"", ""nacional"", ""de o"", ""mdb"", ""ha"", ""exato"", ""60"", ""ano"", ""vivenciavamos"", ""o"", ""recrudescimento"", ""de o"", ""ditadura"", ""militar"", ""com"", ""o"", ""extincao"", ""de o"", ""partido"", ""politico"", ""apos"", ""o"", ""eleicoe"", ""estadual"", ""de"", ""outubro"", ""de"", ""1965""]"
7,"Quase que de imediato, nasceu a ideia de se criar um novo partido de oposição. Quem era contra o regime de exceção se juntou para formar o Movimento Democrático Brasileiro.",quase que de imediato nascer o ideia de se criar um novo partido de oposicao quem ser contra o regime de excecao se juntar para formar o movimento democratico brasileiro,"[""quase"", ""que"", ""de"", ""imediato"", ""nascer"", ""o"", ""ideia"", ""de"", ""se"", ""criar"", ""um"", ""novo"", ""partido"", ""de"", ""oposicao"", ""quem"", ""ser"", ""contra"", ""o"", ""regime"", ""de"", ""excecao"", ""se"", ""juntar"", ""para"", ""formar"", ""o"", ""movimento"", ""democratico"", ""brasileiro""]"
8,O projeto da sigla era um só: a retomada das liberdades.,o projeto de o sigla ser um so o retomada de o liberdade,"[""o"", ""projeto"", ""de o"", ""sigla"", ""ser"", ""um"", ""so"", ""o"", ""retomada"", ""de o"", ""liberdade""]"
9,Não foi fácil.,nao ser facil,"[""nao"", ""ser"", ""facil""]"
