chunk_id,chunk_text,preprocess_agenda,tokens
0,Nossos Valores e Princípios O Brasil é reconhecido e celebrado por sua pluralidade.,nosso valor e principio o brasil e reconhecer e celebrar por seu pluralidade,"[""nosso"", ""valor"", ""e"", ""principio"", ""o"", ""brasil"", ""e"", ""reconhecer"", ""e"", ""celebrar"", ""por"", ""seu"", ""pluralidade""]"
1,"São muitas e diferentes as nossas origens, as nossas culturas, as nossas tradições e costumes, os nossos valores, as nossas ideologias. Diversa é a nossa geografia, rica e variada é a nossa natureza. Somos um país continental, que abriga em seu vasto território todo tipo de gente, de pensamento, de profissão de fé, de posição política. Em meio a essas diferenças, uma coisa nos une e nos constitui como coletividade: o Amor por esse país.",sao muito e diferente o nosso origem o nosso cultura o nosso tradicoe e costume o nosso valor o nosso ideologia diverso e o nosso geografia rico e variado e o nosso natureza ser um pai continental que abrigar em seu vasto territorio todo tipo de gente de pensamento de profissao de fe de posicao politico em meio a esse diferenca um coisa nós unir e nós constituir como coletividade o amor por esse pai,"[""sao"", ""muito"", ""e"", ""diferente"", ""o"", ""nosso"", ""origem"", ""o"", ""nosso"", ""cultura"", ""o"", ""nosso"", ""tradicoe"", ""e"", ""costume"", ""o"", ""nosso"", ""valor"", ""o"", ""nosso"", ""ideologia"", ""diverso"", ""e"", ""o"", ""nosso"", ""geografia"", ""rico"", ""e"", ""variado"", ""e"", ""o"", ""nosso"", ""natureza"", ""ser"", ""um"", ""pai"", ""continental"", ""que"", ""abrigar"", ""em"", ""seu"", ""vasto"", ""territorio"", ""todo"", ""tipo"", ""de"", ""gente"", ""de"", ""pensamento"", ""de"", ""profissao"", ""de"", ""fe"", ""de"", ""posicao"", ""politico"", ""em"", ""meio"", ""a"", ""esse"", ""diferenca"", ""um"", ""coisa"", ""nós"", ""unir"", ""e"", ""nós"", ""constituir"", ""como"", ""coletividade"", ""o"", ""amor"", ""por"", ""esse"", ""pai""]"
2,"É ele que nunca deixa de pulsar em nossos corações, que nos faz reagir ao pessimismo, que nos dá alento para seguirmos em frente, acreditando e lutando por um futuro melhor.",e ele que nunca deixar de pulsar em nosso coracoe que nós fazer reagir a o pessimismo que em o de o alento para seguir em frente acreditar e lutar por um futuro bom,"[""e"", ""ele"", ""que"", ""nunca"", ""deixar"", ""de"", ""pulsar"", ""em"", ""nosso"", ""coracoe"", ""que"", ""nós"", ""fazer"", ""reagir"", ""a o"", ""pessimismo"", ""que"", ""em o"", ""de o"", ""alento"", ""para"", ""seguir"", ""em"", ""frente"", ""acreditar"", ""e"", ""lutar"", ""por"", ""um"", ""futuro"", ""bom""]"
3,"Esse Amor pelo Brasil está assentado na nossa história comum, nas lutas compartilhadas cotidianamente e na certeza de que, mesmo com todas as suas mazelas e dificuldades, esse país tem um enorme potencial para a grandeza; e, por que não dizer, uma vocação para a Alegria e a Felicidade. O Brasil democrático, livre, justo, pulsante e pujante que todos nós, brasileiros, desejamos é evidentemente uma obra em aberto.",esse amor por o brasil este assentar em o nosso historia comum em o luta compartilhar cotidianamente e em o certeza de que mesmo com todo o seu mazela e dificuldade esse pai ter um enorme potencial para o grandeza e por que nao dizer um vocacao para o alegria e o felicidade o brasil democratico livre justo pulsante e pujante que todo em o brasileiro desejar e evidentemente um obra em abrir,"[""esse"", ""amor"", ""por o"", ""brasil"", ""este"", ""assentar"", ""em o"", ""nosso"", ""historia"", ""comum"", ""em o"", ""luta"", ""compartilhar"", ""cotidianamente"", ""e"", ""em o"", ""certeza"", ""de"", ""que"", ""mesmo"", ""com"", ""todo"", ""o"", ""seu"", ""mazela"", ""e"", ""dificuldade"", ""esse"", ""pai"", ""ter"", ""um"", ""enorme"", ""potencial"", ""para"", ""o"", ""grandeza"", ""e"", ""por"", ""que"", ""nao"", ""dizer"", ""um"", ""vocacao"", ""para"", ""o"", ""alegria"", ""e"", ""o"", ""felicidade"", ""o"", ""brasil"", ""democratico"", ""livre"", ""justo"", ""pulsante"", ""e"", ""pujante"", ""que"", ""todo"", ""em o"", ""brasileiro"", ""desejar"", ""e"", ""evidentemente"", ""um"", ""obra"", ""em"", ""abrir""]"
4,Mas não é uma utopia.,mas nao e um utopia,"[""mas"", ""nao"", ""e"", ""um"", ""utopia""]"
5,"É um sonho possível, viável, que está ao alcance das nossas mãos.",e um sonho possivel viavel que este a o alcance de o nosso mao,"[""e"", ""um"", ""sonho"", ""possivel"", ""viavel"", ""que"", ""este"", ""a o"", ""alcance"", ""de o"", ""nosso"", ""mao""]"
6,"Muitas são as nossas páginas de dores, tristezas e derrotas.",muito sao o nosso pagina de dor tristeza e derrota,"[""muito"", ""sao"", ""o"", ""nosso"", ""pagina"", ""de"", ""dor"", ""tristeza"", ""e"", ""derrota""]"
7,"Outras tantas são as de conquistas, de vitórias e de realizações como nação. Quantas vezes, na nossa história, nos deparamos com desafios aparentemente insuperáveis e os vencemos?",outro tanto sao o de conquista de vitoria e de realizacoes como nacao quantas vez em o nosso historia nós deparar com desafio aparentemente insuperavel e eles vencer,"[""outro"", ""tanto"", ""sao"", ""o"", ""de"", ""conquista"", ""de"", ""vitoria"", ""e"", ""de"", ""realizacoes"", ""como"", ""nacao"", ""quantas"", ""vez"", ""em o"", ""nosso"", ""historia"", ""nós"", ""deparar"", ""com"", ""desafio"", ""aparentemente"", ""insuperavel"", ""e"", ""eles"", ""vencer""]"
8,Olhemos apenas para o passado recente.,olher apenas para o passado recente,"[""olher"", ""apenas"", ""para"", ""o"", ""passado"", ""recente""]"
9,"Superamos um Estado ditatorial e reconquistamos o direito ao voto, a liberdade de expressão e um regime jurídico assentado no princípio das garantias individuais.",superar um estado ditatorial e reconquistar o direito a o voto o liberdade de expressao e um regime juridico assentar em o principio de o garantia individual,"[""superar"", ""um"", ""estado"", ""ditatorial"", ""e"", ""reconquistar"", ""o"", ""direito"", ""a o"", ""voto"", ""o"", ""liberdade"", ""de"", ""expressao"", ""e"", ""um"", ""regime"", ""juridico"", ""assentar"", ""em o"", ""principio"", ""de o"", ""garantia"", ""individual""]"
