chunk_id,chunk_text,preprocess_agenda,tokens
0,DIARIO OFICIAL DA UNIAO - seção 3 Art.,diario oficial uniao seção 3 art,"[""diario"", ""oficial"", ""uniao"", ""seção"", ""3"", ""art""]"
1,56.,56,"[""56""]"
2,"Nos termos da Lei nº 14.192/2021 serão garantidos os direitos de participação política da mulher, vedadas a discriminação e a desigualdade de tratamento em virtude de sexo ou de raça no acesso às instâncias de representação política e no exercício de funções públicas.",termo lei n 14 192 2021 garantido direito participação político mulher vedar discriminação desigualdade tratamento virtude sexo raça acesso instância representação político exercício função público,"[""termo"", ""lei"", ""n"", ""14"", ""192"", ""2021"", ""garantido"", ""direito"", ""participação"", ""político"", ""mulher"", ""vedar"", ""discriminação"", ""desigualdade"", ""tratamento"", ""virtude"", ""sexo"", ""raça"", ""acesso"", ""instância"", ""representação"", ""político"", ""exercício"", ""função"", ""público""]"
3,Art.,art,"[""art""]"
4,57.,57,"[""57""]"
5,"Este Estatuto entrará em vigor, em todo o território nacional, a partir de sua aprovação em Convenção Nacional.",estatuto entrar vigor todo território nacional partir aprovação convenção nacional,"[""estatuto"", ""entrar"", ""vigor"", ""todo"", ""território"", ""nacional"", ""partir"", ""aprovação"", ""convenção"", ""nacional""]"
6,"VALDEMAR COSTA NETO Presidente Nacional - Partido Liberal ANA DANIELA LEITE E AGUIAR OAB/DF 11.653 (Estatuto aprovado na Convenção Nacional de 19 dezembro de 2022) A LIBERDADE É O ALICERCE DA DEMOCRACIA, NÃO EXISTE DEMOCRACIA SEM LIBERDADE A essência do Partido Liberal está no fortalecimento do Estado Democrático de Direito, assegurando a cada cidadão brasileiro a liberdade de pensamento e a liberdade de expressão. Para o partido Liberal, os direitos de ir e vir, de ser, pensar, agir e falar são invioláveis. Fundado no ano de 1985 pelo Professor, Deputado e Embaixador Álvaro Vale, o Partido Liberal tem o liberalismo social como instrumento permanente de luta pelo bem comum.",valdemar costa neto nacional partido liberal ana daniela leite aguiar oab df 11 653 estatuto aprovar convenção nacional 19 dezembro 2022 liberdade alicerce democracia existir democracia liberdade essência partido liberal fortalecimento estado democrático direito assegurar cada cidadão brasileiro liberdade pensamento liberdade expressão partido liberal direito ir vir pensar agir falar inviolável fundar ano 1985 professor embaixador álvaro valer partido liberal liberalismo social instrumento permanente luta bem comum,"[""valdemar"", ""costa"", ""neto"", ""nacional"", ""partido"", ""liberal"", ""ana"", ""daniela"", ""leite"", ""aguiar"", ""oab"", ""df"", ""11"", ""653"", ""estatuto"", ""aprovar"", ""convenção"", ""nacional"", ""19"", ""dezembro"", ""2022"", ""liberdade"", ""alicerce"", ""democracia"", ""existir"", ""democracia"", ""liberdade"", ""essência"", ""partido"", ""liberal"", ""fortalecimento"", ""estado"", ""democrático"", ""direito"", ""assegurar"", ""cada"", ""cidadão"", ""brasileiro"", ""liberdade"", ""pensamento"", ""liberdade"", ""expressão"", ""partido"", ""liberal"", ""direito"", ""ir"", ""vir"", ""pensar"", ""agir"", ""falar"", ""inviolável"", ""fundar"", ""ano"", ""1985"", ""professor"", ""embaixador"", ""álvaro"", ""valer"", ""partido"", ""liberal"", ""liberalismo"", ""social"", ""instrumento"", ""permanente"", ""luta"", ""bem"", ""comum""]"
7,"Não se pode olvidar que, apesar do imutável transcurso cronológico, com a sistêmica evolução da sociedade, o mundo foi atingido por constantes modificações. O Brasil não passa imune a essas transformações, as visões, os costumes e modelos sociais são impactados diariamente por essas mudanças.",poder olvidar apesar imutável transcurso cronológico sistêmico evolução sociedade mundo atingir constante modificação brasil passar imune transformação visão costume modelo social impactar diariamente mudança,"[""poder"", ""olvidar"", ""apesar"", ""imutável"", ""transcurso"", ""cronológico"", ""sistêmico"", ""evolução"", ""sociedade"", ""mundo"", ""atingir"", ""constante"", ""modificação"", ""brasil"", ""passar"", ""imune"", ""transformação"", ""visão"", ""costume"", ""modelo"", ""social"", ""impactar"", ""diariamente"", ""mudança""]"
8,"Desafios surgem diuturnamente em todas as expressões dos campos do poder, exigindo que novos conceitos, estratégias e lideranças sejam incorporados ao ideário do Partido para que se possa fazer frente aos problemas cada vez mais complexos. Para o PL é clara a necessidade de construir sólidas pontes com todos os seguimentos da sociedade, com o objetivo de estabelecer canais permanentes de conexão, fornecendo prontas respostas aos anseios, preocupações e necessidades outrora inexistentes e desconhecidos.",desafio surgir diuturnamente todo expressão campos poder exigir novo conceito estratégia liderança incorporar ideário partido poder fazer frente problema cada vez complexo pl claro necessidade construir sólido ponte todo seguimento sociedade objetivo estabelecer canal permanente conexão fornecer pronto resposta anseio preocupação necessidade outrora inexistente desconhecir,"[""desafio"", ""surgir"", ""diuturnamente"", ""todo"", ""expressão"", ""campos"", ""poder"", ""exigir"", ""novo"", ""conceito"", ""estratégia"", ""liderança"", ""incorporar"", ""ideário"", ""partido"", ""poder"", ""fazer"", ""frente"", ""problema"", ""cada"", ""vez"", ""complexo"", ""pl"", ""claro"", ""necessidade"", ""construir"", ""sólido"", ""ponte"", ""todo"", ""seguimento"", ""sociedade"", ""objetivo"", ""estabelecer"", ""canal"", ""permanente"", ""conexão"", ""fornecer"", ""pronto"", ""resposta"", ""anseio"", ""preocupação"", ""necessidade"", ""outrora"", ""inexistente"", ""desconhecir""]"
9,"Os fatos vivenciados corroboram essa necessidade, o mundo passou e passa por transmudações de conceitos e percepções antes considerados estabilizados. Novas pautas surgiram, desafios tecnológicos trouxeram oportunidades e provocações, agregando questionamentos sobre sua relação com a liberdade e o trabalho, indagações sobre como proceder a partir do escopo da fraternidade universal, em um mundo sem fronteiras e sua relação com as questões culturais e de imigração. Passamos por guerras e pandemia, tudo banhado pela constante luta entre a verdade de cada cidadão e suas narrativas. Mesmo diante de um cenário mundial volátil, é preciso ter um olhar amplo para antever, compreender e agir na direção do futuro.",fato vivenciar corroborar necessidade mundo passar passar transmudação conceito percepção antes considerar estabilizar novo pauta surgir desafio tecnológico trouxer oportunidade provocação agregar questionamento sobre relação liberdade trabalho indagação sobre proceder partir escopo fraternidade universal mundo fronteiro relação questão cultural imigração passar guerra pandemia tudo banhar constante luta verdade cada cidadão narrativa diante cenário mundial volátil preciso ter olhar amplo antever compreender agir direção futuro,"[""fato"", ""vivenciar"", ""corroborar"", ""necessidade"", ""mundo"", ""passar"", ""passar"", ""transmudação"", ""conceito"", ""percepção"", ""antes"", ""considerar"", ""estabilizar"", ""novo"", ""pauta"", ""surgir"", ""desafio"", ""tecnológico"", ""trouxer"", ""oportunidade"", ""provocação"", ""agregar"", ""questionamento"", ""sobre"", ""relação"", ""liberdade"", ""trabalho"", ""indagação"", ""sobre"", ""proceder"", ""partir"", ""escopo"", ""fraternidade"", ""universal"", ""mundo"", ""fronteiro"", ""relação"", ""questão"", ""cultural"", ""imigração"", ""passar"", ""guerra"", ""pandemia"", ""tudo"", ""banhar"", ""constante"", ""luta"", ""verdade"", ""cada"", ""cidadão"", ""narrativa"", ""diante"", ""cenário"", ""mundial"", ""volátil"", ""preciso"", ""ter"", ""olhar"", ""amplo"", ""antever"", ""compreender"", ""agir"", ""direção"", ""futuro""]"
