chunk_id,chunk_text,preprocess_agenda,tokens
0,"Carta de Princípios do Partido dos Trabalhadores Anterior ao Manifesto de Fundação do Partido dos Trabalhadores, a Carta de Princípios foi lançada publicamente no dia 1º de maio de 1979 A idéia da formação de um partido só dos trabalhadores é tão antiga quanto a própria classe trabalhadora.",carta de principios do partido dos trabalhadores anterior ao manifesto de fundacao do partido dos trabalhadores a carta de principios foi lancada publicamente no dia de maio de 1979 a ideia da formacao de um partido so dos trabalhadores e tao antiga quanto a propria classe trabalhadora,"[""carta"", ""de"", ""principios"", ""do"", ""partido"", ""dos"", ""trabalhadores"", ""anterior"", ""ao"", ""manifesto"", ""de"", ""fundacao"", ""do"", ""partido"", ""dos"", ""trabalhadores"", ""a"", ""carta"", ""de"", ""principios"", ""foi"", ""lancada"", ""publicamente"", ""no"", ""dia"", ""de"", ""maio"", ""de"", ""1979"", ""a"", ""ideia"", ""da"", ""formacao"", ""de"", ""um"", ""partido"", ""so"", ""dos"", ""trabalhadores"", ""e"", ""tao"", ""antiga"", ""quanto"", ""a"", ""propria"", ""classe"", ""trabalhadora""]"
1,"Numa sociedade como a nossa, baseada na exploração e na desigualdade entre as classes, os explorados e oprimidos têm permanente necessidade de se manter organizados à parte, para que lhes seja possível oferecer resistência séria à desenfreada sede de opressão e de privilégios das classes dominantes. Mas sempre que as lideranças dos trabalhadores e oprimidos se lançam à tarefa de construir essa organização independente de sua classe, toda sorte de obstáculos se contrapõe a seus esforços.",numa sociedade como a nossa baseada na exploracao e na desigualdade entre as classes os explorados e oprimidos tem permanente necessidade de se manter organizados a parte para que lhes seja possivel oferecer resistencia seria a desenfreada sede de opressao e de privilegios das classes dominantes mas sempre que as liderancas dos trabalhadores e oprimidos se lancam a tarefa de construir essa organizacao independente de sua classe toda sorte de obstaculos se contrapoe a seus esforcos,"[""numa"", ""sociedade"", ""como"", ""a"", ""nossa"", ""baseada"", ""na"", ""exploracao"", ""e"", ""na"", ""desigualdade"", ""entre"", ""as"", ""classes"", ""os"", ""explorados"", ""e"", ""oprimidos"", ""tem"", ""permanente"", ""necessidade"", ""de"", ""se"", ""manter"", ""organizados"", ""a"", ""parte"", ""para"", ""que"", ""lhes"", ""seja"", ""possivel"", ""oferecer"", ""resistencia"", ""seria"", ""a"", ""desenfreada"", ""sede"", ""de"", ""opressao"", ""e"", ""de"", ""privilegios"", ""das"", ""classes"", ""dominantes"", ""mas"", ""sempre"", ""que"", ""as"", ""liderancas"", ""dos"", ""trabalhadores"", ""e"", ""oprimidos"", ""se"", ""lancam"", ""a"", ""tarefa"", ""de"", ""construir"", ""essa"", ""organizacao"", ""independente"", ""de"", ""sua"", ""classe"", ""toda"", ""sorte"", ""de"", ""obstaculos"", ""se"", ""contrapoe"", ""a"", ""seus"", ""esforcos""]"
2,Essa situação vivida milhares de vezes em todos os países do mundo vem acontecendo agora no Brasil.,essa situacao vivida milhares de vezes em todos os paises do mundo vem acontecendo agora no brasil,"[""essa"", ""situacao"", ""vivida"", ""milhares"", ""de"", ""vezes"", ""em"", ""todos"", ""os"", ""paises"", ""do"", ""mundo"", ""vem"", ""acontecendo"", ""agora"", ""no"", ""brasil""]"
3,"Começando a sacudir o pesado jugo a que sempre estiveram submetidos, os trabalhadores de nosso país deram início, em 12 de maio do ano passado (greve da Scania), a sua luta emancipadora.",comecando a sacudir o pesado jugo a que sempre estiveram submetidos os trabalhadores de nosso pais deram inicio em 12 de maio do ano passado greve da scania a sua luta emancipadora,"[""comecando"", ""a"", ""sacudir"", ""o"", ""pesado"", ""jugo"", ""a"", ""que"", ""sempre"", ""estiveram"", ""submetidos"", ""os"", ""trabalhadores"", ""de"", ""nosso"", ""pais"", ""deram"", ""inicio"", ""em"", ""12"", ""de"", ""maio"", ""do"", ""ano"", ""passado"", ""greve"", ""da"", ""scania"", ""a"", ""sua"", ""luta"", ""emancipadora""]"
4,"Desde então, o operariado e os setores proletarizados de nossa população vêm desenvolvendo uma verdadeira avalanche pela melhoria de suas condições de vida e de trabalho. A experiência dessas lutas tem como resultado um visível amadurecimento político da população trabalhadora e o crescimento, em quantidade e qualidade, de suas lideranças. Esse rápido amadurecimento político pode ser visto claramente no aprimoramento das formas de luta de que os trabalhadores têm lançado mão.",desde entao o operariado e os setores proletarizados de nossa populacao vem desenvolvendo uma verdadeira avalanche pela melhoria de suas condicoes de vida e de trabalho a experiencia dessas lutas tem como resultado um visivel amadurecimento politico da populacao trabalhadora e o crescimento em quantidade e qualidade de suas liderancas esse rapido amadurecimento politico pode ser visto claramente no aprimoramento das formas de luta de que os trabalhadores tem lancado mao,"[""desde"", ""entao"", ""o"", ""operariado"", ""e"", ""os"", ""setores"", ""proletarizados"", ""de"", ""nossa"", ""populacao"", ""vem"", ""desenvolvendo"", ""uma"", ""verdadeira"", ""avalanche"", ""pela"", ""melhoria"", ""de"", ""suas"", ""condicoes"", ""de"", ""vida"", ""e"", ""de"", ""trabalho"", ""a"", ""experiencia"", ""dessas"", ""lutas"", ""tem"", ""como"", ""resultado"", ""um"", ""visivel"", ""amadurecimento"", ""politico"", ""da"", ""populacao"", ""trabalhadora"", ""e"", ""o"", ""crescimento"", ""em"", ""quantidade"", ""e"", ""qualidade"", ""de"", ""suas"", ""liderancas"", ""esse"", ""rapido"", ""amadurecimento"", ""politico"", ""pode"", ""ser"", ""visto"", ""claramente"", ""no"", ""aprimoramento"", ""das"", ""formas"", ""de"", ""luta"", ""de"", ""que"", ""os"", ""trabalhadores"", ""tem"", ""lancado"", ""mao""]"
5,"O início das lutas é marcado por um período de greves brancas nas fábricas. Já os embates mais recentes, dos quais a greve geral metalúrgica do ABCD é o melhor exemplo, mostram a retomada, em toda a linha, das formas clássicas de luta: grandiosidade das assembléias gerais, a ação decisiva dos piquetes e dos fundos de greve. Os trabalhadores entenderam ao longo desse ano de lutas que suas reivindicações mais sentidas esbarravam em obstáculos cada vez maiores, e é por isso, dialeticamente, que vão sendo obrigados a construir organizações cada vez mais bem articuladas e eficazes. Diante da força da greve do ABCD, os patrões e o governo precisaram dar-se as mãos para impedir o fim da política do arrocho salarial e o fim das estruturas semifascistas que tangem nossos sindicatos. Os patrões usam de todos os meios a seu alcance para quebrar a unidade dos trabalhadores, ao mesmo tempo em que se recusam a reconhecer os acordos obtidos no período das greves fabris. O governo desencadeia sua repressão: os sindicatos são invadidos e suas direções destituídas oficialmente, enquanto nas ruas a polícia persegue os piquetes e tenta impedir, pela violência, que os trabalhadores consigam local para se reunir. Por seu lado, o apoio que os metalúrgicos conseguem dos demais trabalhadores, embora seja suficiente para impedir que a repressão se aprofunde e faça produzir um recuo parcial, carece de maior conseqüência, devido, é claro, não à inexistência de um espírito de solidariedade, mas sim devido às limitações do movimento sindical e à inexistência de sua organização política. Tanto isso é verdade que as lideranças da greve são obrigadas a se escorar no apoio, muitas vezes duvidoso, de aliados ocasionais, saídos do campo das classes médias e da própria burguesia. Não puderam os trabalhadores expressar de modo mais conseqüente todo o seu apoio aos grevistas do ABCD, e essa impotência tenderá a continuar enquanto eles mesmos não se organizarem politicamente em seu próprio partido. É por isso que a idéia de um partido dos trabalhadores, ressurgindo no bojo das greves do ano passado e anunciado na reunião intersindical de Porto Alegre, em 19 de janeiro de 1979, tende a ganhar, hoje, uma irresistível popularidade. Porque se trata, hoje, mais do que nunca, de uma necessidade objetiva para os trabalhadores.",o inicio das lutas e marcado por um periodo de greves brancas nas fabricas ja os embates mais recentes dos quais a greve geral metalurgica do abcd e o melhor exemplo mostram a retomada em toda a linha das formas classicas de luta grandiosidade das assembleias gerais a acao decisiva dos piquetes e dos fundos de greve os trabalhadores entenderam ao longo desse ano de lutas que suas reivindicacoes mais sentidas esbarravam em obstaculos cada vez maiores e e por isso dialeticamente que vao sendo obrigados a construir organizacoes cada vez mais bem articuladas e eficazes diante da forca da greve do abcd os patroes e o governo precisaram dar se as maos para impedir o fim da politica do arrocho salarial e o fim das estruturas semifascistas que tangem nossos sindicatos os patroes usam de todos os meios a seu alcance para quebrar a unidade dos trabalhadores ao mesmo tempo em que se recusam a reconhecer os acordos obtidos no periodo das greves fabris o governo desencadeia sua repressao os sindicatos sao invadidos e suas direcoes destituidas oficialmente enquanto nas ruas a policia persegue os piquetes e tenta impedir pela violencia que os trabalhadores consigam local para se reunir por seu lado o apoio que os metalurgicos conseguem dos demais trabalhadores embora seja suficiente para impedir que a repressao se aprofunde e faca produzir um recuo parcial carece de maior consequencia devido e claro nao a inexistencia de um espirito de solidariedade mas sim devido as limitacoes do movimento sindical e a inexistencia de sua organizacao politica tanto isso e verdade que as liderancas da greve sao obrigadas a se escorar no apoio muitas vezes duvidoso de aliados ocasionais saidos do campo das classes medias e da propria burguesia nao puderam os trabalhadores expressar de modo mais consequente todo o seu apoio aos grevistas do abcd e essa impotencia tendera a continuar enquanto eles mesmos nao se organizarem politicamente em seu proprio partido e por isso que a ideia de um partido dos trabalhadores ressurgindo no bojo das greves do ano passado e anunciado na reuniao intersindical de porto alegre em 19 de janeiro de 1979 tende a ganhar hoje uma irresistivel popularidade porque se trata hoje mais do que nunca de uma necessidade objetiva para os trabalhadores,"[""o"", ""inicio"", ""das"", ""lutas"", ""e"", ""marcado"", ""por"", ""um"", ""periodo"", ""de"", ""greves"", ""brancas"", ""nas"", ""fabricas"", ""ja"", ""os"", ""embates"", ""mais"", ""recentes"", ""dos"", ""quais"", ""a"", ""greve"", ""geral"", ""metalurgica"", ""do"", ""abcd"", ""e"", ""o"", ""melhor"", ""exemplo"", ""mostram"", ""a"", ""retomada"", ""em"", ""toda"", ""a"", ""linha"", ""das"", ""formas"", ""classicas"", ""de"", ""luta"", ""grandiosidade"", ""das"", ""assembleias"", ""gerais"", ""a"", ""acao"", ""decisiva"", ""dos"", ""piquetes"", ""e"", ""dos"", ""fundos"", ""de"", ""greve"", ""os"", ""trabalhadores"", ""entenderam"", ""ao"", ""longo"", ""desse"", ""ano"", ""de"", ""lutas"", ""que"", ""suas"", ""reivindicacoes"", ""mais"", ""sentidas"", ""esbarravam"", ""em"", ""obstaculos"", ""cada"", ""vez"", ""maiores"", ""e"", ""e"", ""por"", ""isso"", ""dialeticamente"", ""que"", ""vao"", ""sendo"", ""obrigados"", ""a"", ""construir"", ""organizacoes"", ""cada"", ""vez"", ""mais"", ""bem"", ""articuladas"", ""e"", ""eficazes"", ""diante"", ""da"", ""forca"", ""da"", ""greve"", ""do"", ""abcd"", ""os"", ""patroes"", ""e"", ""o"", ""governo"", ""precisaram"", ""dar"", ""se"", ""as"", ""maos"", ""para"", ""impedir"", ""o"", ""fim"", ""da"", ""politica"", ""do"", ""arrocho"", ""salarial"", ""e"", ""o"", ""fim"", ""das"", ""estruturas"", ""semifascistas"", ""que"", ""tangem"", ""nossos"", ""sindicatos"", ""os"", ""patroes"", ""usam"", ""de"", ""todos"", ""os"", ""meios"", ""a"", ""seu"", ""alcance"", ""para"", ""quebrar"", ""a"", ""unidade"", ""dos"", ""trabalhadores"", ""ao"", ""mesmo"", ""tempo"", ""em"", ""que"", ""se"", ""recusam"", ""a"", ""reconhecer"", ""os"", ""acordos"", ""obtidos"", ""no"", ""periodo"", ""das"", ""greves"", ""fabris"", ""o"", ""governo"", ""desencadeia"", ""sua"", ""repressao"", ""os"", ""sindicatos"", ""sao"", ""invadidos"", ""e"", ""suas"", ""direcoes"", ""destituidas"", ""oficialmente"", ""enquanto"", ""nas"", ""ruas"", ""a"", ""policia"", ""persegue"", ""os"", ""piquetes"", ""e"", ""tenta"", ""impedir"", ""pela"", ""violencia"", ""que"", ""os"", ""trabalhadores"", ""consigam"", ""local"", ""para"", ""se"", ""reunir"", ""por"", ""seu"", ""lado"", ""o"", ""apoio"", ""que"", ""os"", ""metalurgicos"", ""conseguem"", ""dos"", ""demais"", ""trabalhadores"", ""embora"", ""seja"", ""suficiente"", ""para"", ""impedir"", ""que"", ""a"", ""repressao"", ""se"", ""aprofunde"", ""e"", ""faca"", ""produzir"", ""um"", ""recuo"", ""parcial"", ""carece"", ""de"", ""maior"", ""consequencia"", ""devido"", ""e"", ""claro"", ""nao"", ""a"", ""inexistencia"", ""de"", ""um"", ""espirito"", ""de"", ""solidariedade"", ""mas"", ""sim"", ""devido"", ""as"", ""limitacoes"", ""do"", ""movimento"", ""sindical"", ""e"", ""a"", ""inexistencia"", ""de"", ""sua"", ""organizacao"", ""politica"", ""tanto"", ""isso"", ""e"", ""verdade"", ""que"", ""as"", ""liderancas"", ""da"", ""greve"", ""sao"", ""obrigadas"", ""a"", ""se"", ""escorar"", ""no"", ""apoio"", ""muitas"", ""vezes"", ""duvidoso"", ""de"", ""aliados"", ""ocasionais"", ""saidos"", ""do"", ""campo"", ""das"", ""classes"", ""medias"", ""e"", ""da"", ""propria"", ""burguesia"", ""nao"", ""puderam"", ""os"", ""trabalhadores"", ""expressar"", ""de"", ""modo"", ""mais"", ""consequente"", ""todo"", ""o"", ""seu"", ""apoio"", ""aos"", ""grevistas"", ""do"", ""abcd"", ""e"", ""essa"", ""impotencia"", ""tendera"", ""a"", ""continuar"", ""enquanto"", ""eles"", ""mesmos"", ""nao"", ""se"", ""organizarem"", ""politicamente"", ""em"", ""seu"", ""proprio"", ""partido"", ""e"", ""por"", ""isso"", ""que"", ""a"", ""ideia"", ""de"", ""um"", ""partido"", ""dos"", ""trabalhadores"", ""ressurgindo"", ""no"", ""bojo"", ""das"", ""greves"", ""do"", ""ano"", ""passado"", ""e"", ""anunciado"", ""na"", ""reuniao"", ""intersindical"", ""de"", ""porto"", ""alegre"", ""em"", ""19"", ""de"", ""janeiro"", ""de"", ""1979"", ""tende"", ""a"", ""ganhar"", ""hoje"", ""uma"", ""irresistivel"", ""popularidade"", ""porque"", ""se"", ""trata"", ""hoje"", ""mais"", ""do"", ""que"", ""nunca"", ""de"", ""uma"", ""necessidade"", ""objetiva"", ""para"", ""os"", ""trabalhadores""]"
6,Cientes disso também é que setores das classes dominantes se apressam a sair a campo com suas propostas de PTB.,cientes disso tambem e que setores das classes dominantes se apressam a sair a campo com suas propostas de ptb,"[""cientes"", ""disso"", ""tambem"", ""e"", ""que"", ""setores"", ""das"", ""classes"", ""dominantes"", ""se"", ""apressam"", ""a"", ""sair"", ""a"", ""campo"", ""com"", ""suas"", ""propostas"", ""de"", ""ptb""]"
7,"Mas essas propostas demagógicas já não conseguem iludir os trabalhadores, que, nem de longe, se sensibilizaram com elas. Esse fato comprova que os trabalhadores brasileiros estão cansados das velhas fórmulas políticas elaboradas para eles. Agora, chegou a vez de o trabalhador formular e construir ele próprio seu país e seu futuro. Nós, dirigentes sindicais, não pretendemos ser donos do PT, mesmo porque acreditamos sinceramente existir, entre os trabalhadores, militantes de base mais capacitados e devotados, a quem caberá a tarefa de construir e liderar nosso partido. Estamos apenas procurando usar nossa autoridade moral e política para tentar abrir um caminho próprio para o conjunto dos trabalhadores. Temos a consciência de que, nesse papel, neste momento, somos insubstituíveis, e somente em vista disso é que nós reivindicamos o papel de lançadores do PT.",mas essas propostas demagogicas ja nao conseguem iludir os trabalhadores que nem de longe se sensibilizaram com elas esse fato comprova que os trabalhadores brasileiros estao cansados das velhas formulas politicas elaboradas para eles agora chegou a vez de o trabalhador formular e construir ele proprio seu pais e seu futuro nos dirigentes sindicais nao pretendemos ser donos do pt mesmo porque acreditamos sinceramente existir entre os trabalhadores militantes de base mais capacitados e devotados a quem cabera a tarefa de construir e liderar nosso partido estamos apenas procurando usar nossa autoridade moral e politica para tentar abrir um caminho proprio para o conjunto dos trabalhadores temos a consciencia de que nesse papel neste momento somos insubstituiveis e somente em vista disso e que nos reivindicamos o papel de lancadores do pt,"[""mas"", ""essas"", ""propostas"", ""demagogicas"", ""ja"", ""nao"", ""conseguem"", ""iludir"", ""os"", ""trabalhadores"", ""que"", ""nem"", ""de"", ""longe"", ""se"", ""sensibilizaram"", ""com"", ""elas"", ""esse"", ""fato"", ""comprova"", ""que"", ""os"", ""trabalhadores"", ""brasileiros"", ""estao"", ""cansados"", ""das"", ""velhas"", ""formulas"", ""politicas"", ""elaboradas"", ""para"", ""eles"", ""agora"", ""chegou"", ""a"", ""vez"", ""de"", ""o"", ""trabalhador"", ""formular"", ""e"", ""construir"", ""ele"", ""proprio"", ""seu"", ""pais"", ""e"", ""seu"", ""futuro"", ""nos"", ""dirigentes"", ""sindicais"", ""nao"", ""pretendemos"", ""ser"", ""donos"", ""do"", ""pt"", ""mesmo"", ""porque"", ""acreditamos"", ""sinceramente"", ""existir"", ""entre"", ""os"", ""trabalhadores"", ""militantes"", ""de"", ""base"", ""mais"", ""capacitados"", ""e"", ""devotados"", ""a"", ""quem"", ""cabera"", ""a"", ""tarefa"", ""de"", ""construir"", ""e"", ""liderar"", ""nosso"", ""partido"", ""estamos"", ""apenas"", ""procurando"", ""usar"", ""nossa"", ""autoridade"", ""moral"", ""e"", ""politica"", ""para"", ""tentar"", ""abrir"", ""um"", ""caminho"", ""proprio"", ""para"", ""o"", ""conjunto"", ""dos"", ""trabalhadores"", ""temos"", ""a"", ""consciencia"", ""de"", ""que"", ""nesse"", ""papel"", ""neste"", ""momento"", ""somos"", ""insubstituiveis"", ""e"", ""somente"", ""em"", ""vista"", ""disso"", ""e"", ""que"", ""nos"", ""reivindicamos"", ""o"", ""papel"", ""de"", ""lancadores"", ""do"", ""pt""]"
8,"O povo brasileiro está pobre, doente e nunca chegou a ter acesso às decisões sobre os rumos do país.",o povo brasileiro esta pobre doente e nunca chegou a ter acesso as decisoes sobre os rumos do pais,"[""o"", ""povo"", ""brasileiro"", ""esta"", ""pobre"", ""doente"", ""e"", ""nunca"", ""chegou"", ""a"", ""ter"", ""acesso"", ""as"", ""decisoes"", ""sobre"", ""os"", ""rumos"", ""do"", ""pais""]"
9,"E não acreditamos que esse povo venha a conhecer justiça e democracia sem o concurso decisivo e organizado dos trabalhadores, que são as verdadeiras classes produtoras do país. É por isso que não acreditamos que partidos e governos criados e dirigidos pelos patrões e pelas elites políticas, ainda que ostentem fachadas democráticas, possam propiciar o acesso às conquistas da civilização e à plena participação política a nosso povo. Os males profundos que se abatem sobre a sociedade brasileira não poderão ser superados senão por uma participação decisiva dos trabalhadores na vida da Nação. O instrumento capaz de propiciar essa participação é o Partido dos Trabalhadores. Iniciemos, pois, desde já, a cumprir esta tarefa histórica, organizando por toda parte os núcleos elementares desse partido.",e nao acreditamos que esse povo venha a conhecer justica e democracia sem o concurso decisivo e organizado dos trabalhadores que sao as verdadeiras classes produtoras do pais e por isso que nao acreditamos que partidos e governos criados e dirigidos pelos patroes e pelas elites politicas ainda que ostentem fachadas democraticas possam propiciar o acesso as conquistas da civilizacao e a plena participacao politica a nosso povo os males profundos que se abatem sobre a sociedade brasileira nao poderao ser superados senao por uma participacao decisiva dos trabalhadores na vida da nacao o instrumento capaz de propiciar essa participacao e o partido dos trabalhadores iniciemos pois desde ja a cumprir esta tarefa historica organizando por toda parte os nucleos elementares desse partido,"[""e"", ""nao"", ""acreditamos"", ""que"", ""esse"", ""povo"", ""venha"", ""a"", ""conhecer"", ""justica"", ""e"", ""democracia"", ""sem"", ""o"", ""concurso"", ""decisivo"", ""e"", ""organizado"", ""dos"", ""trabalhadores"", ""que"", ""sao"", ""as"", ""verdadeiras"", ""classes"", ""produtoras"", ""do"", ""pais"", ""e"", ""por"", ""isso"", ""que"", ""nao"", ""acreditamos"", ""que"", ""partidos"", ""e"", ""governos"", ""criados"", ""e"", ""dirigidos"", ""pelos"", ""patroes"", ""e"", ""pelas"", ""elites"", ""politicas"", ""ainda"", ""que"", ""ostentem"", ""fachadas"", ""democraticas"", ""possam"", ""propiciar"", ""o"", ""acesso"", ""as"", ""conquistas"", ""da"", ""civilizacao"", ""e"", ""a"", ""plena"", ""participacao"", ""politica"", ""a"", ""nosso"", ""povo"", ""os"", ""males"", ""profundos"", ""que"", ""se"", ""abatem"", ""sobre"", ""a"", ""sociedade"", ""brasileira"", ""nao"", ""poderao"", ""ser"", ""superados"", ""senao"", ""por"", ""uma"", ""participacao"", ""decisiva"", ""dos"", ""trabalhadores"", ""na"", ""vida"", ""da"", ""nacao"", ""o"", ""instrumento"", ""capaz"", ""de"", ""propiciar"", ""essa"", ""participacao"", ""e"", ""o"", ""partido"", ""dos"", ""trabalhadores"", ""iniciemos"", ""pois"", ""desde"", ""ja"", ""a"", ""cumprir"", ""esta"", ""tarefa"", ""historica"", ""organizando"", ""por"", ""toda"", ""parte"", ""os"", ""nucleos"", ""elementares"", ""desse"", ""partido""]"
