chunk_id,chunk_text,preprocess_agenda,tokens
0,Nossos Valores e Princípios O Brasil é reconhecido e celebrado por sua pluralidade.,valor princípio brasil reconhecer celebrar pluralidade,"[""valor"", ""princípio"", ""brasil"", ""reconhecer"", ""celebrar"", ""pluralidade""]"
1,"São muitas e diferentes as nossas origens, as nossas culturas, as nossas tradições e costumes, os nossos valores, as nossas ideologias. Diversa é a nossa geografia, rica e variada é a nossa natureza. Somos um país continental, que abriga em seu vasto território todo tipo de gente, de pensamento, de profissão de fé, de posição política. Em meio a essas diferenças, uma coisa nos une e nos constitui como coletividade: o Amor por esse país.",diferente origem cultura tradição costume valor ideologia diverso geografia rico variado natureza país continental abrigar vasto território todo tipo gente pensamento profissão fé posição político meio diferença coisa uneer constituir coletividade amor país,"[""diferente"", ""origem"", ""cultura"", ""tradição"", ""costume"", ""valor"", ""ideologia"", ""diverso"", ""geografia"", ""rico"", ""variado"", ""natureza"", ""país"", ""continental"", ""abrigar"", ""vasto"", ""território"", ""todo"", ""tipo"", ""gente"", ""pensamento"", ""profissão"", ""fé"", ""posição"", ""político"", ""meio"", ""diferença"", ""coisa"", ""uneer"", ""constituir"", ""coletividade"", ""amor"", ""país""]"
2,"É ele que nunca deixa de pulsar em nossos corações, que nos faz reagir ao pessimismo, que nos dá alento para seguirmos em frente, acreditando e lutando por um futuro melhor.",nunca deixar pulsar coração fazer reagir pessimismo dar alento seguir frente acreditar lutar futuro bom,"[""nunca"", ""deixar"", ""pulsar"", ""coração"", ""fazer"", ""reagir"", ""pessimismo"", ""dar"", ""alento"", ""seguir"", ""frente"", ""acreditar"", ""lutar"", ""futuro"", ""bom""]"
3,"Esse Amor pelo Brasil está assentado na nossa história comum, nas lutas compartilhadas cotidianamente e na certeza de que, mesmo com todas as suas mazelas e dificuldades, esse país tem um enorme potencial para a grandeza; e, por que não dizer, uma vocação para a Alegria e a Felicidade. O Brasil democrático, livre, justo, pulsante e pujante que todos nós, brasileiros, desejamos é evidentemente uma obra em aberto.",amor brasil assentar história comum luta compartilhar cotidianamente certeza todo mazela dificuldade país enorme potencial grandeza dizer vocação alegrio felicidade brasil democrático livre justo pulsante pujante todo brasileiro desejar evidentemente obra abrir,"[""amor"", ""brasil"", ""assentar"", ""história"", ""comum"", ""luta"", ""compartilhar"", ""cotidianamente"", ""certeza"", ""todo"", ""mazela"", ""dificuldade"", ""país"", ""enorme"", ""potencial"", ""grandeza"", ""dizer"", ""vocação"", ""alegrio"", ""felicidade"", ""brasil"", ""democrático"", ""livre"", ""justo"", ""pulsante"", ""pujante"", ""todo"", ""brasileiro"", ""desejar"", ""evidentemente"", ""obra"", ""abrir""]"
4,Mas não é uma utopia.,utopia,"[""utopia""]"
5,"É um sonho possível, viável, que está ao alcance das nossas mãos.",sonho possível viável alcance mão,"[""sonho"", ""possível"", ""viável"", ""alcance"", ""mão""]"
6,"Muitas são as nossas páginas de dores, tristezas e derrotas.",página dor tristezo derrota,"[""página"", ""dor"", ""tristezo"", ""derrota""]"
7,"Outras tantas são as de conquistas, de vitórias e de realizações como nação. Quantas vezes, na nossa história, nos deparamos com desafios aparentemente insuperáveis e os vencemos?",outro tanto conquista vitória realização nação quantas vez história deparar desafio aparentemente insuperável vencer,"[""outro"", ""tanto"", ""conquista"", ""vitória"", ""realização"", ""nação"", ""quantas"", ""vez"", ""história"", ""deparar"", ""desafio"", ""aparentemente"", ""insuperável"", ""vencer""]"
8,Olhemos apenas para o passado recente.,olher apenas passado recente,"[""olher"", ""apenas"", ""passado"", ""recente""]"
9,"Superamos um Estado ditatorial e reconquistamos o direito ao voto, a liberdade de expressão e um regime jurídico assentado no princípio das garantias individuais.",superar estado ditatorial reconquistar direito votar liberdade expressão regime jurídico assentar princípio garantia individual,"[""superar"", ""estado"", ""ditatorial"", ""reconquistar"", ""direito"", ""votar"", ""liberdade"", ""expressão"", ""regime"", ""jurídico"", ""assentar"", ""princípio"", ""garantia"", ""individual""]"
