chunk_id,chunk_text,preprocess_agenda,tokens
0,"CAMINHOS PARA O BRASIL NOSSO PAÍS, NOSSA CAUSA. NOSSO PAÍS, NOSSA CAUSA. CAMINHOS PARA O BRASIL 5 4 FUNDAÇÃO ULYSSES GUIMARÃES + MDB Documento político-programático 2025 Dados Internacionais de Catalogação na Publicação (CIP) (Câmara Brasileira do Livro, SP, Brasil) Caminhos para o Brasil – Nosso País, Nossa Causa / autores e coordenação Gustavo Grisa, Renata de Carvalho Rodrigues, José Aldo Rebelo Figueiredo, José Fogaça, Raul Henry, José Luíz Fuscaldo. Brasília, DF : Fundação Ulysses Guimarães, 2025.",caminho brasil país causar país causar caminho brasil 5 4 fundação ulysses guimarães mdb documento político programático 2025 dado internacional catalogação publicação cip câmara brasileiro livro sp brasil caminho brasil país causar autor coordenação gustavo grisa renata carvalho rodrigues josé aldo rebelo figueiredo josé fogaça raul henry josé luíz fuscaldo brasília df fundação ulysses guimarães 2025,"[""caminho"", ""brasil"", ""país"", ""causar"", ""país"", ""causar"", ""caminho"", ""brasil"", ""5"", ""4"", ""fundação"", ""ulysses"", ""guimarães"", ""mdb"", ""documento"", ""político"", ""programático"", ""2025"", ""dado"", ""internacional"", ""catalogação"", ""publicação"", ""cip"", ""câmara"", ""brasileiro"", ""livro"", ""sp"", ""brasil"", ""caminho"", ""brasil"", ""país"", ""causar"", ""autor"", ""coordenação"", ""gustavo"", ""grisa"", ""renata"", ""carvalho"", ""rodrigues"", ""josé"", ""aldo"", ""rebelo"", ""figueiredo"", ""josé"", ""fogaça"", ""raul"", ""henry"", ""josé"", ""luíz"", ""fuscaldo"", ""brasília"", ""df"", ""fundação"", ""ulysses"", ""guimarães"", ""2025""]"
1,Vários colaboradores. Bibliograﬁa.,vários colaborador bibliogra,"[""vários"", ""colaborador"", ""bibliogra""]"
2,"ISBN 978-65-996421-3-5 NOSSO PAÍS, NOSSA CAUSA.",isbn 978 65 996421 3 5 país causar,"[""isbn"", ""978"", ""65"", ""996421"", ""3"", ""5"", ""país"", ""causar""]"
3,"CAMINHOS PARA O BRASIL 7 6 FUNDAÇÃO ULYSSES GUIMARÃES + MDB Sumário I - APRESENTAÇÃO - O BRASIL É AGORA, MUDANÇA COM CONVERGÊNCIA 8 Mensagem Baleia Rossi, presidente do MDB 12 Mensagem Alceu Moreira, presidente da FUG 14 Mensagem Michel Temer, Presidente da República (2016-2018) 16 Mensagem Eduardo Braga, líder do MDB no Senado 18 Mensagem Isnaldo Bulhões, líder do MDB na Câmara 20 Mensagem Aldo Rebelo, coordenador-geral “O Brasil Precisa Pensar o Brasil” 22 Trajetória “O Brasil Precisa Pensar o Brasil” - uma construção coletiva de futuro 24 II - CONTEÚDO PROGRAMÁTICO - CAMINHOS PARA O BRASIL 28 A nossa causa - o Brasil é de todos 28 Eixos estruturantes do conteúdo programático 32 As causas mobilizadoras 38 Consolidação da democracia 41 Retomada do desenvolvimento 53 Redução das desigualdades 89 Mensagem de convergência - As escolhas de futuro diante da urgência do presente 123 NOSSO PAÍS, NOSSA CAUSA. CAMINHOS PARA O BRASIL I . AP RES ENTAÇÃO O Brasil é agora 9 8 FUNDAÇÃO ULYSSES GUIMARÃES + MDB Para atravessar o momento conturbado e polarizado e das opções reducionistas, será necessário organizar uma coerência de visões em torno dos grandes assuntos que dominam e dominarão a agenda pública na atualidade, e que se projetarão pela década seguinte. Parte desta perspectiva e transição para um novo momento nacional passa por um posicionamento responsável para o Brasil, baseado em atualização de agenda, consensos e soluções convergentes. Este documento apresenta caminhos para o Brasil a partir de uma construção coletiva, fundamentada em um amplo processo de consulta e pesquisa realizado entre janeiro e setembro de 2025, e que seguirá em curso ao longo de 2026. Nesta síntese, estão expressas linhas de posicionamento que representam o sentimento de lideranças políticas e gestores públicos de todos os Estados brasileiros, de especialistas em temáticas de impacto público, da militância e da base do MDB. Uma síntese que traduz a combinação entre a urgência da ação e a serenidade para articular, ao entender que, para a construção política democrática, os fundamentos são o diálogo, a busca pelo entendimento e o profundo respeito à institucionalidade do Brasil democrático. NOSSO PAÍS, NOSSA CAUSA. CAMINHOS PARA O BRASIL O que nos une é a necessidade de mudança com convergência UM CENTRO DEMOCRÁTICO AGREGADOR, PROATIVO E PRODUTIVO extrema esquerda, desviando o foco da resolução de problemas reais de melhoria da qualidade de vida da população brasileira.",caminho brasil 7 6 fundação ulysses guimarães mdb sumário i apresentação brasil agora mudança convergência 8 mensagem baleio rossi mdb 12 mensagem alceu moreira fug 14 mensagem michel temer república 2016 2018 16 mensagem eduardo braga líder mdb senado 18 mensagem isnaldo bulhão líder mdb câmara 20 mensagem aldo rebelo coordenador geral brasil precisar pensar brasil 22 trajetória brasil precisar pensar brasil construção coletivo futuro 24 ii conteúdo programático caminho brasil 28 causa brasil todo 28 eixo estruturante conteúdo programático 32 causa mobilizadoro 38 consolidação democracia 41 retomar desenvolvimento 53 redução desigualdade 89 mensagem convergência escolha futuro diante urgência presente 123 país causar caminho brasil i ap res entação brasil agora 9 8 fundação ulysses guimarães mdb atravessar momento conturbar polarizar opção reducionista necessário organizar coerência visão torno grande assunto dominar dominar agenda público atualidade projetar década seguinte parte de este perspectiva transição novo momento nacional passar posicionamento responsável brasil basear atualização agenda consenso solução convergente documento apresentar caminho brasil partir construção coletivo fundamentar amplo processo consultar pesquisa realizar janeiro setembro 2025 seguir curso longo 2026 em este síntese expressas linha posicionamento representar sentimento liderança político gestor público todo estado brasileiro especialista temático impacto público militância base mdb síntese traduzir combinação urgência ação serenidade articular entender construção político democrático fundamento diálogo buscar entendimento profundo respeito institucionalidade brasil democrático país causar caminho brasil uneir necessidade mudança convergência centro democrático agregador proativo produtivo extremo esquerda desviar foco resoluçãor problema real melhoria qualidade vida população brasileiro,"[""caminho"", ""brasil"", ""7"", ""6"", ""fundação"", ""ulysses"", ""guimarães"", ""mdb"", ""sumário"", ""i"", ""apresentação"", ""brasil"", ""agora"", ""mudança"", ""convergência"", ""8"", ""mensagem"", ""baleio"", ""rossi"", ""mdb"", ""12"", ""mensagem"", ""alceu"", ""moreira"", ""fug"", ""14"", ""mensagem"", ""michel"", ""temer"", ""república"", ""2016"", ""2018"", ""16"", ""mensagem"", ""eduardo"", ""braga"", ""líder"", ""mdb"", ""senado"", ""18"", ""mensagem"", ""isnaldo"", ""bulhão"", ""líder"", ""mdb"", ""câmara"", ""20"", ""mensagem"", ""aldo"", ""rebelo"", ""coordenador"", ""geral"", ""brasil"", ""precisar"", ""pensar"", ""brasil"", ""22"", ""trajetória"", ""brasil"", ""precisar"", ""pensar"", ""brasil"", ""construção"", ""coletivo"", ""futuro"", ""24"", ""ii"", ""conteúdo"", ""programático"", ""caminho"", ""brasil"", ""28"", ""causa"", ""brasil"", ""todo"", ""28"", ""eixo"", ""estruturante"", ""conteúdo"", ""programático"", ""32"", ""causa"", ""mobilizadoro"", ""38"", ""consolidação"", ""democracia"", ""41"", ""retomar"", ""desenvolvimento"", ""53"", ""redução"", ""desigualdade"", ""89"", ""mensagem"", ""convergência"", ""escolha"", ""futuro"", ""diante"", ""urgência"", ""presente"", ""123"", ""país"", ""causar"", ""caminho"", ""brasil"", ""i"", ""ap"", ""res"", ""entação"", ""brasil"", ""agora"", ""9"", ""8"", ""fundação"", ""ulysses"", ""guimarães"", ""mdb"", ""atravessar"", ""momento"", ""conturbar"", ""polarizar"", ""opção"", ""reducionista"", ""necessário"", ""organizar"", ""coerência"", ""visão"", ""torno"", ""grande"", ""assunto"", ""dominar"", ""dominar"", ""agenda"", ""público"", ""atualidade"", ""projetar"", ""década"", ""seguinte"", ""parte"", ""de este"", ""perspectiva"", ""transição"", ""novo"", ""momento"", ""nacional"", ""passar"", ""posicionamento"", ""responsável"", ""brasil"", ""basear"", ""atualização"", ""agenda"", ""consenso"", ""solução"", ""convergente"", ""documento"", ""apresentar"", ""caminho"", ""brasil"", ""partir"", ""construção"", ""coletivo"", ""fundamentar"", ""amplo"", ""processo"", ""consultar"", ""pesquisa"", ""realizar"", ""janeiro"", ""setembro"", ""2025"", ""seguir"", ""curso"", ""longo"", ""2026"", ""em este"", ""síntese"", ""expressas"", ""linha"", ""posicionamento"", ""representar"", ""sentimento"", ""liderança"", ""político"", ""gestor"", ""público"", ""todo"", ""estado"", ""brasileiro"", ""especialista"", ""temático"", ""impacto"", ""público"", ""militância"", ""base"", ""mdb"", ""síntese"", ""traduzir"", ""combinação"", ""urgência"", ""ação"", ""serenidade"", ""articular"", ""entender"", ""construção"", ""político"", ""democrático"", ""fundamento"", ""diálogo"", ""buscar"", ""entendimento"", ""profundo"", ""respeito"", ""institucionalidade"", ""brasil"", ""democrático"", ""país"", ""causar"", ""caminho"", ""brasil"", ""uneir"", ""necessidade"", ""mudança"", ""convergência"", ""centro"", ""democrático"", ""agregador"", ""proativo"", ""produtivo"", ""extremo"", ""esquerda"", ""desviar"", ""foco"", ""resoluçãor"", ""problema"", ""real"", ""melhoria"", ""qualidade"", ""vida"", ""população"", ""brasileiro""]"
4,"A escolha de se colocar no centro democrático carrega uma responsabilidade intrínseca: escutar, dialogar e enxergar, de fato, o que acontece ao seu redor. E essa posição de enxergar mais do que as partes em separado contribui para tomar decisões com maior legitimidade e abrangência.",escolha colocar centro democrático carregar responsabilidade intrínseca escutar dialogar enxergar fato acontecer redor posição enxergar parte separar contribuir tomar decisão grande legitimidade abrangência,"[""escolha"", ""colocar"", ""centro"", ""democrático"", ""carregar"", ""responsabilidade"", ""intrínseca"", ""escutar"", ""dialogar"", ""enxergar"", ""fato"", ""acontecer"", ""redor"", ""posição"", ""enxergar"", ""parte"", ""separar"", ""contribuir"", ""tomar"", ""decisão"", ""grande"", ""legitimidade"", ""abrangência""]"
5,"Para enfrentar os desafios e as oportunidades emergentes, promovendo um ambiente favorável ao crescimento econômico e à inclusão social, o MDB prioriza uma governança estável e consistente ao defender políticas que priorizam a continuidade a longo prazo, com novas abordagens que aumentem a sua escalabilidade, contemplando o tamanho e a diversidade regional do Brasil. O compromisso com a moderação, o pragmatismo, a busca pelo consenso e o equilíbrio atua como um contrapeso ao desgaste gerado pela intensificação de posicionamentos políticos radicais, que emanam tanto da extrema direita quanto da 11 10 FUNDAÇÃO ULYSSES GUIMARÃES + MDB brasileiros que se encontram desencantados com uma disputa política polarizada e alheia aos grandes problemas que impactam diariamente na vida das pessoas. Esses pontos são convergentes com documentos anteriores formulados pelo partido, destacadamente, “Esperança e Mudança” (1982), “Democracia com Desenvolvimento” (1996), “Uma Ponte para o Futuro” (2015) e “Todos por Um Só Brasil” (2021). Ao trazer o Brasil como nossa principal causa, acima de ideologia ou costumes, reafirmamos nossa conexão com a vontade de mudança efetiva e de um propósito compartilhado, uma distensão do ambiente político a partir de uma agenda que permita debater, construir e entregar soluções reais para um Brasil real, melhorando de forma concreta a vida de todos os brasileiros. Os documentos programáticos atenderam a momentos da história que inspiravam ora a defesa e reintrodução da sociedade brasileira aos valores e princípios democráticos, ora a defesa de medidas como responsabilidade fiscal, regulamentação prudente e investimentos estratégicos, reconhecendo a importância do esforço pela manutenção permanente da estabilidade do ambiente político e econômico. São 60 anos do MDB e 40 anos da transição democrática, uma conquista árdua e de resistência da sociedade brasileira. O que estamos trazendo neste documento é mais um ato de responsabilidade do MDB para com o Brasil, em que se busca uma reconexão não apenas com a sociedade brasileira representada, mas também - e, principalmente - com as dezenas de milhões de 11 NOSSO PAÍS, NOSSA CAUSA. CAMINHOS PARA O BRASIL Nossa alma e nossos caminhos BALEIA ROSSI PRESIDENTE NACIONAL DO MDB Há exatos 60 anos, vivenciávamos o recrudescimento da ditadura militar com a extinção dos partidos políticos após as eleições estaduais de outubro de 1965.",enfrentar desafio oportunidade emergente promover ambiente favorável crescimento econômico inclusão social mdb priorizar governança estável consistente defender política priorizar continuidade longo prazo novo abordagem aumentar escalabilidade contemplar tamanho diversidade regional brasil compromisso moderação pragmatismo buscar consenso equilíbrio atuar contrapeso desgaste gerar intensificação posicionamento político radical emanar tanto extremo direita quanto 11 10 fundação ulysses guimarães mdb brasileiro encontrar desencantar disputa político polarizar alheio grande problema impactar diariamente vida pessoa ponto convergente documento anterior formular partido destacadamente esperança mudança 1982 democracia desenvolvimento 1996 ponte futuro 2015 todo brasil 2021 trazer brasil principal causa acima ideologia costume reafirmar conexão vontade mudança efetivo propósito compartilhar distensão ambiente político partir agenda permitir debater construir entregar solução real brasil real melhorar forma concreto vida todo brasileiro documento programático atender momento históriar inspirar ora defesa reintrodução sociedade brasileira valor princípio democrático ora defesa medida responsabilidade fiscal regulamentação prudente investimento estratégico reconhecer importância esforço manutenção permanente estabilidade ambiente político econômico 60 ano mdb 40 ano transição democrático conquista árduo resistência sociedade brasileiro trazer em este documento ato responsabilidade mdb brasil buscar reconexão apenas sociedade brasileiro representar principalmente dezena milhão 11 país causar caminho brasil alma caminho baleio rossi nacional mdb exato 60 ano vivenciávamos recrudescimento ditadura militar extinção partido político após eleição estadual outubro 1965,"[""enfrentar"", ""desafio"", ""oportunidade"", ""emergente"", ""promover"", ""ambiente"", ""favorável"", ""crescimento"", ""econômico"", ""inclusão"", ""social"", ""mdb"", ""priorizar"", ""governança"", ""estável"", ""consistente"", ""defender"", ""política"", ""priorizar"", ""continuidade"", ""longo"", ""prazo"", ""novo"", ""abordagem"", ""aumentar"", ""escalabilidade"", ""contemplar"", ""tamanho"", ""diversidade"", ""regional"", ""brasil"", ""compromisso"", ""moderação"", ""pragmatismo"", ""buscar"", ""consenso"", ""equilíbrio"", ""atuar"", ""contrapeso"", ""desgaste"", ""gerar"", ""intensificação"", ""posicionamento"", ""político"", ""radical"", ""emanar"", ""tanto"", ""extremo"", ""direita"", ""quanto"", ""11"", ""10"", ""fundação"", ""ulysses"", ""guimarães"", ""mdb"", ""brasileiro"", ""encontrar"", ""desencantar"", ""disputa"", ""político"", ""polarizar"", ""alheio"", ""grande"", ""problema"", ""impactar"", ""diariamente"", ""vida"", ""pessoa"", ""ponto"", ""convergente"", ""documento"", ""anterior"", ""formular"", ""partido"", ""destacadamente"", ""esperança"", ""mudança"", ""1982"", ""democracia"", ""desenvolvimento"", ""1996"", ""ponte"", ""futuro"", ""2015"", ""todo"", ""brasil"", ""2021"", ""trazer"", ""brasil"", ""principal"", ""causa"", ""acima"", ""ideologia"", ""costume"", ""reafirmar"", ""conexão"", ""vontade"", ""mudança"", ""efetivo"", ""propósito"", ""compartilhar"", ""distensão"", ""ambiente"", ""político"", ""partir"", ""agenda"", ""permitir"", ""debater"", ""construir"", ""entregar"", ""solução"", ""real"", ""brasil"", ""real"", ""melhorar"", ""forma"", ""concreto"", ""vida"", ""todo"", ""brasileiro"", ""documento"", ""programático"", ""atender"", ""momento"", ""históriar"", ""inspirar"", ""ora"", ""defesa"", ""reintrodução"", ""sociedade"", ""brasileira"", ""valor"", ""princípio"", ""democrático"", ""ora"", ""defesa"", ""medida"", ""responsabilidade"", ""fiscal"", ""regulamentação"", ""prudente"", ""investimento"", ""estratégico"", ""reconhecer"", ""importância"", ""esforço"", ""manutenção"", ""permanente"", ""estabilidade"", ""ambiente"", ""político"", ""econômico"", ""60"", ""ano"", ""mdb"", ""40"", ""ano"", ""transição"", ""democrático"", ""conquista"", ""árduo"", ""resistência"", ""sociedade"", ""brasileiro"", ""trazer"", ""em este"", ""documento"", ""ato"", ""responsabilidade"", ""mdb"", ""brasil"", ""buscar"", ""reconexão"", ""apenas"", ""sociedade"", ""brasileiro"", ""representar"", ""principalmente"", ""dezena"", ""milhão"", ""11"", ""país"", ""causar"", ""caminho"", ""brasil"", ""alma"", ""caminho"", ""baleio"", ""rossi"", ""nacional"", ""mdb"", ""exato"", ""60"", ""ano"", ""vivenciávamos"", ""recrudescimento"", ""ditadura"", ""militar"", ""extinção"", ""partido"", ""político"", ""após"", ""eleição"", ""estadual"", ""outubro"", ""1965""]"
6,"Quase que de imediato, nasceu a ideia de se criar um novo partido de oposição. Quem era contra o regime de exceção se juntou para formar o Movimento Democrático Brasileiro.",quase imediato nascer ideia criar novo partido oposição contra regime exceção juntar formar movimento democrático brasileiro,"[""quase"", ""imediato"", ""nascer"", ""ideia"", ""criar"", ""novo"", ""partido"", ""oposição"", ""contra"", ""regime"", ""exceção"", ""juntar"", ""formar"", ""movimento"", ""democrático"", ""brasileiro""]"
7,O projeto da sigla era um só: a retomada das liberdades.,projeto sigla retomar liberdade,"[""projeto"", ""sigla"", ""retomar"", ""liberdade""]"
8,Não foi fácil.,fácil,"[""fácil""]"
9,"Em 1970, descrente de suas forças, o partido quase se autodissolveu.",1970 descrente força partido quase autodissolver,"[""1970"", ""descrente"", ""força"", ""partido"", ""quase"", ""autodissolver""]"
