agenda_topic,agenda_terms,discourse_topic,discourse_terms,cosine_similarity
0,"0.016*""brasil"" + 0.012*""brasileiro"" + 0.010*""político"" + 0.007*""compromisso"" + 0.005*""grande"" + 0.005*""país"" + 0.005*""união"" + 0.004*""todo"" + 0.004*""direito"" + 0.004*""nacional""",0,"0.013*""povo"" + 0.010*""todo"" + 0.010*""deus"" + 0.009*""brasileiro"" + 0.007*""ano"" + 0.007*""homem"" + 0.005*""votar"" + 0.005*""projeto"" + 0.005*""próprio"" + 0.005*""primeiro""",0.6939642457045216
0,"0.016*""brasil"" + 0.012*""brasileiro"" + 0.010*""político"" + 0.007*""compromisso"" + 0.005*""grande"" + 0.005*""país"" + 0.005*""união"" + 0.004*""todo"" + 0.004*""direito"" + 0.004*""nacional""",1,"0.018*""todo"" + 0.008*""parlamentar"" + 0.007*""ano"" + 0.007*""casa"" + 0.007*""brasileiro"" + 0.006*""sr_presidente"" + 0.006*""brasil"" + 0.005*""momento"" + 0.005*""projeto"" + 0.005*""crime""",0.7023865968190893
0,"0.016*""brasil"" + 0.012*""brasileiro"" + 0.010*""político"" + 0.007*""compromisso"" + 0.005*""grande"" + 0.005*""país"" + 0.005*""união"" + 0.004*""todo"" + 0.004*""direito"" + 0.004*""nacional""",2,"0.011*""energia"" + 0.011*""hoje"" + 0.007*""nordeste"" + 0.007*""geração"" + 0.007*""todo"" + 0.007*""brasil"" + 0.006*""grande"" + 0.006*""garantir"" + 0.006*""futuro"" + 0.005*""próximo""",0.498565094629389
0,"0.016*""brasil"" + 0.012*""brasileiro"" + 0.010*""político"" + 0.007*""compromisso"" + 0.005*""grande"" + 0.005*""país"" + 0.005*""união"" + 0.004*""todo"" + 0.004*""direito"" + 0.004*""nacional""",3,"0.007*""personalidade"" + 0.007*""desconsideração"" + 0.007*""patrimônio"" + 0.007*""jurídico"" + 0.007*""sim"" + 0.003*""deputado_rogério_correia"" + 0.003*""inseguro"" + 0.003*""sócio"" + 0.003*""terceiro"" + 0.003*""fiscalizar""",0.17923432208059387
0,"0.016*""brasil"" + 0.012*""brasileiro"" + 0.010*""político"" + 0.007*""compromisso"" + 0.005*""grande"" + 0.005*""país"" + 0.005*""união"" + 0.004*""todo"" + 0.004*""direito"" + 0.004*""nacional""",4,"0.022*""salário"" + 0.019*""aumento"" + 0.015*""real"" + 0.013*""pobre"" + 0.012*""orçamento"" + 0.011*""pagar"" + 0.010*""agora"" + 0.010*""população"" + 0.010*""dar"" + 0.010*""secreto""",0.08264129016891775
0,"0.016*""brasil"" + 0.012*""brasileiro"" + 0.010*""político"" + 0.007*""compromisso"" + 0.005*""grande"" + 0.005*""país"" + 0.005*""união"" + 0.004*""todo"" + 0.004*""direito"" + 0.004*""nacional""",5,"0.016*""todo"" + 0.009*""projeto"" + 0.008*""agradecer"" + 0.008*""energia"" + 0.008*""sr_presidente"" + 0.007*""brasil"" + 0.007*""grande"" + 0.006*""radialista"" + 0.006*""profissional"" + 0.006*""país""",0.6784754020119608
0,"0.016*""brasil"" + 0.012*""brasileiro"" + 0.010*""político"" + 0.007*""compromisso"" + 0.005*""grande"" + 0.005*""país"" + 0.005*""união"" + 0.004*""todo"" + 0.004*""direito"" + 0.004*""nacional""",6,"0.018*""espaço"" + 0.012*""teto"" + 0.009*""gasto"" + 0.009*""dentro"" + 0.008*""sr_presidente"" + 0.008*""salário"" + 0.007*""mil"" + 0.007*""vez"" + 0.006*""gastar"" + 0.006*""voltar""",0.18669187718081892
0,"0.016*""brasil"" + 0.012*""brasileiro"" + 0.010*""político"" + 0.007*""compromisso"" + 0.005*""grande"" + 0.005*""país"" + 0.005*""união"" + 0.004*""todo"" + 0.004*""direito"" + 0.004*""nacional""",7,"0.010*""todo"" + 0.009*""energia"" + 0.009*""público"" + 0.008*""direito"" + 0.007*""governo"" + 0.007*""país"" + 0.007*""sr_presidente"" + 0.006*""brasileiro"" + 0.006*""próprio"" + 0.006*""impor""",0.7739224224211115
0,"0.016*""brasil"" + 0.012*""brasileiro"" + 0.010*""político"" + 0.007*""compromisso"" + 0.005*""grande"" + 0.005*""país"" + 0.005*""união"" + 0.004*""todo"" + 0.004*""direito"" + 0.004*""nacional""",8,"0.009*""sr_presidente"" + 0.008*""povo"" + 0.008*""momento"" + 0.007*""mandato"" + 0.007*""reforma"" + 0.007*""grande"" + 0.007*""brasileiro"" + 0.006*""cada"" + 0.006*""real"" + 0.006*""todo""",0.7742039334623485
0,"0.016*""brasil"" + 0.012*""brasileiro"" + 0.010*""político"" + 0.007*""compromisso"" + 0.005*""grande"" + 0.005*""país"" + 0.005*""união"" + 0.004*""todo"" + 0.004*""direito"" + 0.004*""nacional""",9,"0.014*""todo"" + 0.013*""energia"" + 0.010*""país"" + 0.010*""imposto"" + 0.008*""votar"" + 0.007*""brasil"" + 0.007*""pagador"" + 0.006*""aneel"" + 0.006*""bom"" + 0.006*""oportunidade""",0.7000983345557166
