chunk_id,chunk_text,preprocess_agenda,tokens
0,Nossos Valores e Princípios O Brasil é reconhecido e celebrado por sua pluralidade.,nossos valores e principios o brasil e reconhecido e celebrado por sua pluralidade,"[""nossos"", ""valores"", ""e"", ""principios"", ""o"", ""brasil"", ""e"", ""reconhecido"", ""e"", ""celebrado"", ""por"", ""sua"", ""pluralidade""]"
1,"São muitas e diferentes as nossas origens, as nossas culturas, as nossas tradições e costumes, os nossos valores, as nossas ideologias. Diversa é a nossa geografia, rica e variada é a nossa natureza. Somos um país continental, que abriga em seu vasto território todo tipo de gente, de pensamento, de profissão de fé, de posição política. Em meio a essas diferenças, uma coisa nos une e nos constitui como coletividade: o Amor por esse país.",sao muitas e diferentes as nossas origens as nossas culturas as nossas tradicoes e costumes os nossos valores as nossas ideologias diversa e a nossa geografia rica e variada e a nossa natureza somos um pais continental que abriga em seu vasto territorio todo tipo de gente de pensamento de profissao de fe de posicao politica em meio a essas diferencas uma coisa nos une e nos constitui como coletividade o amor por esse pais,"[""sao"", ""muitas"", ""e"", ""diferentes"", ""as"", ""nossas"", ""origens"", ""as"", ""nossas"", ""culturas"", ""as"", ""nossas"", ""tradicoes"", ""e"", ""costumes"", ""os"", ""nossos"", ""valores"", ""as"", ""nossas"", ""ideologias"", ""diversa"", ""e"", ""a"", ""nossa"", ""geografia"", ""rica"", ""e"", ""variada"", ""e"", ""a"", ""nossa"", ""natureza"", ""somos"", ""um"", ""pais"", ""continental"", ""que"", ""abriga"", ""em"", ""seu"", ""vasto"", ""territorio"", ""todo"", ""tipo"", ""de"", ""gente"", ""de"", ""pensamento"", ""de"", ""profissao"", ""de"", ""fe"", ""de"", ""posicao"", ""politica"", ""em"", ""meio"", ""a"", ""essas"", ""diferencas"", ""uma"", ""coisa"", ""nos"", ""une"", ""e"", ""nos"", ""constitui"", ""como"", ""coletividade"", ""o"", ""amor"", ""por"", ""esse"", ""pais""]"
2,"É ele que nunca deixa de pulsar em nossos corações, que nos faz reagir ao pessimismo, que nos dá alento para seguirmos em frente, acreditando e lutando por um futuro melhor.",e ele que nunca deixa de pulsar em nossos coracoes que nos faz reagir ao pessimismo que nos da alento para seguirmos em frente acreditando e lutando por um futuro melhor,"[""e"", ""ele"", ""que"", ""nunca"", ""deixa"", ""de"", ""pulsar"", ""em"", ""nossos"", ""coracoes"", ""que"", ""nos"", ""faz"", ""reagir"", ""ao"", ""pessimismo"", ""que"", ""nos"", ""da"", ""alento"", ""para"", ""seguirmos"", ""em"", ""frente"", ""acreditando"", ""e"", ""lutando"", ""por"", ""um"", ""futuro"", ""melhor""]"
3,"Esse Amor pelo Brasil está assentado na nossa história comum, nas lutas compartilhadas cotidianamente e na certeza de que, mesmo com todas as suas mazelas e dificuldades, esse país tem um enorme potencial para a grandeza; e, por que não dizer, uma vocação para a Alegria e a Felicidade. O Brasil democrático, livre, justo, pulsante e pujante que todos nós, brasileiros, desejamos é evidentemente uma obra em aberto.",esse amor pelo brasil esta assentado na nossa historia comum nas lutas compartilhadas cotidianamente e na certeza de que mesmo com todas as suas mazelas e dificuldades esse pais tem um enorme potencial para a grandeza e por que nao dizer uma vocacao para a alegria e a felicidade o brasil democratico livre justo pulsante e pujante que todos nos brasileiros desejamos e evidentemente uma obra em aberto,"[""esse"", ""amor"", ""pelo"", ""brasil"", ""esta"", ""assentado"", ""na"", ""nossa"", ""historia"", ""comum"", ""nas"", ""lutas"", ""compartilhadas"", ""cotidianamente"", ""e"", ""na"", ""certeza"", ""de"", ""que"", ""mesmo"", ""com"", ""todas"", ""as"", ""suas"", ""mazelas"", ""e"", ""dificuldades"", ""esse"", ""pais"", ""tem"", ""um"", ""enorme"", ""potencial"", ""para"", ""a"", ""grandeza"", ""e"", ""por"", ""que"", ""nao"", ""dizer"", ""uma"", ""vocacao"", ""para"", ""a"", ""alegria"", ""e"", ""a"", ""felicidade"", ""o"", ""brasil"", ""democratico"", ""livre"", ""justo"", ""pulsante"", ""e"", ""pujante"", ""que"", ""todos"", ""nos"", ""brasileiros"", ""desejamos"", ""e"", ""evidentemente"", ""uma"", ""obra"", ""em"", ""aberto""]"
4,Mas não é uma utopia.,mas nao e uma utopia,"[""mas"", ""nao"", ""e"", ""uma"", ""utopia""]"
5,"É um sonho possível, viável, que está ao alcance das nossas mãos.",e um sonho possivel viavel que esta ao alcance das nossas maos,"[""e"", ""um"", ""sonho"", ""possivel"", ""viavel"", ""que"", ""esta"", ""ao"", ""alcance"", ""das"", ""nossas"", ""maos""]"
6,"Muitas são as nossas páginas de dores, tristezas e derrotas.",muitas sao as nossas paginas de dores tristezas e derrotas,"[""muitas"", ""sao"", ""as"", ""nossas"", ""paginas"", ""de"", ""dores"", ""tristezas"", ""e"", ""derrotas""]"
7,"Outras tantas são as de conquistas, de vitórias e de realizações como nação. Quantas vezes, na nossa história, nos deparamos com desafios aparentemente insuperáveis e os vencemos?",outras tantas sao as de conquistas de vitorias e de realizacoes como nacao quantas vezes na nossa historia nos deparamos com desafios aparentemente insuperaveis e os vencemos,"[""outras"", ""tantas"", ""sao"", ""as"", ""de"", ""conquistas"", ""de"", ""vitorias"", ""e"", ""de"", ""realizacoes"", ""como"", ""nacao"", ""quantas"", ""vezes"", ""na"", ""nossa"", ""historia"", ""nos"", ""deparamos"", ""com"", ""desafios"", ""aparentemente"", ""insuperaveis"", ""e"", ""os"", ""vencemos""]"
8,Olhemos apenas para o passado recente.,olhemos apenas para o passado recente,"[""olhemos"", ""apenas"", ""para"", ""o"", ""passado"", ""recente""]"
9,"Superamos um Estado ditatorial e reconquistamos o direito ao voto, a liberdade de expressão e um regime jurídico assentado no princípio das garantias individuais.",superamos um estado ditatorial e reconquistamos o direito ao voto a liberdade de expressao e um regime juridico assentado no principio das garantias individuais,"[""superamos"", ""um"", ""estado"", ""ditatorial"", ""e"", ""reconquistamos"", ""o"", ""direito"", ""ao"", ""voto"", ""a"", ""liberdade"", ""de"", ""expressao"", ""e"", ""um"", ""regime"", ""juridico"", ""assentado"", ""no"", ""principio"", ""das"", ""garantias"", ""individuais""]"
